META; english/fa-cup/barrow-v-tranmere; 2016-10-10 16:23:31 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 13/8; 13/8; 7/4; 13/8; 8/5; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 12:24:16 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 13:09:04 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 13:47:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 15:47:25 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 16:24:17 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 17:47:20 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 6/4; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 13/8; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 18:38:50 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 17/10; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 19:47:52 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 8/5; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 20:22:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; ; 
Draw; 5/2; 21/10; 11/5; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 21:48:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 17/10; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; ; 
Draw; 5/2; 21/10; 21/10; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 2; ; 23/10; ; 2; ; ; 21/10; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 23:47:22 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 17/10; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; ; 
Draw; 5/2; 2; 21/10; 2; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 2; ; 23/10; ; 2; ; ; 21/10; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 00:23:50 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 8/5; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; ; 
Tranmere; 13/8; 13/8; 17/10; 13/8; 13/8; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; ; 
Draw; 5/2; 2; 21/10; 2; 21/10; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 2; ; 23/10; ; 2; ; ; 21/10; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 01:01:02 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 6/4; ; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; ; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 2; ; 23/10; ; 2; ; ; 21/10; ; ; 2; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 01:47:08 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 8/5; ; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; ; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 2; ; 23/10; ; 2; ; ; 21/10; ; ; 21/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 03:47:25 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 8/5; ; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; ; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 04:23:19 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 8/5; ; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; ; 
Draw; 5/2; 21/10; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 05:47:21 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 8/5; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 21/10; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 06:36:20 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 07:49:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 21/10; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 08:23:57 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 21/10; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 09:47:34 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 11:47:43 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; ; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; ; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; ; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 12:23:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; ; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; ; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; ; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 13:01:38 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; ; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 13/8; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; ; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 13/8; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; 21/10; ; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 13:47:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; ; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 28/17; ; ; 8/5; 7/5; 
Tranmere; 13/8; 13/8; 17/10; 8/5; 13/8; 31/20; 13/8; 6/4; 7/4; 7/4; 13/8; 13/8; ; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 7/4; ; ; 17/10; 6/4; 
Draw; 5/2; 2; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 11/5; 21/10; 21/10; ; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 15:47:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 11/8; 7/5; 6/4; 7/5; 6/4; 31/20; 8/5; 6/4; 8/5; 6/4; 29/20; 13/8; 33/20; 11/8; 8/5; ; 16/11; ; 6/4; ; 8/5; ; ; 7/4; ; ; 6/4; 7/5; 
Barrow; 7/4; 13/8; 7/4; 17/10; 7/4; 29/20; 7/4; 7/5; 9/5; 9/5; 7/4; 8/5; 31/20; 17/10; 7/4; ; 28/17; ; 6/4; ; 6/4; ; ; 28/17; ; ; 9/5; 13/8; 
Draw; 13/5; 21/10; 21/10; 21/10; 21/10; 43/20; 85/40; 11/5; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 21/10; 2; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-15 16:24:51 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 11/8; 7/5; 6/4; 7/5; 6/4; 31/20; 8/5; 6/4; 8/5; 6/4; 29/20; 13/8; 33/20; 11/8; 8/5; ; 16/11; ; 6/4; ; 8/5; ; ; 7/4; ; ; 6/4; 7/5; 
Barrow; 7/4; 13/8; 7/4; 17/10; 13/8; 29/20; 7/4; 7/5; 9/5; 9/5; 7/4; 8/5; 31/20; 17/10; 7/4; ; 28/17; ; 6/4; ; 6/4; ; ; 28/17; ; ; 7/4; 13/8; 
Draw; 13/5; 21/10; 21/10; 21/10; 11/5; 43/20; 85/40; 11/5; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 21/10; ; ; 23/10; 2; 
