META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-29 12:23:20 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 15/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-29 16:39:48 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 15/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-29 20:23:10 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; 7/2; ; ; ; ; ; 18/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 1/4; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 19/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 2/15; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 00:22:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; ; ; ; ; ; ; 19/5; ; 7/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 01:01:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; ; ; ; ; ; ; 19/5; ; 7/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 01:47:37 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; ; ; ; ; ; ; 4; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 03:47:42 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; 29/10; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 27/10; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; ; ; ; ; ; ; 19/5; ; 7/2; 16/5; ; ; ; 16/5; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 04:22:03 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 8/15; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
