Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 05:46:24 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 06:33:27 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 07:46:17 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 08:21:14 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 09:46:24 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 1; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 21/10; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 11:46:27 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 1; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 11/10; 1; 1; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 21/10; 5/2; ; 5/2; 12/5; 5/2; 12/5; 5/2; 21/10; 49/20; 23/10; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 11/4; 13/5; 5/2; 13/5; ; 13/5; 23/10; 13/5; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 12:21:47 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 1; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 11/10; 1; 1; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 21/10; 5/2; ; 5/2; 12/5; 5/2; 12/5; 5/2; 21/10; 49/20; 23/10; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 11/4; 13/5; 5/2; 13/5; ; 13/5; 23/10; 13/5; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 13:02:35 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 1; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 11/10; 1; 1; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
