Draw; 9/4; 9/4; 43/20; 12/5; 11/5; ; 11/5; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 2; 9/4; 11/5; 21/10; ; 21/10; ; 28/13; 23/10; ; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 04:23:05 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 6/4; 13/8; 8/5; 6/4; ; 31/20; 7/5; 8/5; 8/5; 31/20; 6/5; ; 6/4; 6/4; 6/4; 6/4; ; 17/11; ; 17/11; 17/11; ; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 9/5; 7/4; 13/8; 13/8; ; 17/10; 13/8; 9/5; 17/10; 17/10; 9/5; ; 8/5; 7/4; 7/4; 17/10; ; 7/4; ; 28/17; 17/9; ; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; ; 11/5; 21/10; 9/4; 9/4; 21/10; 11/5; ; 2; 9/4; 11/5; 28/13; ; 21/10; ; 21/10; 23/10; ; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 08:22:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 6/4; 13/8; 8/5; 6/4; ; 31/20; 7/5; 8/5; 8/5; 31/20; 6/5; 31/20; 6/4; 6/4; 6/4; 17/11; ; 17/11; ; 17/11; 17/11; ; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 9/5; 7/4; 13/8; 13/8; ; 17/10; 13/8; 9/5; 17/10; 17/10; 9/5; 17/10; 8/5; 7/4; 7/4; 28/17; ; 7/4; ; 28/17; 17/9; ; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; ; 11/5; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 2; 9/4; 11/5; 21/10; ; 21/10; ; 21/10; 23/10; ; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 12:24:10 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 8/5; 6/4; 5/3; 31/20; 7/5; 8/5; 13/8; 31/20; 8/5; ; 6/4; 6/4; 17/11; 6/4; ; 17/11; ; 6/4; 17/11; ; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 17/10; 7/4; 13/8; 13/8; 9/5; 17/10; 13/8; 9/5; 7/4; 17/10; 13/8; ; 8/5; 7/4; 8/5; 28/17; ; 7/4; ; 28/17; 17/9; ; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; 9/4; 11/5; 21/10; 9/4; 21/10; 21/10; 21/10; ; 2; 9/4; 11/5; 28/13; ; 21/10; ; 28/13; 23/10; ; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 16:24:33 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 8/5; 6/4; 33/20; 31/20; 7/5; 8/5; 13/8; 31/20; 8/5; ; 6/4; 6/4; 17/11; 6/4; ; 17/11; ; 6/4; 17/11; 13/9; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 17/10; 7/4; 13/8; 13/8; 9/5; 17/10; 13/8; 9/5; 7/4; 17/10; 13/8; ; 8/5; 7/4; 8/5; 28/17; ; 7/4; ; 28/17; 17/9; 48/29; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; 23/10; 85/40; 21/10; 9/4; 21/10; 21/10; 21/10; ; 2; 9/4; 11/5; 28/13; ; 21/10; ; 28/13; 23/10; 11/5; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 20:25:25 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 8/5; 6/4; 33/20; 31/20; 7/5; 8/5; 13/8; 31/20; 8/5; ; 6/4; 6/4; 17/11; 17/11; ; 17/11; ; 17/11; 17/11; 13/9; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 17/10; 7/4; 13/8; 13/8; 9/5; 17/10; 13/8; 9/5; 7/4; 17/10; 13/8; ; 8/5; 7/4; 8/5; 17/10; ; 7/4; ; 17/10; 17/9; 48/29; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; 23/10; 85/40; 21/10; 9/4; 21/10; 21/10; 21/10; ; 2; 9/4; 11/5; 11/5; ; 21/10; ; 11/5; 23/10; 11/5; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-03 00:22:38 GMT+2; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 8/5; 6/4; 33/20; 31/20; 7/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 6/4; 17/11; 8/5; ; 17/11; ; 8/5; 17/11; 13/9; ; 8/5; ; 7/5; ; 
