Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/6; 3/19; ; 2/13; 2/11; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 13/2; 27/5; ; 13/2; 57/10; ; ; 13/2; ; ; 4/11; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 18; 11; ; 16; 12; ; ; 16; ; ; 4/11; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 20:23:40 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; ; ; ; 1/7; ; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; ; 7; ; 7; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 13/2; 61/11; ; 13/2; 76/13; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; ; 22; ; 21; ; 14; ; 18; 12; ; 28; 20; 18; 47/4; ; 16; 13; ; ; 16; ; ; 24; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 00:21:55 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; ; ; ; 1/7; ; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; ; 7; ; 7; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 13/2; 61/11; ; 13/2; 76/13; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; ; 22; ; 21; ; 14; ; 18; 12; ; 28; 20; 18; 47/4; ; 16; 13; ; ; 16; ; ; 24; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 04:22:43 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; ; ; 2/13; 1/7; ; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; 6; 7; ; 7; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 13/2; 61/11; ; 13/2; 76/13; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; 20; 22; ; 21; ; 14; ; 18; 12; ; 28; 20; 18; 47/4; ; 16; 13; ; ; 16; ; ; 24; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 08:22:34 GMT+2; 2017-01-28 15:00; e70300-dr003
