Spennymoor Town; 8/11; 8/11; 4/5; 3/4; 8/11; ; 8/11; 4/6; 4/5; ; 3/4; 8/11; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 9/11; ; 7/9; 3/4; ; 4/6; ; 
Lincoln Utd; 5/2; 13/5; 3; 11/4; 11/4; ; 11/4; 11/4; 14/5; ; 14/5; 13/5; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 16/5; ; 11/4; 11/4; ; 5/2; ; 
Draw; 3; 11/4; 14/5; 11/4; 3; ; 3; 3; 3; ; 27/10; 11/4; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 16/5; ; 13/4; 3; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 16:24:55 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 8/11; 4/5; 3/4; 8/11; ; 8/11; 4/6; 4/5; ; 3/4; 8/11; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 4/5; ; 7/9; 3/4; ; 4/6; ; 
Draw; 3; 11/4; 14/5; 11/4; 3; ; 3; 3; 3; ; 27/10; 11/4; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 13/4; ; 13/4; 3; ; 5/2; ; 
Lincoln Utd; 5/2; 13/5; 3; 11/4; 11/4; ; 11/4; 11/4; 14/5; ; 14/5; 13/5; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 13/4; ; 11/4; 11/4; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 20:23:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 7/10; 4/5; 3/4; 8/11; ; 7/10; 4/6; 4/5; ; 3/4; 8/11; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 7/9; ; 7/9; 3/4; ; 4/6; ; 
Draw; 3; 11/4; 14/5; 11/4; 3; ; 3; 3; 3; ; 27/10; 11/4; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 33/10; ; 13/4; 3; ; 5/2; ; 
Lincoln Utd; 5/2; 11/4; 3; 11/4; 11/4; ; 14/5; 11/4; 14/5; ; 14/5; 13/5; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 33/10; ; 11/4; 11/4; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 00:24:29 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 8/13; 57/100; 8/13; 8/13; ; 13/20; 4/6; 4/6; ; 8/15; 8/11; 13/20; 1/2; 3/4; 8/13; ; 11/17; 3/4; 8/13; ; 13/18; ; 11/17; 8/13; ; 4/9; ; 
Draw; 16/5; 11/4; 3; 14/5; 16/5; ; 3; 3; 10/3; ; 3; 11/4; 16/5; 3; 3; 10/3; ; 13/4; 3; 3; ; 7/2; ; 13/4; 16/5; ; 14/5; ; 
Lincoln Utd; 7/2; 16/5; 4; 10/3; 10/3; ; 31/10; 11/4; 7/2; ; 4; 13/5; 16/5; 4; 3; 10/3; ; 57/17; 13/5; 10/3; ; 7/2; ; 57/17; 10/3; ; 7/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 04:23:59 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 4/7; 57/100; 8/13; 3/5; ; 3/5; 8/13; 8/13; ; 8/15; 8/13; ; 1/2; 3/4; 8/13; ; 11/17; 3/4; 8/13; ; 5/8; ; 11/17; 6/10; ; 4/9; ; 
Draw; 16/5; 14/5; 3; 14/5; 16/5; ; 31/10; 3; 7/2; ; 3; 3; ; 3; 3; 10/3; ; 13/4; 3; 3; ; 19/5; ; 13/4; 10/3; ; 14/5; ; 
Lincoln Utd; 7/2; 7/2; 4; 10/3; 7/2; ; 10/3; 16/5; 19/5; ; 4; 3; ; 4; 3; 7/2; ; 57/17; 13/5; 10/3; ; 39/10; ; 57/17; 7/2; ; 7/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 08:24:28 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 6/10; 57/100; 6/10; 3/5; ; 3/5; 8/13; 8/13; ; 8/15; 8/13; 3/5; 1/2; 3/4; 8/13; ; 11/17; 3/4; 8/13; ; 5/8; ; 11/17; 6/10; ; 4/9; ; 
Draw; 16/5; 14/5; 3; 3; 16/5; ; 31/10; 3; 7/2; ; 3; 3; 16/5; 3; 3; 10/3; ; 13/4; 3; 3; ; 19/5; ; 13/4; 10/3; ; 14/5; ; 
Lincoln Utd; 7/2; 10/3; 4; 10/3; 7/2; ; 10/3; 16/5; 19/5; ; 4; 3; 7/2; 4; 3; 7/2; ; 57/17; 13/5; 10/3; ; 39/10; ; 57/17; 7/2; ; 7/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 12:23:40 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 6/10; 57/100; 6/10; 3/5; ; 3/5; 8/13; 8/13; ; 8/15; 8/13; ; 1/2; 3/4; 8/13; ; 11/17; 3/4; 8/13; ; 8/13; ; 11/17; 6/10; ; 1/2; ; 
Draw; 16/5; 14/5; 3; 3; 16/5; ; 31/10; 3; 7/2; ; 3; 3; ; 3; 3; 10/3; ; 13/4; 3; 3; ; 50/13; ; 13/4; 10/3; ; 14/5; ; 
Lincoln Utd; 7/2; 10/3; 4; 10/3; 7/2; ; 10/3; 16/5; 19/5; ; 4; 3; ; 4; 3; 7/2; ; 57/17; 13/5; 10/3; ; 75/19; ; 57/17; 7/2; ; 7/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 13:02:15 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 8/15; 57/100; 6/10; 4/7; ; 4/7; 8/13; 8/13; ; 8/15; 8/13; ; 1/2; 11/20; 4/7; ; 11/17; 3/4; 8/13; ; 8/13; ; 11/17; 6/10; ; 4/9; ; 
Draw; 16/5; 14/5; 3; 3; 16/5; ; 16/5; 3; 7/2; ; 3; 3; ; 3; 7/2; 10/3; ; 13/4; 3; 3; ; 50/13; ; 13/4; 10/3; ; 14/5; ; 
Lincoln Utd; 7/2; 15/4; 4; 10/3; 18/5; ; 17/5; 16/5; 19/5; ; 4; 3; ; 4; 4; 7/2; ; 57/17; 13/5; 10/3; ; 75/19; ; 57/17; 7/2; ; 7/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 13:47:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 8/15; 57/100; 6/10; 4/7; ; 11/20; 8/13; 8/13; 8/15; 8/15; 8/13; ; 1/2; 11/20; 4/7; ; 11/17; 3/4; 8/13; ; 8/13; ; 11/17; 6/10; ; 8/15; ; 
Draw; 16/5; 14/5; 3; 3; 16/5; ; 16/5; 3; 7/2; 10/3; 3; 3; ; 3; 7/2; 10/3; ; 13/4; 3; 3; ; 50/13; ; 13/4; 10/3; ; 13/5; ; 
Lincoln Utd; 7/2; 15/4; 4; 10/3; 18/5; ; 18/5; 16/5; 19/5; 19/5; 4; 3; ; 4; 4; 7/2; ; 57/17; 13/5; 10/3; ; 75/19; ; 57/17; 7/2; ; 13/5; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 15:47:40 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 8/15; 57/100; 6/10; 4/7; ; 11/20; 8/15; 4/7; 8/15; 8/15; 8/15; 3/5; 1/2; 11/20; 4/7; ; 7/12; 3/5; 4/7; ; 8/15; ; 7/12; 4/7; ; 1/2; ; 
Draw; 16/5; 3; 3; 14/5; 16/5; ; 16/5; 16/5; 7/2; 10/3; 3; 16/5; 16/5; 3; 7/2; 10/3; ; 13/4; 13/4; 3; ; 4; ; 13/4; 10/3; ; 12/5; ; 
Lincoln Utd; 7/2; 7/2; 4; 7/2; 18/5; ; 18/5; 10/3; 19/5; 19/5; 4; 7/2; 7/2; 18/5; 4; 7/2; ; 15/4; 13/4; 7/2; ; 23/5; ; 15/4; 15/4; ; 27/10; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 16:25:35 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/15; 1/2; 57/100; 6/10; 8/15; ; 11/20; 8/15; 4/7; 8/15; 8/15; 8/15; 3/5; 1/2; 11/20; 4/7; ; 7/12; 3/5; 4/7; ; 8/15; ; 7/12; 4/7; ; 1/2; ; 
Draw; 16/5; 3; 3; 14/5; 10/3; ; 16/5; 16/5; 7/2; 10/3; 3; 16/5; 16/5; 3; 7/2; 10/3; ; 13/4; 13/4; 3; ; 4; ; 13/4; 10/3; ; 13/10; ; 
Lincoln Utd; 7/2; 15/4; 4; 7/2; 19/5; ; 18/5; 10/3; 19/5; 19/5; 4; 7/2; 7/2; 18/5; 4; 7/2; ; 15/4; 13/4; 7/2; ; 23/5; ; 15/4; 15/4; ; 23/10; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-15 17:47:19 GMT+3; 2016-10-15 15:00; In Play; e70300-dr003
Spennymoor Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Lincoln Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
