META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 05:47:20 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 06:32:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 07:47:32 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 17/4; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 08:21:43 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 8/15; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 22/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 09:47:25 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 4/7; 8/15; ; ; ; 8/15; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 17/4; ; 4; ; ; ; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; 1/25; ; 
