Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 00:24:16 GMT+3; 2016-09-17 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 04:23:15 GMT+3; 2016-09-17 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 08:23:41 GMT+3; 2016-09-17 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 12:23:57 GMT+3; 2016-09-17 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 16:24:06 GMT+3; 2016-09-17 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Billericay; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Bognor Regis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-14 20:24:49 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 00:23:15 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 04:23:10 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 08:22:43 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 12:23:36 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Billericay; 9/5; ; ; ; ; ; 21/10; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 16:24:22 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-15 20:24:31 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 00:21:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 04:22:08 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 1/25; ; 
Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 08:21:49 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 1/25; ; 
