Folkestone Invicta; 8/13; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 00:24:28 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 04:24:22 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 08:23:51 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 12:24:48 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; ; ; 4/6; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Waltham Forest; 14/5; ; ; ; ; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 16:25:34 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-15 20:26:01 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
