Hemel Hempstead; 15/8; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-29 16:40:08 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 19/20; ; ; ; 21/20; 19/20; 21/20; ; ; ; 21/20; ; ; ; ; 21/20; 1; 1; ; ; ; 1; ; 42/41; ; ; 1/25; 20/21; 
Hemel Hempstead; 2; ; ; ; 11/5; 39/20; 11/5; ; ; ; 11/5; ; ; ; ; 21/10; 11/5; 37/19; ; ; ; 37/19; ; 79/40; ; ; 1/25; 15/8; 
Draw; 11/4; ; ; ; 11/4; 13/5; 14/5; ; ; ; 11/4; ; ; ; ; 14/5; 14/5; 28/11; ; ; ; 28/11; ; 27/10; ; ; 2/9; 23/10; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-29 20:23:16 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 19/20; 19/20; ; ; 21/20; 19/20; 21/20; ; ; ; 21/20; ; ; ; ; 21/20; 21/20; 1; ; ; ; 1; ; 42/41; ; ; 1/25; 20/21; 
Hemel Hempstead; 2; 2; ; ; 11/5; 39/20; 11/5; ; ; ; 11/5; ; ; ; ; 21/10; 2; 37/19; ; ; ; 37/19; ; 79/40; ; ; 1/25; 15/8; 
Draw; 11/4; 13/5; ; ; 11/4; 13/5; 14/5; ; ; ; 11/4; ; ; ; ; 14/5; 11/4; 28/11; ; ; ; 28/11; ; 27/10; ; ; 2/9; 23/10; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 00:22:56 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 19/20; 1; ; ; 21/20; 19/20; 21/20; ; ; ; 21/20; ; ; ; 1; 21/20; 21/20; 1; ; ; ; 1; ; 42/41; ; ; 10/11; 20/21; 
Hemel Hempstead; 2; 2; ; ; 11/5; 39/20; 11/5; ; ; ; 11/5; ; ; ; 2; 21/10; 2; 37/19; ; ; ; 37/19; ; 79/40; ; ; 15/8; 15/8; 
Draw; 11/4; 5/2; ; ; 11/4; 13/5; 14/5; ; ; ; 11/4; ; ; ; 5/2; 14/5; 11/4; 28/11; ; ; ; 28/11; ; 27/10; ; ; 23/10; 23/10; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 04:22:10 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 11/10; 19/20; ; ; 21/20; 19/20; 21/20; ; 21/20; ; 1; ; ; ; 10/11; 21/20; 21/20; 19/20; ; ; ; 19/20; ; 42/41; ; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; ; ; 23/10; 39/20; 23/10; ; 12/5; ; 23/10; ; ; ; 21/10; 21/10; 11/5; 21/10; ; ; ; 21/10; ; 79/40; ; ; 19/10; 2; 
Draw; 13/5; 5/2; ; ; 11/4; 13/5; 14/5; ; 14/5; ; 14/5; ; ; ; 5/2; 14/5; 13/5; 27/11; ; ; ; 27/11; ; 27/10; ; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 08:22:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 19/20; ; ; 21/20; 19/20; 21/20; ; 21/20; ; 1; ; ; ; 10/11; 21/20; 1; 19/20; ; ; ; 19/20; ; 42/41; ; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; ; ; 23/10; 39/20; 23/10; ; 12/5; ; 23/10; ; ; ; 21/10; 21/10; 9/4; 21/10; ; ; ; 21/10; ; 79/40; ; ; 19/10; 2; 
Draw; 13/5; 5/2; ; ; 11/4; 13/5; 14/5; ; 14/5; ; 14/5; ; ; ; 5/2; 14/5; 13/5; 27/11; ; ; ; 27/11; ; 27/10; ; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 12:23:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; ; 21/20; ; 1; ; ; ; 10/11; 21/20; 1; 19/20; ; ; ; 19/20; ; 42/41; ; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; 12/5; 21/10; 23/10; 39/20; 23/10; ; 12/5; ; 23/10; ; ; ; 21/10; 21/10; 9/4; 21/10; ; ; ; 21/10; ; 79/40; ; ; 19/10; 2; 
Draw; 13/5; 5/2; 27/10; 12/5; 11/4; 13/5; 14/5; ; 14/5; ; 14/5; ; ; ; 5/2; 14/5; 13/5; 27/11; ; ; ; 27/11; ; 27/10; ; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 16:23:52 GMT+3; 2016-10-01 15:00; e70300-dr003
