Blackpool; 31/10; 16/5; 10/3; 10/3; 7/2; 10/3; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 41/13; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 04:22:35 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 5/6; 33/40; 4/5; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 27/10; ; 
Blackpool; 31/10; 16/5; 10/3; 10/3; 10/3; 10/3; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 08:22:48 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 27/10; ; 
Blackpool; 31/10; 16/5; 10/3; 10/3; 7/2; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 12:26:08 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 14/19; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 11/4; ; 13/5; ; 
Blackpool; 31/10; 16/5; 10/3; 16/5; 7/2; 10/3; 33/10; 7/2; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 7/2; 41/13; 10/3; 10/3; 33/10; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 16:24:46 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 11/4; ; 13/5; ; 
Blackpool; 31/10; 16/5; 10/3; 16/5; 7/2; 10/3; 33/10; 7/2; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 7/2; 41/13; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 20:23:46 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 14/19; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 11/4; 3; 27/10; 29/10; 11/4; ; 13/5; ; 
Blackpool; 31/10; 16/5; 10/3; 16/5; 7/2; 10/3; 33/10; 7/2; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 7/2; 16/5; 10/3; 10/3; 57/17; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 00:22:32 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 14/19; 7/9; 4/5; 10/13; 81/100; 4/5; 4/5; 4/5; ; 8/11; 4/6; 
Draw; 14/5; 11/4; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 13/5; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 11/4; 3; 27/10; 29/10; 13/5; ; 13/5; 23/10; 
Blackpool; 31/10; 16/5; 17/5; 16/5; 7/2; 10/3; 10/3; 7/2; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 7/2; 13/4; 10/3; 10/3; 57/17; 18/5; 3; 17/5; 16/5; ; 3; 3; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 04:22:16 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 3/4; 4/5; 4/5; 14/19; 7/9; 4/5; 10/13; 81/100; 4/5; 4/5; 4/5; ; 8/11; 4/6; 
Draw; 14/5; 11/4; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 11/4; 3; 27/10; 29/10; 13/5; ; 13/5; 23/10; 
Blackpool; 31/10; 16/5; 17/5; 16/5; 7/2; 10/3; 10/3; 7/2; 10/3; 10/3; 13/4; 16/5; 10/3; 7/2; 10/3; 7/2; 13/4; 10/3; 10/3; 57/17; 18/5; 3; 17/5; 16/5; ; 3; 3; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 08:22:24 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 3/4; 4/5; 4/5; 14/19; 7/9; 4/5; 10/13; 81/100; 4/5; 4/5; 4/5; ; 8/11; 4/6; 
Draw; 14/5; 11/4; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 11/4; 3; 27/10; 29/10; 13/5; ; 13/5; 23/10; 
