META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; 12/5; 13/5; 13/5; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 53/20; 5/2; 13/5; 13/5; 40/17; 23/10; 11/4; 40/17; 27/10; 11/4; 11/4; ; ; 11/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 16:24:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; 42/41; 9/10; ; ; 20/21; 21/20; 
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; ; 23/10; 9/4; 5/2; 23/10; 21/10; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 13/5; 27/11; 5/2; ; ; 9/4; 2; 
Man Utd; 12/5; 13/5; 13/5; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 40/17; 23/10; 3; 40/17; 11/4; 11/4; 3; ; ; 11/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 20:25:05 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 11/10; 11/10; ; 21/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 1; 11/10; 9/10; 1; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 23/10; 5/2; ; 12/5; 23/10; 5/2; 23/10; 21/10; 23/10; 47/20; 23/10; 5/2; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 12/5; 2; 
Man Utd; 12/5; 13/5; 13/5; 11/5; 5/2; ; 27/10; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 28/11; 23/10; 3; 28/11; 11/4; 27/10; 3; ; ; 9/4; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 00:23:40 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 11/10; ; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 1; 11/10; 9/10; 1; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; ; 23/10; 23/10; 5/2; 23/10; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 12/5; 2; 
Man Utd; 12/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 27/10; 28/11; 23/10; 3; 28/11; 11/4; 27/10; 3; ; ; 9/4; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 04:23:43 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; ; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 1; 11/10; 9/10; 1; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; ; 23/10; 23/10; 5/2; 23/10; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 12/5; 2; 
Man Utd; 12/5; 13/5; 13/5; 5/2; 5/2; ; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 27/10; 28/11; 23/10; 3; 28/11; 11/4; 27/10; 3; ; ; 9/4; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 08:24:10 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 11/10; ; 21/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 1; 11/10; 9/10; 1; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; ; 23/10; 23/10; 5/2; 23/10; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 12/5; 2; 
Man Utd; 12/5; 13/5; 13/5; 5/2; 13/5; ; 27/10; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 27/10; 28/11; 23/10; 3; 28/11; 11/4; 27/10; 3; ; ; 9/4; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 12:27:32 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 11/10; ; 21/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 9/10; 1; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; ; 23/10; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 12/5; 21/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 13/5; ; 27/10; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 27/10; 5/2; 23/10; 3; 5/2; 11/4; 27/10; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 16:28:45 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 129/50; 12/5; 5/2; ; ; 12/5; 21/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 27/10; 40/17; 23/10; 3; 40/17; 11/4; 27/10; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-26 20:25:50 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; ; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 23/10; 51/20; ; 5/2; ; ; 12/5; 21/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 27/10; 40/17; 23/10; 3; 40/17; 14/5; ; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 00:23:29 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 51/20; 12/5; 5/2; ; ; 12/5; 23/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 27/10; 23/10; 23/10; 3; 23/10; 14/5; 27/10; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 04:23:01 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 51/20; 12/5; 5/2; ; ; 5/2; 23/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 27/10; 23/10; 23/10; 3; 23/10; 14/5; 27/10; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 08:23:12 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 9/10; 11/10; 11/10; 21/20; 9/10; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 5/2; 5/2; 12/5; 23/10; 5/2; 23/10; 21/10; 12/5; 47/20; 23/10; 5/2; 5/2; 40/17; 12/5; 5/2; 40/17; 51/20; 12/5; 5/2; ; ; 5/2; 23/10; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 13/5; 23/10; 23/10; 3; 23/10; 14/5; 27/10; 3; ; ; 11/5; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 12:24:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 1; 11/10; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 23/10; 21/10; 9/4; 47/20; 23/10; 5/2; 12/5; 40/17; 12/5; 9/4; 40/17; 51/20; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 12/5; 13/5; 27/10; 40/17; 23/10; 14/5; 40/17; 14/5; 27/10; 29/10; ; ; 11/5; 23/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 16:26:34 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 21/10; 9/4; 47/20; 23/10; 5/2; 12/5; 23/10; 12/5; 9/4; 23/10; 51/20; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 12/5; 13/5; 27/10; 28/11; 23/10; 14/5; 28/11; 14/5; 27/10; 29/10; ; ; 11/5; 23/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-27 20:24:52 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; ; ; 1; 1; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 21/10; 9/4; 47/20; 23/10; 5/2; 12/5; 23/10; 12/5; 9/4; 23/10; 51/20; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 53/20; 12/5; 13/5; 27/10; 28/11; 23/10; 14/5; 28/11; 14/5; 27/10; 29/10; ; ; 11/5; 23/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 00:23:11 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 51/20; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 53/20; 12/5; 13/5; 27/10; 28/11; 23/10; 14/5; 28/11; 14/5; 27/10; 29/10; ; ; 11/5; 9/4; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 04:23:26 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 15/13; 21/20; 11/10; 1; ; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; ; 51/20; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 53/20; 12/5; 13/5; 27/10; 28/11; 23/10; 14/5; ; 14/5; 27/10; 29/10; ; ; 11/5; 9/4; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 08:23:07 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 11/5; 23/10; 47/20; 23/10; 5/2; 5/2; 9/4; 12/5; 9/4; 9/4; 51/20; 12/5; 9/4; ; ; 23/10; 11/5; 
Man Utd; 12/5; 13/5; 13/5; 5/2; 5/2; 12/5; 27/10; 5/2; 5/2; 11/4; 5/2; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 23/10; 14/5; 13/5; 14/5; 27/10; 29/10; ; ; 9/4; 9/4; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 12:24:26 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; ; ; 1; 21/20; 
Draw; 5/2; 23/10; 9/4; 9/4; 12/5; 5/2; 23/10; 23/10; 5/2; 9/4; 11/5; 23/10; 47/20; 23/10; 5/2; 5/2; 23/10; 12/5; 9/4; 23/10; 51/20; 12/5; 9/4; ; ; 23/10; 9/4; 
Man Utd; 12/5; 13/5; 13/5; 5/2; 5/2; 12/5; 27/10; 5/2; 5/2; 11/4; 5/2; 13/5; 53/20; 5/2; 13/5; 11/4; 28/11; 23/10; 14/5; 28/11; 14/5; 27/10; 29/10; ; ; 9/4; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 16:25:08 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 11/10; 11/10; 1; 11/10; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 5/2; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 9/4; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 27/11; 23/10; 14/5; 27/11; 29/10; 13/5; 29/10; ; ; 2; 9/4; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-28 20:24:46 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 5/2; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 9/4; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 28/11; 23/10; 14/5; 28/11; 29/10; 13/5; 29/10; ; ; 2; 9/4; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 00:22:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 5/2; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 23/10; 121/50; 12/5; 9/4; ; ; 9/4; 21/10; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; ; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 04:22:05 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 5/2; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 21/10; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; ; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 08:22:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; ; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; ; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 21/10; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; ; 5/2; 29/10; 13/5; 29/10; ; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 12:23:44 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 21/10; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; ; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 16:22:19 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; ; 21/20; 28/25; 12/11; 1; ; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; ; 9/4; 121/50; 12/5; 9/4; ; ; 9/4; 11/5; 
Man Utd; 12/5; 13/5; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; ; 28/11; 29/10; 13/5; 29/10; ; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-01 20:24:07 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 21/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 21/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 2; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 00:22:17 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 9/4; 11/5; 9/4; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 27/10; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 12/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 04:22:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 21/20; 
Draw; 5/2; 9/4; 11/5; 9/4; 23/10; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 08:22:11 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 21/20; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 12:22:43 GMT+2; 2017-03-11 15:00; e70300-dr003
