Draw; 23/10; 23/10; 47/20; 11/5; ; ; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 08:22:55 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; ; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; ; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; ; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 12:23:34 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; ; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; ; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; ; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 16:23:13 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 20:23:23 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 23/10; 40/17; ; 23/10; 23/10; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 00:22:22 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 04:21:59 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 08:22:03 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 12:22:34 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 16:22:52 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-24 20:23:30 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-25 00:22:26 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-25 04:22:16 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-25 08:22:14 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-25 12:23:12 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; 27/20; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; 47/20; 11/5; ; 11/5; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-25 16:25:02 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 7/5; 6/4; 6/4; ; 27/20; 7/5; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 7/5; 6/4; ; 6/4; 7/5; 31/20; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 9/5; 7/4; 15/8; ; 33/20; 7/4; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; 39/20; ; 7/4; ; ; ; ; 
