META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 14:53:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 5/2; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 14/5; 5/2; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 18:23:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; ; 11/10; 21/20; 21/20; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; ; 2; 21/10; 12/5; 13/5; 23/10; 28/13; ; 28/13; ; ; 9/4; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; ; 23/10; 12/5; 40/17; 5/2; 13/5; 27/11; ; 27/11; ; ; 2; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 22:22:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; 12/5; 13/5; 23/10; 28/13; ; 28/13; ; ; 9/4; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; 13/5; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-07 02:22:39 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; ; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; ; 13/5; 23/10; 28/13; ; 28/13; ; ; 9/4; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; ; 5/2; 13/5; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-07 06:21:52 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; 12/5; 13/5; 23/10; 28/13; ; 28/13; ; ; 11/5; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; 13/5; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-07 10:24:07 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; 12/5; 13/5; 23/10; 28/13; ; 28/13; ; ; 11/5; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; 13/5; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-07 14:21:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 29/25; 21/20; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 12/5; ; 12/5; 11/5; 5/2; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; 12/5; 13/5; 23/10; 28/13; ; 28/13; ; ; 9/4; 
Draw; 11/4; 23/10; 23/10; ; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 21/10; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; 13/5; 27/11; ; 27/11; ; ; 9/4; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-07 18:24:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 1; 21/20; 21/20; ; 11/10; 19/20; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 1; 29/25; 21/20; 15/14; ; 15/14; ; ; 1; 
