Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 13/10; 29/20; 11/8; 11/8; 7/5; 23/17; 16/11; 11/8; ; 79/50; 9/7; 11/8; ; 11/8; ; 27/20; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; ; 89/50; 28/17; 17/10; ; 17/10; ; 13/8; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 9/4; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; ; 13/5; 5/2; 12/5; ; 12/5; ; 21/10; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 18:21:03 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 11/8; 29/20; ; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 15/11; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 9/5; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 7/4; ; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 9/5; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 47/20; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 21/10; 23/10; ; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 22:21:06 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 11/8; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; ; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; ; 7/4; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 9/5; 17/10; ; 17/10; ; 13/8; 7/4; 
Draw; 5/2; 12/5; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 02:20:52 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 29/20; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 7/4; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 9/5; 17/10; ; 17/10; ; 13/8; 7/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 06:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 29/20; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; ; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 7/4; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 9/5; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; ; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 10:20:52 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 29/20; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 7/4; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 33/19; 17/10; ; 17/10; ; 13/8; 13/8; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; 23/10; 19/10; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 14:20:58 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 29/20; 11/8; 11/8; 23/17; 16/11; 11/8; 7/5; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 7/4; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 33/19; 17/10; ; 17/10; ; 7/4; 7/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 18:25:42 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; ; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; ; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; ; 7/4; 9/5; 9/5; 6/4; 17/10; 9/5; 89/50; 33/19; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 11/5; 12/5; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; ; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-21 22:21:08 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 11/8; 23/17; 16/11; 11/8; 23/17; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 11/8; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 7/4; ; 7/4; 9/5; 9/5; 6/4; 17/10; 9/5; 89/50; 33/19; 17/10; ; 17/10; ; 7/4; 7/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; 12/5; ; 12/5; ; 12/5; 9/4; 
