META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-19 18:26:03 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Forest Green; 21/10; 9/5; 37/20; 19/10; 19/10; 2; 15/8; 15/8; 2; 19/10; 9/5; 9/5; 39/20; 19/10; 2; 15/8; 19/10; 21/10; 9/5; 19/10; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 9/4; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 64/25; 40/17; 9/4; ; 9/4; ; ; 9/4; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-24 06:21:16 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 7/5; 11/10; 7/5; 5/4; 13/10; 11/8; 27/20; 13/10; 13/10; 7/5; 13/10; 13/10; 23/17; 6/5; 13/10; 23/17; 139/100; 16/13; 25/19; ; 25/19; ; ; 27/20; 
Forest Green; 21/10; 9/5; 37/20; 19/10; 19/10; 2; 15/8; 15/8; 2; 19/10; 9/5; 9/5; 39/20; 19/10; 2; 15/8; 19/10; 21/10; 9/5; 19/10; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 9/4; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 64/25; 40/17; 9/4; ; 9/4; ; ; 9/4; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-24 10:21:57 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 7/5; 5/4; 7/5; 5/4; 13/10; 11/8; 27/20; 13/10; 13/10; 7/5; 13/10; 13/10; 23/17; 6/5; 13/10; 23/17; 139/100; 16/13; 25/19; ; 25/19; ; ; 27/20; 
Forest Green; 21/10; 9/5; 37/20; 19/10; 19/10; 9/5; 15/8; 15/8; 2; 19/10; 9/5; 9/5; 39/20; 19/10; 2; 15/8; 19/10; 21/10; 9/5; 19/10; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 9/4; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 64/25; 40/17; 9/4; ; 9/4; ; ; 9/4; 
