META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-18 14:27:13 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Eastleigh; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Macclesfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-18 18:23:24 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Macclesfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 12/5; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 21/10; 9/4; ; 11/5; 2; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; 9/4; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 10:22:36 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 7/5; 29/20; 29/20; 6/4; 5/4; 11/8; 11/8; 7/5; 7/5; 29/20; 11/8; 11/8; 7/5; 7/5; 7/5; 23/17; 11/10; 27/20; 23/17; 153/100; 26/19; 23/17; ; ; 7/5; 7/5; 
Macclesfield; 15/8; 9/5; 37/20; 9/5; 19/10; 7/4; 2; 15/8; 15/8; 19/10; 19/10; 15/8; 19/10; 2; 15/8; 15/8; 37/19; 2; 9/5; 37/19; 199/100; 17/9; 24/13; ; ; 19/10; 19/10; 
Draw; 12/5; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 21/10; 9/4; 9/4; 9/4; 2; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 119/50; 23/10; 9/4; ; ; 11/5; 9/4; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 14:23:41 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 7/5; 7/5; 13/10; 6/4; 13/10; 29/20; 11/8; 7/5; 7/5; 29/20; 13/10; 11/8; 29/20; 11/8; 7/5; 23/17; 11/10; 27/20; 23/17; 153/100; 10/7; 23/17; ; ; 7/5; 7/5; 
Macclesfield; 15/8; 9/5; 15/8; 2; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 2; 9/5; 19/10; 19/10; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 199/100; 37/19; 19/10; ; ; 19/10; 19/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 11/5; 41/20; 23/10; 21/10; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 11/5; 9/4; 119/50; 28/13; 11/5; ; ; 9/4; 11/5; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 18:23:45 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 7/5; 11/8; 13/10; 6/4; 13/10; 29/20; 11/8; 7/5; 7/5; 29/20; 13/10; 11/8; 7/5; 11/8; 7/5; 23/17; 11/10; 27/20; 23/17; 153/100; 10/7; 23/17; ; ; 7/5; 7/5; 
Macclesfield; 15/8; 9/5; 15/8; 2; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 2; 9/5; 19/10; 19/10; 19/10; 15/8; 19/10; 2; 19/10; 19/10; 199/100; 37/19; 19/10; ; ; 19/10; 19/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 21/10; 23/10; 21/10; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 11/5; 9/4; 119/50; 28/13; 11/5; ; ; 9/4; 9/4; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 22:23:18 GMT+2; 2017-02-21 19:45; In Play; Xlenovo
Macclesfield; 4/9; 4/9; 15/8; ; 15/8; 2/5; 9/20; 4/9; ; 4/9; 4/9; 1/2; ; 1/2; ; ; ; 5/12; ; ; 12/25; ; ; ; ; ; 1/2; 
Draw; 3; 14/5; 43/20; ; 9/4; 27/10; 29/10; 13/5; ; 9/4; 3; 11/4; ; 29/10; ; ; ; 14/5; ; ; 33/10; ; ; ; ; ; 3; 
Eastleigh; 7; 13/2; 11/8; ; 6/4; 5; 6; 6; ; 13/2; 6; 5; ; 13/2; ; ; ; 6; ; ; 31/5; ; ; ; ; ; 32/5; 
