META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 14:52:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 19:05:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 06:21:30 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 8/13; 8/13; 13/20; ; 4/6; ; 13/20; 4/7; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; ; 8/13; 11/17; 11/17; 4/7; 11/17; 18/25; 5/8; 5/8; ; 5/8; ; ; ; 
Draw; 29/10; 11/4; 49/20; ; 13/5; ; 27/10; 13/5; 11/4; 13/5; 5/2; 23/10; 27/10; 5/2; ; 27/10; 13/5; 13/5; 5/2; 13/5; 3; 13/5; 28/11; ; 28/11; ; ; ; 
Torquay; 17/4; 19/4; 17/4; ; 9/2; ; 9/2; 4; 17/4; 17/4; 17/4; 4; 17/4; 4; ; 9/2; 21/5; 10/3; 21/5; 21/5; 21/5; 15/4; 21/5; ; 21/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 10:22:19 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 8/13; 4/6; 13/20; ; 4/6; ; 13/20; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 11/18; 11/17; 4/7; 11/18; 18/25; 5/8; 5/8; ; 5/8; ; ; ; 
Draw; 29/10; 13/5; 49/20; ; 13/5; ; 27/10; 13/5; 11/4; 13/5; 5/2; 23/10; 27/10; 5/2; 13/5; 27/10; 45/17; 13/5; 5/2; 45/17; 3; 13/5; 28/11; ; 28/11; ; ; ; 
Torquay; 17/4; 9/2; 17/4; ; 9/2; ; 9/2; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 17/4; 9/2; 50/11; 10/3; 21/5; 50/11; 21/5; 15/4; 21/5; ; 21/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 14:21:58 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 4/6; 6/10; ; 8/13; 11/20; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 11/17; 4/7; 10/17; 13/20; 5/9; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 13/5; ; 13/5; 5/2; 11/4; 13/5; 11/4; 11/4; 13/5; 12/5; 27/10; 13/5; 11/4; 27/10; 13/5; 13/5; 5/2; 27/10; 16/5; 27/10; 28/11; ; 28/11; ; ; 5/2; 
Torquay; 5; 9/2; 19/4; ; 5; 17/4; 21/4; 4; 19/4; 5; 24/5; 9/2; 17/4; 9/2; 5; 9/2; 9/2; 10/3; 21/5; 63/13; 9/2; 21/5; 21/5; ; 21/5; ; ; 4; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 18:23:27 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 6/10; ; 8/13; 11/20; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; ; 11/17; 4/7; 4/7; 13/20; 3/5; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 12/5; 14/5; 13/5; 11/4; 13/5; 5/2; 12/5; 27/10; 13/5; 11/4; 27/10; ; 13/5; 5/2; 27/10; 16/5; 5/2; 28/11; ; 28/11; ; ; 13/5; 
