Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/5; ; ; 1/5; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 45/4; 11; 11; 45/4; 31/2; 46/5; 11; ; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-20 20:20:35 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/5; 1/5; ; 1/5; ; 
Draw; 6; ; 6; 11/2; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; 11/2; ; 31/5; ; 
Real Sociedad; 12; ; 11; 12; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 45/4; 11; 11; 45/4; 31/2; 46/5; 11; 11; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-21 00:19:55 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/5; 1/5; ; 1/5; ; 
Draw; 6; ; 6; 11/2; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; 11/2; ; 31/5; ; 
Real Sociedad; 12; ; 11; 12; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 45/4; 11; 11; 45/4; 31/2; 46/5; 11; 11; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-21 04:19:53 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/5; 1/5; ; 1/5; ; 
Draw; 6; ; 6; 11/2; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; 11/2; ; 31/5; ; 
Real Sociedad; 12; ; 11; 12; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 45/4; 11; 11; 45/4; 31/2; 46/5; 11; 11; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-21 08:20:10 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/5; 1/5; ; 1/5; ; 
Draw; 6; ; 6; 11/2; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 25/4; 11/2; 6; 25/4; 73/10; 31/5; 6; 11/2; ; 31/5; ; 
Real Sociedad; 12; ; 11; 12; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 45/4; 11; 11; 45/4; 31/2; 46/5; 11; 11; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-21 12:22:10 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 21/100; 2/11; 1/5; 1/5; ; 1/5; ; 
