META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 00:18:50 GMT+2; 2017-04-05 11:00; e70300-dr003
San Martin de San Juan 4-2; 125; 125; 125; 125; 125; 100; 150; 200; 100; 125; 125; ; 150; ; 125; 100; 347/4; 250; ; 347/4; ; 200; 180; 100; 180; ; ; ; 
Boca Juniors 5-2; 100; 125; ; 200; 125; 100; 150; 325; ; 125; 125; ; 150; ; 100; 100; 169/2; ; ; 169/2; ; ; 140; ; 140; ; ; ; 
Boca Juniors 6-0; 150; 150; ; 200; 150; 200; 150; 375; 100; 175; 150; ; 175; ; 150; 125; 371/4; ; ; 371/4; ; ; 160; 100; 160; ; ; ; 
San Martin de San Juan 4-3; 200; 150; 175; 150; 150; 200; 150; 425; ; 175; 150; ; 175; ; 200; 125; ; 250; ; ; ; 200; 300; ; 300; ; ; ; 
Boca Juniors 10-0; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 10-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 5-3; 350; ; ; ; 200; ; 150; 500; ; 250; 150; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 5-4; ; ; ; ; 250; ; ; 500; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 6-1; 150; ; ; 250; 150; 200; 150; 500; ; 175; 150; ; 175; ; 150; 150; ; ; ; ; ; ; 180; ; 180; ; ; ; 
Boca Juniors 6-2; 350; ; ; 300; 200; ; 150; 500; ; 275; 150; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 6-3; ; ; ; ; 250; ; ; 500; ; 450; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 7-0; ; ; ; 500; 200; ; 150; 500; ; 375; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 7-1; ; ; ; 500; 250; ; 150; 500; ; 375; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 7-2; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 8-0; ; ; ; 500; 250; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 8-1; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 9-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boca Juniors 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 450; ; 250; 200; 200; ; 150; 500; ; 300; 150; ; 200; ; ; 150; ; 250; ; ; ; 200; 300; ; 300; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 10-0; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 10-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 5-0; ; 300; ; 500; 200; ; 150; 500; 100; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; 125; ; ; ; ; 
San Martin de San Juan 5-1; 500; 250; ; 300; 200; ; 150; 500; 100; 325; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; 125; ; ; ; ; 
San Martin de San Juan 5-2; ; 300; ; 500; 250; ; 150; 500; ; 350; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 5-3; ; ; ; ; 200; ; 150; 500; ; 425; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 5-4; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 6-0; ; 200; ; ; 150; ; 150; 500; 100; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; 125; ; ; ; ; 
San Martin de San Juan 6-1; ; ; ; 500; 250; ; 150; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 6-2; ; ; ; 500; 250; ; 150; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 6-3; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 7-0; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 7-1; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 7-2; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 8-1; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 9-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
San Martin de San Juan 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 00:20:05 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; ; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 4; 15/4; ; 7/2; ; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; ; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 04:19:50 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 4; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 04:30:51 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 4; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 08:19:56 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 4; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 12:17:03 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 4; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-25 20:19:00 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 2/5; ; 40/85; 2/5; ; 4/9; 4/9; ; 4/9; 4/9; 4/9; 4/9; 21/50; ; 9/20; 2/5; 3/7; 4/9; ; 3/7; 11/25; 3/7; ; ; ; ; ; ; 
Draw; 7/2; ; 10/3; 17/5; ; 37/10; 7/2; ; 7/2; 10/3; 16/5; 10/3; 7/2; ; 10/3; 7/2; 33/10; 7/2; ; 33/10; 77/20; 7/2; ; ; ; ; ; ; 
Osasuna; 13/2; ; 13/2; 15/2; ; 13/2; 13/2; ; 6; 6; 6; 6; 13/2; ; 13/2; 13/2; 6; 11/2; ; 6; 77/10; 53/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-26 00:18:02 GMT+2; ; e70300-dr003
Bournemouth; 1/150; ; ; 1/100; ; ; ; ; 1/250; 1/500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leicester; 1/66; 1/100; ; 1/66; ; ; ; 1/100; 1/250; 1/200; ; ; ; 1/100; ; ; ; ; ; ; ; 1/100; ; ; ; ; ; ; 
Burnley; 1/33; 1/100; ; 1/66; ; ; ; 1/100; 1/100; 1/66; ; ; ; 1/100; ; ; ; ; ; ; ; 1/100; ; ; ; ; ; ; 
Watford; 1/25; 1/25; ; 1/50; ; ; ; 1/50; 1/66; 1/25; ; ; ; 1/33; ; ; ; ; ; ; ; 1/41; ; ; ; ; ; ; 
Crystal Palace; 1/5; 1/4; ; 1/4; 2/9; ; 1/6; 1/4; 1/5; 1/6; ; ; ; 1/4; ; ; ; ; ; ; ; 2/13; ; ; ; ; ; ; 
Swansea; 2/7; 1/3; ; 1/4; 2/9; ; 1/3; 1/4; 1/4; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; 
Hull; 13/8; 7/4; ; 13/8; 13/8; ; 13/8; 6/4; 7/4; 13/8; ; ; ; 6/4; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 
Middlesbrough; 10/3; 3; ; 11/4; 3; ; 11/4; 11/4; 11/4; 11/4; ; ; ; 3; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Sunderland; 8; 8; ; 6; 6; ; 7; 17/2; 7; 8; ; ; ; 8; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-26 00:23:59 GMT+2; ; e70300-dr003
Germany; 5; ; 11/2; 5; 5; 4; 6; 11/2; 9/2; ; 9/2; 11/2; 9/2; 5; ; ; 5; 11/2; 21/5; 5; 11/2; 5; 4; ; 17/4; ; 11/2; ; 
Brazil; 7; ; 7; 7; 7; 5; 7; 7; 8; ; 11/2; 7; 8; 8; ; ; 7; 7; 6; 7; 8; 7; 7; ; 6; ; 31/5; ; 
Argentina; 8; ; 8; 9; 9; 8; 9; 17/2; 8; ; 15/2; 8; ; 8; ; ; 17/2; 10; 7; 17/2; 8; 8; 5; ; 7; ; 9; ; 
Spain; 9; ; 9; 9; 8; 8; 10; 9; 9; ; 9; 9; 15/2; 8; ; ; 17/2; 9; 10; 17/2; 9; 9; 7; ; 10; ; 9; ; 
France; 7; ; 6; 7; 8; 8; 8; 15/2; 8; ; 13/2; 7; ; 11; ; ; 15/2; 7; 7; 15/2; 9; 8; 11; ; 7; ; 7; ; 
Belgium; 16; ; 16; 14; 16; 16; 14; 14; 14; ; 16; 16; 16; 20; ; ; 14; 16; 14; 14; 16; 16; 14; ; 14; ; 71/5; ; 
Italy; 16; ; 16; 14; 16; 16; 16; 16; 16; ; 20; 16; 16; 16; ; ; 18; 12; 17; 18; 16; 16; 17; ; 17; ; 83/5; ; 
England; 16; ; 20; 20; 20; 16; 16; 25; 16; ; 18; 20; 18; 22; ; ; 18; 20; 20; 18; 22; 18; 24; ; 24; ; 18; ; 
Portugal; 25; ; 20; 33; 28; 20; 25; 25; 25; ; 22; 28; 25; 25; ; ; 22; 14; 30; 22; 25; 25; 30; ; 30; ; 28; ; 
Netherlands; 25; ; 20; 33; 25; 20; 25; 33; 25; ; 33; 25; 18; 14; ; ; 22; 20; 20; 22; 20; 25; 14; ; 20; ; 29; ; 
Colombia; 25; ; 28; 25; 25; 33; 33; 33; 25; ; 33; 25; 22; 25; ; ; 22; 22; 20; 22; 28; 25; 20; ; 20; ; 31; ; 
Chile; 40; ; 33; 33; 33; 22; 40; 40; 40; ; 25; 33; 33; 33; ; ; 40; 22; 32; 40; 33; 33; 40; ; 40; ; 33; ; 
Russia; 33; ; 28; 25; 28; 33; 40; 33; 25; ; 28; 25; 25; 25; ; ; 117/4; 16; 25; 30; 28; 28; 25; ; 25; ; 33; ; 
Uruguay; 40; ; 40; 33; 33; 50; 40; 40; 33; ; 33; 40; 40; 50; ; ; 45; 22; 44; 45; 50; 40; 50; ; 50; ; 35; ; 
Mexico; 80; ; 66; 80; 66; 80; 66; 66; 80; ; 66; 66; 50; 66; ; ; 70; 80; 66; 70; 66; 66; 80; ; 80; ; 61; ; 
Croatia; 40; ; 40; 40; 40; 20; 40; 40; 50; ; 40; 40; 50; 50; ; ; 40; 25; 44; 40; 50; 50; 100; ; 44; ; 14/5; ; 
Switzerland; 100; ; 66; 80; 66; 80; 50; 80; 80; ; 66; 66; 66; 66; ; ; 80; 100; 100; 80; 80; 80; 100; ; 100; ; 47; ; 
USA; 80; ; 66; 66; 80; 80; 66; 66; 50; ; 100; 80; 66; 66; ; ; 80; 125; 100; 80; 80; 66; 100; ; 100; ; 70; ; 
Ukraine; 125; ; 80; 100; 80; 80; 100; 80; 80; ; 100; 80; 80; 80; ; ; 150; 100; 80; 150; 80; 100; 80; ; 80; ; 246; ; 
Austria; 150; ; 100; 150; 150; 100; 150; 200; 200; ; 150; 150; 150; 150; ; ; 200; 150; 200; 200; 150; 200; 200; ; 200; ; 47; ; 
Bosnia-Herzegovina; 150; ; 150; 80; 100; 100; 150; 100; 100; ; 200; 100; 80; 100; ; ; 125; 200; 150; 125; 125; 150; 150; ; 150; ; 47; ; 
Denmark; 150; ; 150; 150; 125; 100; 200; 66; 150; ; 200; 125; 80; 80; ; ; 150; 200; 200; 150; 125; 200; 200; ; 200; ; 47; ; 
Serbia; 100; ; 150; 100; 100; 100; 80; 80; 100; ; 100; 100; 80; 100; ; ; 125; 80; 150; 125; 100; 100; 200; ; 200; ; 47; ; 
Poland; 100; ; 66; 80; 66; 150; 66; 66; 80; ; 66; 80; 100; 100; ; ; 80; 50; 80; 80; 80; 80; 200; ; 80; ; 75; ; 
Japan; 150; ; 200; 100; 200; 150; 150; 150; 150; ; 100; 125; 100; 150; ; ; 125; 150; 200; 125; 150; 200; 200; ; 200; ; 208; ; 
Ghana; 150; ; 200; 150; 200; 100; 200; 100; 200; ; 250; 150; 150; 100; ; ; 175; 250; 200; 175; 150; 200; 200; ; 200; ; 47; ; 
Ivory Coast; 150; ; 200; 150; 150; 100; 250; 150; 150; ; 100; 100; 150; 150; ; ; 125; 250; 100; 125; 100; 200; 100; ; 100; ; 47; ; 
Czech Republic; 150; ; 100; 150; 150; 100; 250; 100; 100; ; 100; 66; 100; 66; ; ; 125; 150; 100; 125; 100; 100; 100; ; 100; ; 61; ; 
Nigeria; 150; ; 125; 150; 250; 150; 150; 150; 150; ; 125; 150; 150; 150; ; ; 175; 250; 200; 175; 150; 200; 200; ; 200; ; 89; ; 
Turkey; 100; ; 80; 150; 150; 100; 200; 100; 200; ; 250; 125; 100; 100; ; ; 125; 150; 100; 125; 150; 150; 100; ; 100; ; 189; ; 
Sweden; 200; ; 100; 150; 150; 100; 150; 150; 100; ; 250; 150; 80; 80; ; ; 200; 100; 200; 200; 125; 200; 200; ; 200; ; 218; ; 
Greece; 250; ; 200; 150; 150; 250; 250; 150; 250; ; 250; 200; 100; 66; ; ; 200; 150; 150; 200; 200; 250; 150; ; 150; ; 246; ; 
Algeria; 200; ; 150; 100; 150; 125; 200; 150; 200; ; 250; 150; 150; 150; ; ; 250; 250; 150; 250; 200; 250; 300; ; 300; ; 47; ; 
Ecuador; 250; ; 200; 125; 125; 150; 150; 200; 200; ; 150; 250; 200; 200; ; ; 225; 200; 200; 225; 250; 300; 200; ; 200; ; 208; ; 
South Korea; 250; ; 200; 250; 250; 200; 250; 150; 200; ; 150; 250; 200; 150; ; ; 300; 250; 300; 300; 200; 300; 300; ; 300; ; 218; ; 
Rep Ireland; 200; ; 200; 250; 250; 500; 125; 125; 500; ; 250; 250; 500; 500; ; ; 200; 250; 250; 200; 500; 500; 250; ; 250; ; 20/21; ; 
Cameroon; 400; ; 300; 250; 500; 250; 400; 300; 300; ; 300; 250; ; 300; ; ; 450; 250; 200; 450; 250; 400; 200; ; 200; ; 47; ; 
Costa Rica; 500; ; 500; 250; 250; 500; 400; 300; 500; ; 250; 500; 500; 300; ; ; 400; 250; 200; 400; 500; 500; 200; ; 200; ; 47; ; 
Montenegro; 250; ; 200; 250; 250; 300; 200; 200; 200; ; 300; 200; ; 150; ; ; 250; 500; ; 250; 250; 300; ; ; ; ; 237; ; 
Hungary; ; ; 300; 500; 250; 350; 400; 300; ; ; 500; 300; ; 300; ; ; ; 350; 300; ; 250; 500; 300; ; 300; ; ; ; 
Morocco; 250; ; 500; 250; 500; 500; 500; ; ; ; 500; 500; ; ; ; ; 300; 250; ; 300; 500; ; ; ; ; ; ; ; 
Paraguay; 150; ; 300; 500; 300; 250; 500; 300; 250; ; 400; 250; 250; 300; ; ; 150; 100; 150; 150; 200; 300; 150; ; 150; ; ; ; 
Egypt; 200; ; 500; ; 500; 500; 750; 500; 500; ; 150; 500; ; 500; ; ; 200; 250; ; 200; 750; 750; ; ; ; ; 47; ; 
Romania; 250; ; 300; 250; 250; 300; 750; 100; 250; ; 250; 250; 200; 150; ; ; 300; 200; 400; 300; 250; 300; 400; ; 400; ; 47; ; 
Wales; 200; ; 150; 150; 150; 100; 150; 100; 100; ; 200; 150; 80; 750; ; ; 200; 80; 200; 200; 150; 150; 500; ; 500; ; 47; ; 
Norway; 250; ; 250; 500; 300; 150; 500; 150; 200; ; 750; 200; 150; 200; ; ; 250; 250; 300; 250; 250; 250; 300; ; 300; ; 522; ; 
Slovakia; 500; ; 400; 500; 500; 300; 750; 500; 500; ; 200; 400; ; 500; ; ; 450; 350; 400; 450; 250; 500; 400; ; 400; ; 588; ; 
Australia; 750; ; 500; 250; 250; 500; 500; 200; 500; ; 300; 300; 250; 300; ; ; 600; 150; 200; 600; 500; 1000; 200; ; 200; ; 47; ; 
Senegal; 500; ; 300; ; 500; ; 1000; 500; ; ; 500; 500; ; 500; ; ; 750; 1000; 200; 750; 500; 500; 200; ; 200; ; 47; ; 
Bulgaria; 1000; ; 500; 500; 500; 750; 1000; 150; 300; ; 750; 500; 250; 250; ; ; 1000; 250; ; 1000; 500; 1000; ; ; ; ; 237; ; 
Angola; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Armenia; ; ; 1000; ; ; ; 1000; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1000; ; ; ; ; ; ; ; 
Iceland; 250; ; 1000; 250; 250; 500; 200; 250; ; ; 500; ; ; 1000; ; ; 300; 500; 300; 300; 500; 500; 500; ; 500; ; ; ; 
Israel; 1000; ; 1000; ; 500; 1000; 1000; 500; 1000; ; ; 1000; 1000; 1000; ; ; 1000; 500; 500; 1000; 1000; ; 500; ; 500; ; ; ; 
Latvia; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1000; ; ; ; ; ; ; ; 
Slovenia; 500; ; 500; 500; 250; 500; 500; 1000; 500; ; ; 500; ; 1000; ; ; 500; 350; 200; 500; 500; 1000; 200; ; 200; ; ; ; 
United Arab Emirates; ; ; 1000; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; ; 1000; ; ; ; ; ; ; 
Scotland; 1500; ; 400; 1000; 1500; 1000; 1000; 500; 1000; ; 1500; 500; 500; 500; ; ; 1000; 300; 500; 1000; 750; 1500; 500; ; 500; ; 47; ; 
Iran; 1000; ; 250; 500; 250; 500; 250; 500; 1000; ; 500; 1000; ; 1000; ; ; 77075; 500; 300; 1000; 1000; 1500; 300; ; 300; ; 94; ; 
Uzbekistan; ; ; ; ; 750; ; ; ; ; ; 500; ; ; ; ; ; ; 500; ; ; ; 1500; ; ; ; ; 484; ; 
Burkina Faso; ; ; 1000; ; 1000; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 1500; ; ; 1500; ; ; ; ; ; ; ; 
FYR Macedonia; ; ; 1000; ; ; ; 1500; 500; ; ; ; ; ; 500; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 
Peru; 1000; ; 500; ; 500; 350; 1500; 500; 500; ; 300; 500; ; 500; ; ; 1000; 500; 500; 1000; 500; 1000; 500; ; 500; ; ; ; 
South Africa; 750; ; 1000; ; 1000; ; 1500; 1000; ; ; ; ; ; 1000; ; ; 1000; 1000; ; 1000; 1000; 1500; ; ; ; ; ; ; 
Venezuela; ; ; 500; ; 1500; 500; ; 300; ; ; 750; 500; ; 300; ; ; ; 500; 400; ; 500; 500; 400; ; 400; ; ; ; 
Albania; 1500; ; 500; ; 1000; ; 1000; 1000; ; ; ; ; ; 1000; ; ; 1751; 500; ; 1751; 500; ; ; ; ; ; ; ; 
Georgia; 1500; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; 1751; 1000; ; 1751; 1500; ; ; ; ; ; ; ; 
Panama; 1500; ; ; ; 1500; ; ; ; 1500; ; ; ; ; ; ; ; 1751; 1000; ; 1751; ; ; ; ; ; ; ; ; 
Northern Ireland; 500; ; 1000; 750; 500; 1500; 1500; 500; 2000; ; 750; 1000; ; 2000; ; ; 500; 1000; 500; 500; 1500; 1500; 500; ; 500; ; 47; ; 
Belarus; ; ; 1000; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 
Bolivia; ; ; 500; ; 2000; 500; ; 500; ; ; 750; 500; ; 500; ; ; ; 350; 500; ; 750; 500; 500; ; 500; ; ; ; 
China; 1000; ; 500; ; 1250; ; 2000; ; ; ; ; ; 1000; 750; ; ; 1250; 750; 500; 1250; 1000; 1000; 500; ; 500; ; ; ; 
Honduras; 1000; ; 1000; ; 2000; 1000; 1500; 500; 1000; ; ; 1000; ; 500; ; ; 1250; 500; 500; 1250; 500; 1500; 500; ; 500; ; ; ; 
Jamaica; ; ; 1500; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; 
Lithuania; ; ; 1000; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; ; 500; ; ; 1500; ; ; ; ; ; ; ; 
Moldova; ; ; 2000; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 1500; ; ; ; ; ; ; ; 
Qatar; 1500; ; 1000; 1000; 2000; ; ; 1000; ; ; ; ; ; 1000; ; ; 1250; 500; ; 1250; 1000; 1500; ; ; ; ; ; ; 
Bahrain; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Canada; ; ; 2500; ; ; ; 1000; 500; ; ; ; 500; 500; 500; ; ; ; ; 500; ; 500; 1500; 500; ; 500; ; ; ; 
