Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; 9/4; 47/20; ; 5/2; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 23/10; 11/5; 12/5; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; 16/5; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; 14/5; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-03 00:20:27 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; 19/20; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; 19/20; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; 9/4; 47/20; ; 5/2; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 23/10; 11/5; 12/5; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; 16/5; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; 14/5; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-03 04:20:27 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; 19/20; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; 19/20; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; 9/4; 47/20; ; 5/2; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 23/10; 11/5; 12/5; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; 16/5; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; 14/5; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-03 08:20:19 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; 19/20; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; 19/20; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; 9/4; 47/20; ; 5/2; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 23/10; 11/5; 12/5; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; 16/5; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; 14/5; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-03 12:22:04 GMT+2; 2016-12-12 19:45; e70300-dr003
