META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 04:20:14 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 08:20:28 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 12:20:52 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
