META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 23/10; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 16/5; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-23 16:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-23 20:18:52 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 00:18:28 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 04:18:24 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 08:16:23 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 12:17:44 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 16:18:52 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-24 20:19:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-25 00:19:43 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; ; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; ; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; ; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-25 04:19:32 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-25 08:19:21 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-25 12:16:44 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; ; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 5/6
Draw; 23/10; 13/5; 13/5; 5/2; ; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 27/10
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; ; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 14/5; ; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-25 20:18:39 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; 7/2; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 00:17:43 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; 7/2; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 00:23:40 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; 7/2; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 04:18:26 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 20/23; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; 7/2; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 16/5; 17/5; 10/3; 16/5; 15/4; 29/10; 57/17; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 08:18:15 GMT+2; 2017-03-25 01:00; e70300-dr003
New Zealand; 2/11; 2/13; 2/11; 1/5; 1/6; 3/20; 1/6; 1/6; ; 1/5; ; 1/5; ; 2/11; 1/6; ; 1/8; ; ; 1/8; ; 3/19; ; 1/6; ; ; 1/50; 2/11; 
Draw; 5; 9/2; 9/2; 9/2; 9/2; 460/100; 11/2; 11/2; ; 11/2; ; 5; ; 6; 5; ; 21/4; ; ; 21/4; ; 23/5; ; 5; ; ; 28/5; 29/5; 
Fiji; 12; 12; 12; 11; 11; 12; 18; 16; ; 14; ; 16; ; 18; 11; ; 55/4; ; ; 55/4; ; 11; ; 14; ; ; 1/3; 68/5; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 12:18:47 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 17/20; 8/11; 5/6; 5/6; 5/6; 20/23; 5/6; 17/20; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 11/13; 5/6; 11/13; ; 8/11; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 14/5; 13/5; 28/11; 12/5; 28/11; ; 12/5; ; 
Deportivo La Coruna; 15/4; 16/5; 16/5; 3; 7/2; 10/3; 33/10; 16/5; 3; 10/3; 3; 16/5; 16/5; 3; 3; 10/3; 13/4; 17/5; 10/3; 13/4; 15/4; 29/10; 57/17; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 16:20:04 GMT+2; 2017-04-01 16:00; e70300-dr003
Bohemians 1905; 6/5; ; ; ; ; ; 5/4; ; ; ; ; 6/5; ; ; 13/10; ; 6/5; 6/5; 5/4; 6/5; 67/50; 6/5; 23/18; ; ; ; ; ; 
Draw; 21/10; ; ; ; ; ; 21/10; ; ; ; ; 21/10; ; ; 21/10; ; 21/10; 21/10; 21/10; 21/10; 117/50; 28/13; 28/13; ; ; ; ; ; 
FK Pribram; 5/2; ; ; ; ; ; 12/5; ; ; ; ; 2; ; ; 21/10; ; 21/10; 21/10; 2; 21/10; 57/25; 39/19; 39/19; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-26 20:19:31 GMT+2; 2017-04-02 18:45; e70300-dr003
Any Other Score; ; ; 19/5; ; ; ; ; 4; 7; ; ; ; ; ; ; ; ; 16/5; ; ; ; 33/10; ; ; ; ; ; ; 
Barcelona 2-0; 15/2; 15/2; 17/2; 8; ; 13/2; 9; 17/2; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 7; 15/2; 31/4; 31/4; 17/2; 31/4; ; 39/5; 17/2; 7; 17/2; ; 34/5; ; 
Barcelona 3-0; 15/2; 7; 17/2; 15/2; ; 13/2; 9; 9; 7; 15/2; 15/2; 7; 15/2; 8; 15/2; 7; 15/2; 8; 17/2; 15/2; ; 77/10; 17/2; 7; 17/2; ; 37/5; ; 
Barcelona 2-1; 17/2; 9; 10; 9; ; 8; 9; 9; 9; 17/2; 17/2; 8; 17/2; 9; 8; 17/2; 37/4; 33/4; 8; 37/4; ; 10; 8; 9; 8; ; 41/5; ; 
Barcelona 3-1; 9; 9; 10; 9; ; 8; 19/2; 10; 9; 17/2; 17/2; 8; 17/2; 9; 8; 17/2; 37/4; 17/2; 9; 37/4; ; 9; 9; 9; 9; ; 41/5; ; 
Barcelona 1-0; 11; 12; 12; 12; ; 10; 12; 12; 12; 11; 11; 11; 11; 12; 10; 11; 47/4; 11; 21/2; 47/4; ; 12; 21/2; 11; 21/2; ; 54/5; ; 
Barcelona 4-0; 10; 10; 11; 9; ; 19/2; 21/2; 13; 9; 10; 10; 10; 11; 10; 10; 10; 10; 10; 10; 10; ; 10; 10; 17/2; 10; ; ; ; 
Barcelona 4-1; 12; 12; 13; 11; ; 11; 12; 14; 12; 11; 11; 11; 11; 12; 11; 11; 12; 23/2; 11; 12; ; 13; 11; 11; 11; ; ; ; 
Draw 1-1; 14; 12; 15; 14; ; 12; 15; 14; 14; 12; 14; 12; 12; 14; 12; 12; 14; 13; 13; 14; ; 15; 13; 12; 13; ; 64/5; ; 
Barcelona 5-0; 16; 16; ; 16; ; 12; 17; 22; 16; 16; 16; 16; 20; 18; 14; 16; 65/4; ; 15; 65/4; ; ; 15; 14; 15; ; ; ; 
Barcelona 3-2; 20; 22; 20; 20; ; 16; 19; 20; 22; 18; 18; 18; 16; 20; 18; 18; 41/2; 35/2; 17; 41/2; ; 24; 17; 22; 17; ; 88/5; ; 
Draw 2-2; 20; 20; 20; 22; ; 16; 21; 19; 22; 18; 20; 18; 18; 20; 18; 18; 83/4; 19; 19; 83/4; ; 24; 19; 20; 19; ; 88/5; ; 
Barcelona 5-1; 20; 20; ; 18; ; 16; 19; 25; 20; 18; 18; 18; 22; 20; 16; 18; 19; ; 16; 19; ; ; 16; 18; 16; ; ; ; 
Barcelona 4-2; 25; 28; 25; 25; ; 20; 28; 30; 28; 25; 25; 22; 25; 25; 22; 25; 51/2; 22; 22; 51/2; ; 31; 22; 28; 22; ; ; ; 
Granada 2-1; 33; 33; 35; 28; ; 25; 35; 40; 33; 28; 33; 28; 30; 40; 25; 28; 29; 30; 29; 29; ; 37; 29; 33; 29; ; 23/5; ; 
Draw 0-0; 28; 33; 33; 22; ; 25; 33; 30; 33; 28; 33; 22; 33; 33; 25; 22; 61/4; 18; 21; 61/4; ; 40; 21; ; 21; ; 28; ; 
Barcelona 6-0; 28; 33; ; 33; ; 25; 35; 45; 33; 28; 33; 25; 40; 33; 25; 28; 28; ; 25; 28; ; ; 25; 25; 25; ; ; ; 
Barcelona 5-2; 40; 40; ; 50; ; 28; 45; 50; ; 33; 40; 33; 45; 35; 33; 33; 149/4; ; 31; 149/4; ; ; 31; 40; 31; ; ; ; 
Barcelona 6-1; 33; 40; ; 40; ; 28; 35; 50; ; 33; 33; 28; 40; 35; 28; 33; 65/2; ; 27; 65/2; ; ; 27; 33; 27; ; ; ; 
Granada 1-0; 40; 40; 50; 40; ; 28; 50; 60; 40; 40; 45; 33; 50; 70; 28; 40; 139/4; 40; 38; 139/4; ; 47; 38; 40; 38; ; 23/5; ; 
Granada 3-2; 50; 66; 66; 66; ; 50; 66; 80; 80; 50; 60; 50; 45; 80; 50; 50; 51; 80; 60; 51; ; 80; 60; 80; 60; ; 1/33; ; 
Draw 3-3; 50; 50; 55; 66; ; 50; 60; 60; 66; 50; 50; 50; 40; 45; 50; 50; 51; 50; 55; 51; ; 80; 55; 66; 55; ; 62/5; ; 
Barcelona 6-2; 50; 66; ; 80; ; 50; 70; ; ; 66; 66; 50; 70; 80; 50; 50; ; ; 50; ; ; ; 50; 80; 50; ; ; ; 
Barcelona 4-3; 50; 80; 70; 66; ; 66; 70; 80; ; 66; 66; 50; 70; 70; 50; 50; 58; 80; 55; 58; ; 100; 55; 100; 55; ; ; ; 
Barcelona 7-0; 50; 50; ; 66; ; 50; 66; 100; ; 50; 60; 50; 70; 70; 50; ; ; ; 50; ; ; ; 50; 50; 50; ; ; ; 
Barcelona 7-1; 50; 66; ; 80; ; 50; 70; 100; ; 66; 66; 50; 66; 80; 66; ; ; ; 50; ; ; ; 50; 66; 50; ; ; ; 
Granada 3-1; 80; 80; 110; 80; ; 80; 100; 125; 100; 90; 90; 66; 100; 150; 66; 66; 251/4; 100; 80; 251/4; ; 120; 80; 125; 80; ; 1/33; ; 
Granada 2-0; 66; 80; 110; 80; ; 66; 100; 125; 100; 80; 90; 66; 100; 150; 66; 66; 58; 80; 70; 58; ; 100; 70; 100; 70; ; 23/5; ; 
Barcelona 5-3; 80; 100; ; ; ; 80; 110; 125; ; 100; 90; 66; 125; 100; 80; 80; ; ; 80; ; ; ; 80; 150; 80; ; ; ; 
