Barcelona; 1/16; ; ; 1/20; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/16; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 27/2; 11; 10; 11; 27/2; 19; 13; 11; ; ; ; ; 
Granada; 33; ; ; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-21 12:19:43 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; ; 1/18; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; 1/41; 1/16; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 12; 55/4; 11; 10; 11; 55/4; 19; 13; 11; ; ; ; ; 
Granada; 33; ; ; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 127/4; 33; 26; 33; 127/4; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-21 16:21:23 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; ; 1/18; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 55/4; 11; 10; 11; ; 19; 13; 11; ; ; ; ; 
Granada; 33; ; ; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 127/4; 33; 26; 33; ; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-21 20:21:15 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; ; 1/18; 1/25; ; ; 1/18; 1/20; ; ; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/16; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; ; ; 14; 14; 55/4; 11; 10; 11; ; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; ; 28; ; 50; 33; ; ; 40; 50; ; ; ; 40; 40; 127/4; 33; 26; 33; ; 40; 20; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 00:20:31 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; 1/20; 1/18; 1/25; ; ; 1/18; 1/20; ; ; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/16; ; ; ; 
Draw; 10; ; ; 12; 12; 16; 16; ; ; 14; 14; ; ; ; 14; 14; 55/4; 11; 10; 11; ; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; ; 28; 33; 50; 33; ; ; 40; 50; ; ; ; 40; 40; 127/4; 33; 26; 33; ; 40; 20; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 04:20:19 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/20; 1/20; 1/20; 1/28; ; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/20; ; ; ; 
