Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 7/17; 2/5; 2/5; 7/17; 11/25; ; 2/5; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; ; 7/2; 10/3; ; 10/3; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 7; 6; 6; 13/2; 6; 6; 7; 7; 13/2; 7; 7; 15/2; ; 7; 13/2; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 04:18:45 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 9/20; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 5/12; 2/5; 2/5; 5/12; 11/25; 5/12; 5/12; 4/9; ; 2/5; 2/5; 
Draw; 10/3; 7/2; 10/3; 10/3; 18/5; 19/5; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 7/2; 7/2; 10/3; ; 10/3; 10/3; 
Valencia; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 6; 7; 6; 6; 13/2; 6; 6; 7; 27/4; 13/2; 7; 27/4; 15/2; 28/5; 7; 6; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 08:18:37 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 5/12; 2/5; 2/5; 5/12; 9/20; 5/12; 5/12; 4/9; ; 2/5; 2/5; 2/5
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 7/2; 7/2; 10/3; ; 10/3; 10/3; 7/2
Valencia; 13/2; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; 6; 6; 7; 27/4; 13/2; 7; 27/4; 36/5; 28/5; 7; 6; ; 36/5; 36/5; 15/2
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 12:19:01 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 7/17; 2/5; 2/5; 7/17; 9/20; 5/12; 5/12; 4/9; ; 2/5; 2/5; 4/9
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 7/2; 7/2; 10/3; ; 10/3; 10/3; 7/2
