Granada; 13/2; 6; ; ; 6; 6; 6; 5; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 13/2; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 6; ; 11/2; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 20:19:31 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 1/2; ; ; 8/15; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 5/11; 5/11; 4/9; 5/11; 12/25; 1/2; 4/9; 1/2; ; 4/9; ; 1/2
Draw; 3; 3; ; ; 16/5; 10/3; 16/5; 3; 3; 3; 29/10; 3; 3; 3; 16/5; 16/5; 31/10; 13/4; 3; 31/10; 18/5; 31/10; 13/4; 3; ; 14/5; ; 3
Granada; 6; 6; ; ; 6; 11/2; 6; 5; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 6; 6; 59/10; 11/2; 13/2; 59/10; 69/10; 24/5; 13/2; 11/2; ; 11/2; ; 32/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-06 00:18:27 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 5/11; 5/11; 4/9; 5/11; 49/100; 1/2; 7/15; 1/2; ; 1/2; ; 1/2
Draw; 3; 3; ; ; 16/5; 10/3; 16/5; 3; 3; 3; 29/10; 3; 3; 3; 16/5; 16/5; 58/19; 13/4; 3; 58/19; 18/5; 31/10; 16/5; 3; ; 3; ; 3
Granada; 6; 11/2; ; ; 13/2; 11/2; 6; 5; 11/2; 11/2; 11/2; 11/2; 6; 6; 6; 6; 6; 11/2; 13/2; 6; 34/5; 24/5; 13/2; 6; ; 6; ; 33/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-06 04:18:29 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 1/2; 8/15; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 7/15; 5/11; 4/9; 7/15; 49/100; 1/2; 7/15; 1/2; ; 1/2; ; 1/2
Draw; 3; 3; ; ; 16/5; 33/10; 16/5; 3; 3; 3; 29/10; 3; 3; 29/10; 16/5; 16/5; 58/19; 13/4; 3; 58/19; 18/5; 31/10; 16/5; 3; ; 3; ; 3
Granada; 6; 11/2; ; ; 13/2; 11/2; 6; 5; 11/2; 11/2; 11/2; 11/2; 6; 13/2; 6; 6; 113/19; 11/2; 13/2; 113/19; 34/5; 24/5; 13/2; 6; ; 6; ; 33/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-06 08:18:29 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 8/15; 11/20; 8/15; 4/9; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 10/21; 5/11; 4/9; 10/21; 49/100; 6/11; 10/21; 1/2; ; 1/2; ; 8/15
Draw; 3; 3; ; ; 3; 16/5; 16/5; 3; 3; 3; 14/5; 3; 3; 14/5; 16/5; 16/5; 3; 10/3; 3; 3; 18/5; 56/19; 16/5; 14/5; ; 3; ; 3
Granada; 6; 11/2; ; ; 6; 11/2; 11/2; 5; 11/2; 11/2; 5; 11/2; 6; 6; 6; 11/2; 57/10; 11/2; 6; 57/10; 34/5; 9/2; 6; 11/2; ; 6; ; 31/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-06 12:18:54 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 8/15; 11/20; 8/15; 4/9; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 10/21; 10/21; 1/2; 10/21; 49/100; 6/11; 11/21; 1/2; ; 1/2; 1/2; 8/15
Draw; 3; 3; ; ; 3; 16/5; 16/5; 3; 3; 3; 14/5; 3; 3; 14/5; 16/5; 16/5; 3; 31/10; 3; 3; 18/5; 56/19; 16/5; 14/5; ; 3; 3; 3
Granada; 6; 11/2; ; ; 6; 11/2; 11/2; 5; 11/2; 11/2; 5; 11/2; 6; 6; 6; 11/2; 57/10; 23/4; 11/2; 57/10; 34/5; 9/2; 11/2; 11/2; ; 6; 31/5; 31/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-06 16:19:08 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 8/15; 11/20; 8/15; 4/9; 8/15; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 10/21; 10/21; 1/2; 10/21; 1/2; 6/11; 11/21; 1/2; ; 1/2; 1/2; 8/15
