META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 00:19:21 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 3/4; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 16:21:08 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 13/18; 13/19; 4/6; ; 8/13; ; 
Draw; 14/5; 29/10; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 13/5; 14/5; 14/5; 3; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 18/5; 4; 4; 77/19; 4; 21/5; 77/19; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 20:20:05 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; ; 4/6; 4/6; ; 8/13; ; 4/6
Draw; 14/5; 29/10; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 13/5; 14/5; 14/5; 3; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 74/25; ; 14/5; 11/4; ; 14/5; ; 14/5
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 18/5; 4; 4; 4; 4; 21/5; 4; 47/10; ; 17/4; 15/4; ; 7/2; ; 22/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 00:18:30 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 7/10; 8/11; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 9/13; 4/6; 4/6; 9/13; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 13/5; 13/5; 13/5; 14/5; 29/10; 14/5; 14/5; 37/13; 27/10; 14/5; 37/13; 74/25; 27/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Athletic Bilbao; 9/2; 19/5; 19/5; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 18/5; 4; 4; 18/5; 4; 4; 39/10; 4; 21/5; 39/10; 47/10; 38/11; 17/4; 4; ; 7/2; 7/2; 22/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 04:18:28 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 9/13; 4/6; 4/6; 9/13; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 13/5; 27/10; 13/5; 14/5; 29/10; 14/5; 14/5; 37/13; 27/10; 14/5; 37/13; 74/25; 27/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Athletic Bilbao; 17/4; 19/5; 19/5; 19/5; 4; 4; 4; 7/2; 19/5; 4; 18/5; 4; 4; 18/5; 4; 4; 39/10; 4; 21/5; 39/10; 47/10; 38/11; 17/4; 4; ; 4; 7/2; 22/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 08:18:37 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 13/5; 27/10; 13/5; 14/5; 29/10; 14/5; 14/5; 37/13; 27/10; 14/5; 37/13; 74/25; 27/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Athletic Bilbao; 17/4; 19/5; 19/5; 19/5; 4; 4; 4; 7/2; 19/5; 4; 18/5; 4; 4; 18/5; 4; 4; 21/5; 4; 21/5; 21/5; 47/10; 38/11; 17/4; 4; ; 4; 7/2; 22/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 12:18:56 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 13/5; 27/10; 14/5; 14/5; 29/10; 14/5; 14/5; 37/13; 27/10; 14/5; 37/13; 74/25; 27/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Athletic Bilbao; 17/4; 19/5; 19/5; 18/5; 4; 4; 4; 7/2; 19/5; 4; 18/5; 15/4; 4; 18/5; 4; 4; 54/13; 4; 21/5; 54/13; 47/10; 38/11; 17/4; 4; ; 4; 4; 21/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 16:20:16 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 4/6; 4/6; 8/11
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 27/10; 14/5; 14/5; 29/10; 14/5; 14/5; 37/13; 27/10; 14/5; 37/13; 74/25; 27/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Athletic Bilbao; 17/4; 19/5; 4; 18/5; 4; 4; 4; 7/2; 19/5; 4; 18/5; 15/4; 4; 15/4; 4; 4; 21/5; 4; 21/5; 21/5; 47/10; 38/11; 17/4; 4; ; 4; 4; 22/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-27 20:19:26 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 8/13; 8/13; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 3; 14/5; 3; 37/13; 27/10; 11/4; 37/13; 74/25; 27/10; 11/4; 11/4; ; 14/5; 14/5; 3
Athletic Bilbao; 17/4; 19/5; 4; 4; 9/2; 4; 21/5; 7/2; 4; 17/4; 15/4; 4; 17/4; 15/4; 4; 4; 74/17; 4; 22/5; 74/17; 47/10; 18/5; 22/5; 4; ; 21/5; 4; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 00:18:28 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 8/13; 8/13; 4/6
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 3; 14/5; 3; 29/10; 27/10; 11/4; 29/10; 59/20; 27/10; 11/4; 11/4; ; 3; 3; 3
Athletic Bilbao; 17/4; 4; 4; 4; 9/2; 4; 21/5; 7/2; 4; 17/4; 15/4; 4; 17/4; 15/4; 4; 4; 74/17; 4; 22/5; 74/17; 23/5; 18/5; 22/5; 4; ; 21/5; 21/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 04:18:37 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 14/5; 3; 29/10; 14/5; 11/4; 29/10; 59/20; 27/10; 11/4; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 17/4; 4; 4; 4; 9/2; 4; 21/5; 7/2; 4; 17/4; 15/4; 4; 17/4; 4; 4; 4; 74/17; 17/4; 22/5; 74/17; 23/5; 18/5; 22/5; 4; ; 4; 4; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 08:18:28 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 17/4; 4; 4; 9/2; 9/2; 4; 21/5; 7/2; 4; 17/4; 15/4; 4; 17/4; 4; 4; 4; 43/10; 17/4; 22/5; 43/10; 23/5; 18/5; 22/5; 4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 12:18:43 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; ; 11/17; 7/10; 13/19; ; 4/6; ; 4/6; 4/6; 8/11
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 14/5; 3; 29/10; 14/5; ; 29/10; 59/20; 27/10; ; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 17/4; 4; 4; 9/2; 9/2; 17/4; 21/5; 7/2; 4; 17/4; 15/4; 4; 17/4; 4; 4; 9/2; 43/10; 17/4; ; 43/10; 23/5; 18/5; ; 4; ; 21/5; 4; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 16:18:39 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 14/5; 3; 29/10; 14/5; 11/4; 29/10; 59/20; 27/10; 11/4; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 17/4; 4; 4; 9/2; 9/2; 17/4; 21/5; 4; 4; 17/4; 15/4; 4; 17/4; 4; 4; 9/2; 43/10; 17/4; 22/5; 43/10; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-28 20:19:19 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 14/5; 3; 29/10; 14/5; 11/4; 29/10; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 21/5; 4; 4; 17/4; 15/4; 4; 17/4; 4; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 00:18:46 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 4/6; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 29/10; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 54/13; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 01:45:48 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 22/5; 22/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 03:45:42 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 04:18:31 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 05:45:43 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 06:28:54 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 07:45:43 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; 11/4; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 74/17; 17/4; 22/5; 74/17; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 08:18:43 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 8/13; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 8/13; 4/6; ; 8/13; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 56/19; 14/5; ; 56/19; 59/20; 27/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 74/17; 17/4; ; 74/17; 23/5; 18/5; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 09:45:47 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 7/10; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 13/19; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 57/20; 3; 14/5; 3; 29/10; 14/5; 11/4; 29/10; 59/20; 3; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 4; 9/2; 9/2; 17/4; 17/4; 4; 4; 17/4; 15/4; 4; 17/4; 9/2; 4; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 41/10; 22/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 11:45:51 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 11/17; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 31/10; 11/4; 3; 14/5; 14/5; 3; 57/20; 16/5; 14/5; 14/5; 29/10; 14/5; 11/4; 29/10; 59/20; 31/10; 11/4; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 22/5; 17/4; 22/5; 22/5; 23/5; 21/5; 22/5; 17/4; ; 21/5; 9/2; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 12:19:26 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 11/17; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 31/10; 11/4; 3; 14/5; 14/5; 3; 57/20; 16/5; 14/5; 14/5; 29/10; 14/5; 11/4; 29/10; 59/20; 31/10; 11/4; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 22/5; 50/11; 23/5; 21/5; 22/5; 9/2; ; 22/5; 9/2; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 12:59:20 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 11/17; 19/29; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 31/10; 11/4; 3; 14/5; 14/5; 3; 57/20; 16/5; 14/5; 14/5; 29/10; 14/5; 11/4; 29/10; 59/20; 31/10; 11/4; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 22/5; 50/11; 23/5; 21/5; 22/5; 9/2; ; 9/2; 9/2; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 13:46:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 11/18; 4/6; 8/13; 11/18; 7/10; 11/17; 19/29; 4/6; ; 8/13; 8/13; 8/13
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 31/10; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 3; 3; 14/5; 11/4; 3; 59/20; 31/10; 11/4; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 50/11; 17/4; 22/5; 50/11; 23/5; 21/5; 22/5; 9/2; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 15:45:49 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 4/6; 7/12; 4/6; ; 8/13; 8/13; 4/7
Draw ; 14/5; 3; 31/10; 14/5; 3; 3; 31/10; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 59/20; 3; 56/19; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 47/10; 17/4; 5; 47/10; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 16:18:51 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 4/6; 4/7; 8/13; 7/10; 4/6; 7/12; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 3; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 29/10; 59/20; 3; 56/19; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 47/10; 17/4; 5; 9/2; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 17:45:45 GMT+2; 2017-03-02 20:30; e70300-dr003
