META; spain/la-liga-primera/alaves-v-betis; 2016-11-29 00:19:57 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 00:19:36 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 04:19:19 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 08:19:14 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 12:20:00 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 16:20:04 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-07 20:19:54 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 00:19:03 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 04:19:09 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 08:18:57 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 12:19:19 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 16:19:50 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-08 20:19:33 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 00:19:41 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 04:17:55 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 08:17:56 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 39/19; 21/10; 21/10; 21/10; 39/19; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 12:18:37 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 16:18:49 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; ; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; ; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; ; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-09 20:19:29 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 00:18:08 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 04:18:03 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 08:18:11 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; ; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; ; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 11/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 51/20; 28/13; 5/2; ; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 12:19:07 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; ; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 16:18:18 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-10 20:19:01 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; ; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; ; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 00:17:55 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 34/25; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 111/50; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 51/20; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 04:17:45 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 129/100; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 56/25; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 27/10; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 08:17:45 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; ; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; ; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; ; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 12:18:02 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; ; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 129/100; 17/14; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 56/25; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; ; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 27/10; 28/13; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 16:17:58 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; 5/4; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 129/100; 6/5; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 56/25; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; 11/5; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 27/10; 21/10; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-11 20:18:05 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; 5/4; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 129/100; 6/5; 6/5; 5/4; ; 23/20; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 56/25; 9/4; 21/10; 11/5; ; 2; ; 
Betis; 11/5; 11/5; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 40/17; 5/2; 23/10; 5/2; 40/17; 27/10; 21/10; 5/2; 11/5; ; 23/10; ; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-12 00:17:27 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; 5/4; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 5/4; ; 6/5; 6/5; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 57/25; 9/4; 21/10; 21/10; ; 21/10; 21/10; 
Betis; 11/5; 11/5; ; 12/5; ; 12/5; 12/5; 21/10; 23/10; 5/2; 11/5; 12/5; 49/20; ; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 131/50; 21/10; 5/2; 9/4; ; 23/10; 23/10; 
META; spain/la-liga-primera/alaves-v-betis; 2016-12-12 04:17:34 GMT+2; 2016-12-16 19:45; e70300-dr003
Alaves; 5/4; 5/4; ; 5/4; ; 5/4; 5/4; 11/10; 5/4; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 5/4; ; 6/5; 6/5; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 21/10; ; 23/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 57/25; 9/4; 21/10; 21/10; ; 21/10; 21/10; 
