Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 12:19:50 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 16:19:14 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 20:19:32 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
