META; champions-league/atletico-madrid-v-leicester; 2017-03-17 14:15:00 GMT+2; 2017-04-11 18:45; Nothing; Xlenovo
Atletico Madrid; ; 4/11; ; ; ; ; ; ; 1/3; 3/10; 1/4; ; 3/10; ; 30/100; ; 2/7; ; 3/10; 2/7; ; ; 3/10; ; 3/10; ; ; ; 
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 54/5; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 14:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 18:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; ; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; ; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; ; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 54/5; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 22:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 02:15:08 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; ; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; ; 4; 21/5; 43/10; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 12; 11; 11; 9; 9; 10; 10; ; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 20/21; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 06:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 3/11; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 74/17; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 12; 11; 11; 9; 9; 10; 10; 11; 9; 11; 45/4; 11; 19/2; 11; 9; 11; ; 20/21; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 10:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 21/5; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 12; 11; 11; 9; 9; 10; 10; 11; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 52/5; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 14:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 4/13; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 43/10; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 12; 11; 11; 9; 9; 10; 10; 37/4; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 20/21; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 18:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; ; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 17/4; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; ; 21/5; 4; 21/5; ; 19/10; 4; 9/2
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 12; 11; 11; 9; 9; 10; 10; 11; 9; 11; 11; 11; ; 11; 9; 11; ; 52/5; 51/5; 44/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-08 22:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 17/4; 9/2; 17/4; 9/2; 74/17; 4; 21/5; 74/17; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 23/2; 9; 11; 23/2; 11; 19/2; 11; 9; 11; ; 54/5; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-09 02:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 4; 15/4; 17/4; 9/2; 17/4; 9/2; 74/17; 4; 21/5; 74/17; 24/5; 21/5; 21/5; 4; 21/5; ; 22/5; 21/5; 22/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 9; 10; 11; 11; 11; 9; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 19/2; 11; 9; 11; ; 57/5; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-09 06:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 4; 15/4; 17/4; 9/2; 17/4; 9/2; 74/17; 4; 21/5; 74/17; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 21/5; 22/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 9; 10; 11; 11; 11; 9; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 19/2; 11; 9; 11; ; 19/10; 51/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-09 14:15:15 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 3/10; 4/13; 3/10; 3/10; 3/10; ; 8/11; 3/10; 1/3
Draw; 4; 4; 17/4; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 4; 4; 17/4; 9/2; 17/4; 9/2; 74/17; 4; 21/5; 74/17; 49/10; 21/5; 21/5; 4; 21/5; ; 22/5; 21/5; 22/5
Leicester; 9; 10; 12; 10; 10; 11; 11; 9; 10; 11; 11; 11; 9; 9; 10; 10; 45/4; 9; 11; 45/4; 12; 19/2; 11; 9; 11; ; 57/5; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-09 18:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; ; 3/10; 3/10; 3/10; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10; ; 1/3; 1/3; 1/3
Draw; 4; 4; 17/4; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; ; 4; 17/4; 9/2; 17/4; 9/2; 74/17; 4; 21/5; 74/17; 49/10; ; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 12; 10; 10; 11; 11; 11; 10; 10; ; 11; 9; 9; 10; 10; 43/4; 9; 11; 43/4; 12; ; 11; 17/2; 11; ; 52/5; 46/5; 54/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-09 22:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 1/4; 3/10; 2/7; 1/3; 2/7; 3/10; 2/7; 30/100; 2/7; 2/7; 3/10; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 17/4; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 4; 21/5; 9/2; 49/10; 43/10; 21/5; 9/2; 21/5; ; 22/5; 22/5; 23/5
Leicester; 10; 10; 11; 10; 11; 11; 12; 11; 10; 11; 10; 11; 9; 9; 10; 11; 45/4; 9; 11; 45/4; 12; 10; 11; 10; 11; ; 57/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 02:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 1/4; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 3/10; 3/10; 3/10; 3/10; 3/10; ; 2/7; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 17/4; 9/2; 9/2; 4; 21/5; 9/2; 49/10; 22/5; 21/5; 9/2; 21/5; ; 23/5; 9/2; 23/5
Leicester; 12; 10; 11; 10; 11; 11; 12; 11; 10; 11; 11; 11; 9; 9; 10; 11; 23/2; 9; 11; 23/2; 12; 21/2; 11; 11; 11; ; 57/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 06:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 1/4; 3/10; 2/7; 3/10; 2/7; 2/7; 2/7; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 3/10; 3/10; 3/10; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 22/5; 9/2; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 17/4; 9/2; 9/2; 4; 21/5; 9/2; 49/10; 22/5; 21/5; 9/2; 21/5; ; 19/10; 4; 23/5
Leicester; 12; 10; 10; 10; 11; 11; 21/2; 11; 10; 11; 11; 11; 9; 17/2; 10; 11; 23/2; 9; 11; 23/2; 12; 21/2; 11; 10; 11; ; 19/10; 46/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 10:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 1/4; 3/10; 2/7; 3/10; 2/7; 2/7; 2/7; 1/3; 2/7; 3/11; 3/10; 3/10; 3/11; 3/10; 3/10; 3/10; 2/7; 4/13; ; 3/10; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 17/4; 9/2; 23/5; 4; 22/5; 23/5; 49/10; 22/5; 22/5; 9/2; 9/2; ; 9/2; 9/2; 23/5
Leicester; 12; 10; 10; 10; 11; 11; 12; 11; 10; 11; 11; 11; 9; 9; 10; 11; 47/4; 9; 23/2; 47/4; 12; 21/2; 23/2; 11; 23/2; ; 19/10; 58/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 14:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 2/7; 2/7; 2/7; 30/100; 3/10; 5/18; 3/10; 2/7; 5/18; 29/100; 3/10; 2/7; 3/10; 3/10; ; 8/11; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 22/5; 9/2; 9/2; 17/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 23/5; 23/5; 49/10; 22/5; 23/5; 9/2; 79/17; ; 19/10; 22/5; 23/5
Leicester; 12; 10; 12; 10; 11; 11; 11; 9; 10; 11; 11; 11; 9; 9; 10; 11; 23/2; 19/2; 12; 23/2; 13; 21/2; 12; 11; 12; ; 19/10; 63/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 18:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 30/100; 3/10; 5/18; 3/10; 2/7; 5/18; 3/10; 3/10; 2/7; 3/10; 3/10; ; 2/7; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 22/5; 9/2; 9/2; 17/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 23/5; 9/2; 23/5; 23/5; 26/5; 22/5; 23/5; 9/2; 79/17; ; 19/10; 23/5; 23/5
Leicester; 12; 10; 12; 10; 10; 11; 11; 9; 10; 11; 10; 11; 9; 9; 10; 11; 23/2; 19/2; 12; 23/2; 11; 21/2; 12; 11; 12; ; 19/10; 56/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-10 22:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 3/10; 3/10; 2/7; 3/10; 30/100; 3/10; 3/11; 3/10; 2/7; 3/11; 3/10; 3/10; 2/7; 3/10; 3/10; ; 2/7; 2/7; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 19/4; 9/2; 23/5; 9/2; 23/5; 23/5; 5; 22/5; 23/5; 9/2; 79/17; ; 19/10; 23/5; 23/5
Leicester; 12; 10; 12; 10; 10; 11; 11; 10; 10; 11; 10; 11; 9; 9; 10; 11; 47/4; 19/2; 12; 47/4; 23/2; 21/2; 12; 9; 12; ; 19/10; 58/5; 64/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-11 10:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 3/10; 30/100; 2/7; 3/11; 3/10; 2/7; 3/11; 31/100; 3/10; 2/7; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; 9/2; 23/5; 9/2; 23/5; 23/5; 47/10; 22/5; 23/5; 9/2; 79/17; ; 9/2; 9/2; 
Leicester; 12; 10; 12; 10; 11; 11; 11; 10; 10; 11; 11; 11; 9; 9; 11; 11; 23/2; 19/2; 12; 23/2; 12; 21/2; 12; 9; 12; ; 59/5; 58/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-04-11 14:15:10 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 2/7; 3/10; 30/100; 3/10; 3/11; 3/10; 2/7; 3/11; 31/100; 3/10; 2/7; 3/10; 3/10; ; 8/11; 3/10; 1/3
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; 9/2; 23/5; 9/2; 23/5; 23/5; 47/10; 22/5; 23/5; 9/2; 79/17; ; 9/2; 23/5; 23/5
Leicester; 12; 10; 12; 10; 11; 11; 11; 10; 10; 11; 11; 11; 9; 10; 11; 12; 23/2; 19/2; 12; 23/2; 12; 21/2; 12; 9; 12; ; 59/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-11 18:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 3/10; 2/7; 3/10; 1/4; 2/7; 2/7; 3/10; 2/7; 30/100; 3/10; 5/19; 3/10; 2/7; 5/19; 31/100; 3/10; 2/7; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 9/2; 4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 9/2; 17/4; 9/2; 4; 19/4; 24/5; 9/2; 9/2; 19/4; 9/2; 23/5; 19/4; 47/10; 9/2; 23/5; 9/2; 79/17; ; 23/5; 23/5; 24/5
Leicester; 12; 10; 13; 10; 11; 11; 11; 10; 10; 12; 11; 11; 9; 9; 11; 12; 49/4; 19/2; 12; 49/4; 12; 21/2; 12; 9; 12; ; 14/5; 58/5; 62/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-11 22:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 3/10; 2/7; 3/10; 1/4; 2/7; 2/7; 3/10; 2/7; 2/7; 3/10; 5/19; 3/10; 2/7; 5/19; 31/100; 3/10; 2/7; 3/10; 3/10; ; 2/7; 3/10; 3/10
Draw; 9/2; 17/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 9/2; 17/4; 9/2; 4; 19/4; 24/5; 19/4; 9/2; 24/5; 9/2; 23/5; 24/5; 5; 9/2; 23/5; 17/4; 79/17; ; 23/5; 23/5; 24/5
Leicester; 12; 11; 12; 10; 11; 11; 11; 10; 10; 12; 11; 11; 9; 9; 11; 12; 49/4; 19/2; 12; 49/4; 21/2; 10; 12; 10; 12; ; 57/5; 58/5; 62/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 02:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 2/7; 3/10; 2/7; 2/7; 3/10; 3/11; 3/10; 2/7; 3/11; 31/100; 5/18; 2/7; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 9/2; 9/2; 9/2; 4; 9/2; 19/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 19/4; 24/5; 19/4; 9/2; 47/10; 9/2; 23/5; 47/10; 49/10; 9/2; 23/5; 17/4; 47/10; ; 23/5; 23/5; 21/5
Leicester; 12; 11; 12; 10; 10; 11; 11; 9; 10; 11; 11; 11; 9; 9; 11; 11; 45/4; 9; 23/2; 45/4; 11; 113/10; 23/2; 9; 23/2; ; 14/5; 58/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 06:15:03 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 2/7; 3/10; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 2/7; 3/10; 2/7; 2/7; 3/10; 3/11; 3/10; 2/7; 3/11; 3/10; 2/7; 2/7; 3/10; 3/10; ; 4/6; 3/10; 3/10
Draw; 9/2; 17/4; 9/2; 4; 9/2; 19/4; 19/4; 9/2; 9/2; 17/4; 9/2; 4; 19/4; 24/5; 19/4; 9/2; 19/4; 9/2; 23/5; 19/4; 49/10; 9/2; 23/5; 17/4; 47/10; ; 23/5; 23/5; 22/5
Leicester; 12; 11; 13; 10; 10; 11; 11; 9; 10; 11; 11; 12; 9; 10; 11; 11; 23/2; 9; 23/2; 23/2; 12; 21/2; 23/2; 10; 23/2; ; 57/5; 12; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 10:15:03 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 1/3; 3/10; 3/10; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 31/100; 6/19; 4/13; 1/3; 1/3; ; 3/10; 3/10; 3/10
Draw; 9/2; 9/2; 17/4; 4; 9/2; 19/4; 9/2; 9/2; 17/4; 4; 17/4; 4; 9/2; 9/2; 9/2; 9/2; 49/11; 9/2; 21/5; 49/11; 24/5; 43/10; 43/10; 4; 22/5; ; 9/2; 9/2; 21/5
Leicester; 12; 10; 11; 10; 10; 11; 11; 9; 9; 10; 10; 10; 10; 17/2; 11; 11; 43/4; 9; 21/2; 43/4; 12; 19/2; 21/2; 9; 21/2; ; 23/5; 63/5; 54/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 14:15:03 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 1/3; 1/3; 3/10; 1/3; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 6/19; 1/3; 3/10; 4/13; 9/25; 1/3; 6/19; 1/3; 6/17; ; 4/6; 1/3; 1/3
Draw; 17/4; 4; 4; 4; 4; 17/4; 22/5; 17/4; 17/4; 9/2; 17/4; 4; 17/4; 4; 17/4; 9/2; 21/5; 17/4; 21/5; 43/10; 9/2; 43/10; 43/10; 17/4; 43/10; ; 2; 21/5; 21/5
Leicester; 11; 9; 11; 10; 9; 11; 11; 9; 9; 10; 10; 10; 9; 9; 10; 10; 39/4; 21/2; 21/2; 41/4; 19/2; 89/10; 21/2; 8; 19/2; ; 54/5; 56/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 18:15:03 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 3/10; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 4/13; 3/10; 3/10; 3/10; 33/100; 6/19; 6/19; 1/3; 1/3; ; 5/6; 3/10; 1/3
Draw; 9/2; 4; 17/4; 4; 4; 17/4; 17/4; 17/4; 4; 9/2; 17/4; 4; 17/4; 4; 17/4; 4; 54/13; 9/2; 21/5; 17/4; 9/2; 7/2; 21/5; 17/4; 17/4; ; 19/10; 21/5; 9/2
Leicester; 12; 12; 10; 10; 10; 11; 11; 9; 10; 10; 10; 11; 11; 10; 11; 11; 43/4; 11; 11; 45/4; 12; 8; 11; 8; 11; ; 3; 58/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-12 22:15:00 GMT+3; 2017-04-12 19:45; In Play; Xlenovo
Atletico Madrid; ; 1/16; 1/3; 1/3; 3/10; 1/14; 1/18; 1/25; ; 1/3; 1/3; 1/4; 4/11; 3/10; ; ; 4/13; 1/20; ; 3/11; ; ; ; 1/4; 4/13; ; 2/7; 1/3; 4/11
Draw; ; 12; 16/5; 10/3; 4; 17/2; 19/2; 10; ; 7/2; 14/5; 15/4; 16/5; 10/3; ; ; 17/5; 14; ; 75/19; ; ; ; 17/4; 17/5; ; 21/5; 7/2; 7/2
Leicester; ; 50; 13; 11; 14; 40; 33; 50; ; 40; 12; 16; 10; 14; ; ; 23/2; 50; ; 23/2; ; ; ; 12; 12; ; 71/5; 68/5; 67/5
