Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 5; 17/4; 21/5; 5; 53/10; 24/5; 17/4; ; 17/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 43/4; 9; 9; 43/4; 12; 10; 9; ; 9; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-23 18:16:38 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 5/18; 3/10; 1/4; 7/25; 3/11; 3/10; ; 3/10; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 5; 17/4; 21/5; 5; 53/10; 24/5; 17/4; ; 17/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 10; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 43/4; 9; 9; 43/4; 12; 10; 9; ; 9; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-23 22:16:22 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 02:16:47 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 06:16:12 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 5/19; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 19/4; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 21/2; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 10:16:15 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 14:16:37 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
