Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 11/2; 5; 5; 5; 5; 27/5; 51/10; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 14; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 21/2; 9; 12; 21/2; 13; 89/10; 12; ; ; 4/7; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-28 10:15:58 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 1/4; 4/17; 1/4; 2/9; 4/17; 27/100; 3/11; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 11/2; 94/19; 5; 5; 94/19; 27/5; 51/10; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 21/2; 9; 12; 21/2; 13; 89/10; 12; ; ; 1/2; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-28 14:16:19 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 2/7; 1/4; 1/4; 2/9; 1/4; 27/100; 3/11; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 5; 24/5; 5; 5; 24/5; 27/5; 51/10; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 19/2; 9; 12; 19/2; 13; 89/10; 12; ; ; 1/2; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-28 18:16:32 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 3/11; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 11/2; 94/19; 5; 5; 94/19; 27/5; 51/10; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 43/4; 9; 12; 43/4; 13; 89/10; 12; ; ; 4/11; ; 
