Draw; 23/10; ; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; ; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 18:15:42 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; ; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 7/4; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; ; ; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; ; ; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 22:15:45 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; ; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; ; ; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; ; ; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 02:15:53 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; 11/8; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; ; 9/5; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; ; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 06:15:41 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; 11/8; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; ; 9/5; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; ; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 10:15:42 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; 29/20; 11/8; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; 19/10; 9/5; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 11/5; 9/4; 11/5; ; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 14:15:44 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 11/8; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 9/5; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 18:15:52 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 11/8; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 9/5; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-21 22:15:48 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 02:16:11 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 11/5; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 06:15:46 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 10:15:53 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 14:15:42 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 18:15:45 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-22 22:15:55 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 02:16:01 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 06:15:48 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 10:15:48 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; ; 8/5; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; ; 2; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; ; 58/25; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 14:15:57 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 18:16:12 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-23 22:15:53 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 02:16:08 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 06:15:49 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 17/11; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 17/10; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 9/5; 17/10; 17/10; 24/13; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 10:15:51 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 14:16:11 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 18:16:21 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; ; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; ; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; ; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-24 22:16:21 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-25 02:16:13 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-25 06:16:03 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; ; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; ; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; ; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-25 10:16:14 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-25 14:15:49 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 17/11; 8/5; 6/4; 79/50; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; 19/10; 39/20; 19/10; 19/10; 39/20; 2; 17/10; 15/8; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 15/8; 19/10; 17/10; 17/10; 19/10; 101/50; 19/10; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 47/20; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-25 18:16:27 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
