Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-03 14:17:15 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; 1/4; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 2/9; 1/5; 2/9; 2/9; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 51/10; 11/2; 26/5; 51/10; 6; 27/5; 21/4; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 23/2; 11; 13; 23/2; 35/2; 10; 13; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-03 18:16:53 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; 1/4; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; 2/9; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 6; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 26/5; 21/4; 6; 27/5; 21/4; 5; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 13; 51/4; 35/2; 10; 13; 11; ; 54/5; ; 
