Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 13/5; 13/5; 5/2; 12/5; 5/2; ; 12/5; ; 
Swansea; 11/4; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 9/4; 12/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 14/5; 28/11; 14/5; 5/2; 14/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 18:16:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 19/20; 20/21; 21/20; 11/10; 30/29; 19/20; 21/20; 19/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 13/5; 13/5; 5/2; 12/5; 5/2; ; 5/2; ; 
Swansea; 11/4; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 9/4; 5/2; 13/5; 12/5; 13/5; 13/5; 45/17; 27/10; 14/5; 45/17; 14/5; 28/11; 14/5; 5/2; 14/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 22:16:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 19/20; 20/21; 21/20; 28/25; 30/29; 19/20; 21/20; 19/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 13/5; 28/11; 5/2; 5/2; 28/11; 13/5; 13/5; 5/2; 12/5; 5/2; ; ; ; 
Swansea; 11/4; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 9/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 69/25; 28/11; 14/5; 5/2; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-05 02:16:03 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; ; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 19/20; 20/21; 21/20; 109/100; 30/29; 19/20; 21/20; 19/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; ; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 13/5; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 12/5; 5/2; ; ; ; 
Swansea; 11/4; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; ; 13/5; 9/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 11/4; 28/11; 14/5; 5/2; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-05 06:15:52 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 19/20; 20/21; 21/20; 109/100; 30/29; 19/20; 21/20; 19/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 13/5; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 12/5; 5/2; ; 5/2; ; 
Swansea; 11/4; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 9/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 11/4; 28/11; 14/5; 5/2; 14/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-05 10:16:18 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 109/100; 21/20; 21/20; 11/10; 21/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 5/2; 5/2; ; ; ; 
Swansea; 23/10; 12/5; 12/5; 23/10; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 9/4; 5/2; 5/2; 12/5; 13/5; 5/2; 28/11; 12/5; 13/5; 28/11; 11/4; 5/2; 13/5; 23/10; 13/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-05 14:15:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 109/100; 21/20; ; 11/10; 21/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 12/5; 12/5; 23/10; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; ; 12/5; 5/2; ; ; ; 
Swansea; 23/10; 12/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 9/4; 5/2; 5/2; 12/5; 13/5; 5/2; 28/11; 12/5; 13/5; 28/11; 11/4; 5/2; ; 23/10; 13/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-05 18:15:49 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; ; ; ; 21/20
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 12/5; 12/5; 5/2; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 12/5; 5/2; ; ; ; 12/5
Swansea; 23/10; 12/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 9/4; 5/2; 5/2; 23/10; 13/5; 5/2; 5/2; 12/5; 13/5; 5/2; 11/4; 5/2; 13/5; 23/10; 13/5; ; ; ; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-05 22:15:52 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; ; 21/20; 11/10; 21/20; ; ; ; 10/9
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 12/5; 12/5; 13/5; 51/20; 27/10; 5/2; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; ; 5/2; 12/5; 5/2; ; ; ; 5/2
Swansea; 23/10; 12/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 9/4; 12/5; 5/2; 23/10; 13/5; 5/2; 5/2; 12/5; 13/5; 5/2; 11/4; ; 13/5; 23/10; 13/5; ; ; ; 13/5
META; english/premier-league/west-ham-v-swansea; 2017-04-06 02:15:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 23/20; 23/20; 11/10; 15/13; 21/20; 10/9; 15/13; 11/10; 21/20; 19/17; 11/10; 15/13; ; ; ; 10/9
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 28/11; 12/5; 13/5; ; ; ; 5/2
Swansea; 23/10; 12/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 12/5; 5/2; 27/11; 11/4; 5/2; 5/2; 23/10; 28/11; ; ; ; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-06 06:15:36 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 21/20; 10/9; 11/10; 11/10; 13/12; 19/17; 11/10; 15/13; ; ; ; 10/9
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 27/10; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 28/11; 12/5; 13/5; ; ; ; 5/2
Swansea; 23/10; 12/5; 49/20; 23/10; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 23/10; 12/5; 49/20; 13/5; 12/5; 5/2; 27/11; 12/5; 5/2; 27/11; 11/4; 12/5; 5/2; 23/10; 28/11; ; ; ; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-06 10:15:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 13/12; 13/12; 11/10; 19/17; ; ; ; 10/9
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 53/20; 13/5; 28/11; 12/5; 13/5; ; ; ; 5/2
Swansea; 23/10; 12/5; 49/20; 23/10; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 23/10; 5/2; 49/20; 13/5; 12/5; 5/2; 28/11; 12/5; 13/5; 28/11; 11/4; 12/5; 13/5; 12/5; 45/17; ; ; ; 13/5
META; english/premier-league/west-ham-v-swansea; 2017-04-06 14:15:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 11/10; 28/25; 13/12; 13/12; 21/20; 19/17; ; ; 21/20; 10/9
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 131/50; 13/5; 28/11; 12/5; 13/5; ; ; 5/2; 5/2
Swansea; 13/5; 12/5; 12/5; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 11/5; 5/2; 49/20; 5/2; 12/5; 5/2; 28/11; 12/5; 13/5; 28/11; 68/25; 12/5; 13/5; 12/5; 45/17; ; ; 5/2; 13/5
META; english/premier-league/west-ham-v-swansea; 2017-04-06 18:15:53 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 11/10; 28/25; 10/9; 13/12; 21/20; 19/17; ; ; 21/20; 23/20
Draw; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 131/50; 5/2; 28/11; 12/5; 13/5; ; ; 5/2; 13/5
Swansea; 13/5; 23/10; 5/2; 23/10; 5/2; 5/2; 27/10; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 28/11; 12/5; 13/5; 28/11; 68/25; 13/5; 13/5; 12/5; 45/17; ; ; 12/5; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-06 22:15:41 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 11/10; 28/25; 10/9; 13/12; 21/20; 19/17; ; ; 10/9; 10/9
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 28/11; 12/5; 13/5; ; ; 5/2; 13/5
Swansea; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 27/10; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 53/20; 13/5; 13/5; 12/5; 45/17; ; ; 5/2; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-07 02:15:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 23/20; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; ; 28/25; 10/9; 13/12; 23/20; 19/17; ; ; 10/9; 10/9
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 28/11; 5/2; 5/2; ; 53/20; 5/2; 28/11; 5/2; 13/5; ; ; 5/2; 13/5
Swansea; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 27/10; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; ; 53/20; 13/5; 13/5; 5/2; 45/17; ; ; 5/2; 5/2
META; english/premier-league/west-ham-v-swansea; 2017-04-07 06:15:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 23/20; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 11/10; 28/25; 10/9; 13/12; 23/20; 19/17; ; ; 21/20; 10/9
