META; english/premier-league/leicester-v-hull; 2017-02-12 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 131/50; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 77/20; ; ; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 10:16:21 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 14:16:22 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 18:16:27 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 22:16:25 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
