META; english/premier-league/middlesbrough-v-man-utd; 2017-03-04 22:16:38 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Draw; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 31/10; 3; 3; 3; 11/4; 14/5; 59/20; 16/5; 16/5; 16/5; 58/19; 3; 3; 58/19; 13/4; 29/10; ; ; ; 14/5; ; 
Middlesbrough; 6; 11/2; 6; 13/2; 13/2; 6; 7; 5; 6; 6; 6; 6; 13/2; 6; 6; 13/2; 29/5; 6; 33/5; 29/5; 38/5; 6; ; ; ; 37/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 14:16:19 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 1/2; 1/2; 8/15; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 12/25; 8/15; 1/2; 8/15; 10/21; 10/21; 4/9; 10/21; 1/2; 8/15; ; ; ; 4/9; ; 
Draw; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 31/10; 3; 3; 3; 11/4; 14/5; 59/20; 16/5; 16/5; 16/5; 58/19; 3; 3; 58/19; 13/4; 29/10; ; ; ; 14/5; ; 
Middlesbrough; 6; 11/2; 6; 13/2; 13/2; 6; 7; 5; 6; 6; 6; 6; 13/2; 6; 6; 13/2; 25/4; 6; 33/5; 25/4; 38/5; 6; ; ; ; 37/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 18:16:08 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 8/15; 1/2; 4/7; 4/9; 4/7; 4/7; 11/20; 1/2; 8/15; 4/7; 8/15; 4/7; 11/20; 4/7; 4/7; 8/15; 18/35; 10/21; 4/9; 18/35; 14/25; 7/12; ; ; ; 8/15; ; 
Draw; 14/5; 16/5; 14/5; 16/5; 3; 3; 3; 3; 3; 14/5; 13/5; 13/5; 57/20; 3; 3; 16/5; 56/19; 3; 3; 56/19; 31/10; 11/4; ; ; ; 14/5; ; 
Middlesbrough; 11/2; 11/2; 11/2; 13/2; 6; 11/2; 13/2; 5; 11/2; 5; 5; 11/2; 11/2; 11/2; 5; 6; 57/10; 6; 33/5; 57/10; 13/2; 28/5; ; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 22:16:28 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 8/15; 1/2; 8/13; 8/15; 4/7; 11/20; 3/5; 1/2; 4/7; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 8/15; 3/5; 4/9; 8/15; 14/25; 7/12; ; ; ; 8/15; ; 
Draw; 14/5; 16/5; 27/10; 3; 3; 3; 29/10; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 3; 3; 31/10; 29/10; 27/10; 3; 29/10; 31/10; 11/4; ; ; ; 14/5; ; 
Middlesbrough; 11/2; 11/2; 5; 11/2; 6; 6; 6; 5; 21/4; 5; 24/5; 11/2; 11/2; 11/2; 5; 11/2; 27/5; 47/10; 33/5; 27/5; 13/2; 28/5; ; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 02:15:57 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 8/15; 1/2; 8/13; 8/15; 4/7; 11/20; 3/5; 1/2; 4/7; 3/5; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 8/15; 3/5; 8/15; 8/15; 14/25; 7/12; 8/15; ; ; 8/15; ; 
Draw; 14/5; 16/5; 27/10; 3; 3; 3; 29/10; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 31/10; 29/10; 27/10; 3; 29/10; 31/10; 11/4; 3; ; ; 14/5; ; 
Middlesbrough; 11/2; 11/2; 5; 11/2; 6; 6; 6; 5; 21/4; 5; 24/5; 5; 11/2; 11/2; 5; 11/2; 21/4; 47/10; 28/5; 21/4; 13/2; 28/5; 23/4; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 06:15:59 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 8/15; 1/2; 8/13; 8/15; 4/7; 8/15; 3/5; 1/2; 4/7; 3/5; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 8/15; 5/9; 14/25; 7/12; 8/15; ; ; 8/15; ; 
Draw; 14/5; 16/5; 27/10; 3; 3; 16/5; 29/10; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 31/10; 29/10; 27/10; 3; 29/10; 31/10; 11/4; 3; ; ; 14/5; ; 
Middlesbrough; 11/2; 11/2; 5; 11/2; 6; 6; 6; 5; 21/4; 5; 24/5; 5; 11/2; 11/2; 5; 11/2; 21/4; 47/10; 28/5; 21/4; 13/2; 28/5; 23/4; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 10:16:40 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 8/15; 1/2; 8/13; 8/15; 3/5; 8/15; 8/13; 1/2; 4/7; 3/5; 4/7; 6/10; 11/20; 6/10; 4/7; 4/7; 5/9; 3/5; 8/15; 5/9; 59/100; 7/12; 8/15; ; ; 8/15; ; 
Draw; 14/5; 16/5; 27/10; 3; 3; 16/5; 29/10; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 29/10; 3; 31/10; 37/13; 27/10; 3; 37/13; 3; 11/4; 3; ; ; 27/10; ; 
Middlesbrough; 11/2; 11/2; 5; 11/2; 11/2; 6; 11/2; 5; 21/4; 5; 24/5; 5; 11/2; 11/2; 5; 11/2; 21/4; 47/10; 28/5; 21/4; 63/10; 28/5; 23/4; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 14:16:04 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 8/13; 8/15; 8/13; 8/15; 8/13; 1/2; 4/7; 3/5; 4/7; 6/10; 4/7; 6/10; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 59/100; 7/12; 3/5; ; ; 8/15; ; 
Draw; 14/5; 16/5; 27/10; 3; 3; 16/5; 29/10; 3; 14/5; 11/4; 13/5; 11/4; 14/5; 29/10; 3; 31/10; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 27/10; ; 
Middlesbrough; 5; 11/2; 5; 11/2; 11/2; 6; 11/2; 5; 21/4; 5; 24/5; 5; 21/4; 11/2; 5; 11/2; 51/10; 47/10; 5; 51/10; 63/10; 57/10; 5; ; ; 5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 18:16:03 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 3/5; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 4/7; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 3; 3; 31/10; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 11/2; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-08 22:16:09 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 4/7; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 4/7; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 6; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 02:15:56 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 3/5; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 4/7; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 11/2; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 06:15:56 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 4/7; 8/15; 11/20; 1/2; ; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 4/7; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; ; 14/5; 13/5; 13/5; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 6; 6; 13/2; 5; ; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 10:15:58 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 4/7; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 8/15; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 6; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 14:15:59 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 4/7; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 8/15; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 31/10; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 6; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 18:16:22 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 4/7; 8/15; 11/20; 1/2; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 8/15; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 6; 6; 13/2; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-09 22:15:50 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 3/5; 8/15; 4/7; 1/2; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; ; 59/100; 7/12; 3/5; ; ; 4/7; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; ; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 11/2; 6; 6; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; ; 63/10; 57/10; 5; ; ; 24/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-10 02:15:43 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 4/7; 1/2; 6/10; 8/15; 3/5; 8/15; 4/7; 1/2; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 7/12; 3/5; ; ; 8/15; ; 
Draw; 14/5; 16/5; 11/4; 3; 3; 16/5; 3; 3; 14/5; 14/5; 13/5; 11/4; 14/5; 3; 3; 3; 37/13; 27/10; 11/4; 37/13; 3; 27/10; 11/4; ; ; 14/5; ; 
Middlesbrough; 5; 11/2; 11/2; 11/2; 11/2; 6; 6; 5; 21/4; 5; 5; 11/2; 11/2; 11/2; 5; 11/2; 26/5; 47/10; 5; 26/5; 63/10; 57/10; 5; ; ; 24/5; ; 
