Arsenal; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; 14/19; 19/25; ; 13/18; 8/11; 13/18; ; ; ; 8/11
Draw; 11/4; 29/10; 29/10; 14/5; 11/4; 3; 3; 27/10; 3; 14/5; 27/10; 13/5; 29/10; 3; 3; 29/10; 37/13; 27/10; 14/5; 37/13; 61/20; ; 29/10; 11/4; 29/10; ; ; ; 3
Crystal Palace; 15/4; 10/3; 17/5; 17/5; 7/2; 37/10; 15/4; 15/4; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 39/10; ; 62/17; 7/2; 62/17; ; ; ; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 02:15:45 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 4/5; 3/4; 3/4; 4/5; 4/5; 3/4; 4/5; 3/4; 3/4; 4/5; 3/4; 4/5; 3/4; 4/5; 10/13; 13/18; 4/6; 10/13; 19/25; 7/9; 13/18; 3/4; 3/4; ; ; ; 4/5
Draw; 11/4; 29/10; 14/5; 14/5; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 27/10; 13/5; 57/20; 14/5; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 61/20; 56/19; 56/19; 13/5; 3; ; ; ; 14/5
Crystal Palace; 15/4; 10/3; 10/3; 17/5; 7/2; 7/2; 18/5; 15/4; 10/3; 16/5; 16/5; 10/3; 10/3; 7/2; 10/3; 7/2; 38/11; 7/2; 7/2; 38/11; 39/10; 13/4; 19/5; 7/2; 39/10; ; ; ; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 06:15:48 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 3/4; 3/4; 4/5; 3/4; 3/4; 4/5; 4/5; 3/4; 4/5; 3/4; 3/4; 4/5; 3/4; 4/5; 3/4; 4/5; 10/13; 13/18; 4/6; 10/13; 19/25; 7/9; 13/18; 3/4; 3/4; ; ; ; 4/5
Draw; 11/4; 29/10; 14/5; 14/5; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 27/10; 11/4; 57/20; 11/4; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 61/20; 56/19; 56/19; 13/5; 3; ; ; ; 14/5
Crystal Palace; 7/2; 10/3; 10/3; 17/5; 7/2; 10/3; 18/5; 15/4; 10/3; 16/5; 16/5; 10/3; 10/3; 15/4; 10/3; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 13/4; 19/5; 10/3; 39/10; ; ; ; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 10:15:55 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 3/4; 4/5; 4/5; 3/4; 3/4; 4/5; 4/5; 3/4; 4/5; 3/4; 3/4; 4/5; 10/13; 4/5; 3/4; 4/5; 10/13; 13/18; 8/11; 10/13; 77/100; 7/9; 7/9; 3/4; 13/16; ; ; ; 4/5
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 27/10; 11/4; 57/20; 11/4; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 61/20; 56/19; 29/10; 13/5; 56/19; ; ; ; 14/5
Crystal Palace; 7/2; 16/5; 10/3; 17/5; 7/2; 10/3; 18/5; 15/4; 10/3; 16/5; 16/5; 10/3; 16/5; 18/5; 10/3; 7/2; 38/11; 7/2; 7/2; 38/11; 19/5; 13/4; 7/2; 10/3; 39/11; ; ; ; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 14:15:46 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 3/4; 4/5; 4/5; 3/4; 4/5; 4/5; 5/6; 3/4; 4/5; 3/4; 3/4; 3/4; 10/13; 4/5; 3/4; 4/5; 10/13; 13/18; 8/11; 10/13; 41/50; 7/9; 7/9; 3/4; 13/16; ; ; 8/11; 8/11
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 56/19; 29/10; 13/5; 56/19; ; ; 14/5; 14/5
Crystal Palace; 7/2; 16/5; 16/5; 17/5; 7/2; 7/2; 18/5; 15/4; 10/3; 16/5; 3; 10/3; 16/5; 18/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 13/4; 7/2; 10/3; 39/11; ; ; 7/2; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 18:16:12 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 3/4; 3/4; 5/6; 3/4; 4/5; 33/40; 4/5; 3/4; 4/5; 4/5; 4/5; 3/4; 10/13; 4/5; 3/4; 4/5; 4/5; 13/18; 8/11; 4/5; 41/50; 4/5; 7/9; 4/5; 13/16; ; ; 4/5; 5/6
Draw; 11/4; 14/5; 29/10; 14/5; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 11/4; 14/5; 57/20; 27/10; 3; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 29/10; 29/10; 13/5; 56/19; ; ; 14/5; 14/5
Crystal Palace; 7/2; 10/3; 17/5; 17/5; 7/2; 10/3; 7/2; 15/4; 10/3; 16/5; 16/5; 10/3; 16/5; 18/5; 10/3; 7/2; 17/5; 7/2; 7/2; 17/5; 18/5; 57/17; 7/2; 10/3; 39/11; ; ; 7/2; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-06 22:15:56 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
