META; english/premier-league/middlesbrough-v-burnley; 2017-04-01 22:41:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 11/10; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; 59/50; ; ; ; ; ; ; ; 
Middlesbrough; 13/10; 11/8; 7/5; 7/5; 13/10; 6/4; 29/20; 11/8; 7/5; 7/5; 27/20; 7/5; 11/8; 7/5; 7/5; 16/11; 7/5; 23/17; 7/5; 7/5; 6/4; 23/17; 16/11; 13/10; 6/4; ; ; ; 7/5
Draw; 11/5; 2; 41/20; 21/10; 11/5; 11/5; 85/40; 11/5; 85/40; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 54/25; 28/13; 28/13; 21/10; 11/5; ; ; ; 21/10
Burnley; 11/5; 11/5; 11/5; 21/10; 11/5; 43/20; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 47/20; 9/4; 28/13; 11/5; 11/5; ; ; ; 23/10
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 14:15:28 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 11/8; 7/5; 7/5; 7/5; 6/4; 29/20; 11/8; 7/5; 7/5; 27/20; 7/5; 11/8; 7/5; 7/5; 7/5; 7/5; 23/17; 7/5; 7/5; 6/4; 23/17; 16/11; 13/10; 6/4; ; ; 7/5; 7/5
Draw; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 85/40; 11/5; 85/40; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 54/25; 28/13; 28/13; 21/10; 11/5; ; ; 21/10; 21/10
Burnley; 9/4; 11/5; 11/5; 21/10; 11/5; 43/20; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 47/20; 9/4; 28/13; 11/5; 11/5; ; ; 11/5; 23/10
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 18:15:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 7/5; 7/5; 7/5; 29/20; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 23/17; 7/5; 7/5; 6/4; 17/12; 16/11; 11/8; 6/4; ; ; 7/5; 7/5
Draw; 21/10; 2; 43/20; 21/10; 11/5; 11/5; 85/40; 11/5; 85/40; 2; 2; 2; 21/10; 11/5; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 54/25; 11/5; 28/13; 21/10; 11/5; ; ; 21/10; 21/10
Burnley; 9/4; 11/5; 23/10; 21/10; 11/5; 23/10; 12/5; 11/5; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 47/20; 11/5; 28/13; 21/10; 11/5; ; ; 9/4; 9/4
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 22:15:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 11/8; 29/20; 7/5; 7/5; 7/5; 29/20; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 23/17; 7/5; 7/5; 29/20; 17/12; 16/11; 11/8; 6/4; ; ; 7/5; 7/5
Draw; 21/10; 2; 43/20; 21/10; 11/5; 11/5; 85/40; 11/5; 85/40; 2; 2; 2; 21/10; 9/4; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; 11/5; ; ; 21/10; 21/10
Burnley; 9/4; 11/5; 23/10; 21/10; 11/5; 23/10; 12/5; 11/5; 9/4; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 47/20; 11/5; 28/13; 21/10; 11/5; ; ; 9/4; 23/10
META; english/premier-league/middlesbrough-v-burnley; 2017-04-07 02:15:27 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 29/20; 11/8; 29/20; 7/5; 7/5; 7/5; 29/20; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 29/20; 7/5; 16/11; 7/5; 23/17; 7/5; ; 29/20; 17/12; 7/5; 7/5; 16/11; ; ; 11/8; 7/5
