META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-12 13:08:24 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 12:31:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 16:20:50 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 20:20:08 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; 21/10; ; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; 23/10; ; 23/10; 12/5; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 00:20:15 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; 21/10; ; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; 23/10; ; 23/10; 12/5; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 04:20:08 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; 21/10; ; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; 23/10; ; 23/10; 12/5; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 08:20:16 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; 21/10; ; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; 23/10; ; 23/10; 12/5; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 12:20:17 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 16:20:15 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-19 20:21:03 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 00:20:14 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 04:20:25 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 08:20:01 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 12:22:42 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 16:20:27 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; ; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; ; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; ; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; ; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; ; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; ; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-20 20:21:46 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 00:19:40 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 04:20:09 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 08:20:03 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 12:20:36 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 16:20:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-21 20:20:37 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 00:19:03 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 04:18:38 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 08:18:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 12:18:51 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 16:19:01 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-22 20:19:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 00:18:32 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 04:18:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 08:18:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 12:19:17 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 16:21:15 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-23 20:21:22 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
