Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-28 22:27:30 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-29 02:27:18 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-29 10:27:24 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-29 18:27:36 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-29 22:27:36 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-30 02:27:30 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-30 10:27:25 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-30 14:28:17 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-30 18:27:24 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; 2; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-30 22:25:37 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-31 02:25:38 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-31 10:25:47 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 23/20; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 19/10; 2; 21/10; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 5/2; 5/2; 21/10; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-31 14:26:18 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
