META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-07 02:26:31 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 8/11; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 23/10; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 50/13; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-07 10:26:27 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; 4/5; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 4/5; ; 1/100; 8/11; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 23/10; 21/10; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 10/3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 41/10; 33/10; 37/10; 7/2; 10/3; 7/2; ; 11/10; 3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-07 14:27:56 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 9/10; 3/4; 5/6; 4/5; 4/5; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 4/5; ; 8/11; 8/11; 8/11
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 11/5; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 10/3; 4; 7/2; 37/10; 18/5; 18/5; 7/2; 7/2; 18/5; 7/2; 7/2; 15/4; 7/2; 50/13; 41/10; 33/10; 37/10; 7/2; 10/3; 7/2; ; 7/2; 10/3; 7/2
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-07 22:28:31 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 3/4; 4/5; 5/6; 4/5; 3/4; 4/5; 4/6; 4/5; 4/5; 4/5; 4/5; 10/13; 3/4; 5/6; 4/5; 4/5; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 4/5; ; 8/11; 8/11; 4/5
