Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 5/6; 43/50; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 9/4; 23/10; 5/2
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 39/11; 79/20; 3; 18/5; 3; 7/2; 10/3; 39/11; ; 3; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-21 18:26:10 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 5/6; 43/50; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 9/4; 23/10; 5/2
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 7/2; 79/20; 3; 18/5; 3; 7/2; 10/3; 7/2; ; 7/2; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-21 22:26:39 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 5/6; 10/11; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 12/5; 59/25; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 12/5; 23/10; 5/2
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 38/11; 39/10; 3; 18/5; 3; 7/2; 10/3; 7/2; ; 10/3; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-22 02:25:12 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; 4/5; 5/6; 10/11; 5/6; 4/5; 4/5; 5/6; 17/20; 5/6; ; 5/6; 4/5; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 5/2; 27/11; 59/25; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 12/5; 12/5; 5/2
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 10/3; ; 16/5; 10/3; 10/3; 18/5; 38/11; 39/10; 3; 18/5; 3; 18/5; 10/3; 38/11; ; 7/2; 7/2; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-22 10:25:57 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 11/13; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 20/23; 5/6; 20/23; ; 9/10; 5/6; 5/6; 4/5; 13/15; 23/25; 9/10; 4/5; 4/5; 17/20; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 12/5; ; 23/10; 12/5; 23/10; 5/2; 12/5; 121/50; 27/11; 23/10; 23/10; 5/2; 51/20; 27/11; ; 12/5; 12/5; 5/2
Cordoba; 15/4; 10/3; 3; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 3; 7/2; 16/5; ; 31/10; 10/3; 10/3; 18/5; 13/4; 37/10; 11/4; 18/5; 3; 7/2; 16/5; 33/10; ; 7/2; 10/3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-22 14:26:32 GMT+3; 2017-10-22 11:00; In Play; Xlenovo
Oviedo; 1/7; 1/8; 23/17; 21/20; 1/9; ; ; 1/8; 8/7; 19/20; 1/5; 1/6; ; 1/5; 5/4; 6/5; 1/9; 21/20; ; ; 8/7; ; 1/6; 2/13; 21/20; ; ; 2/11; 2/9
Draw; 5; 11/2; 15/13; 8/5; 5; ; ; 9/2; 31/21; 7/4; 9/2; 4; ; 17/4; 5/4; 6/5; 5; 8/5; ; ; 31/21; ; 19/4; 19/4; 8/5; ; ; 5; 21/5
Cordoba; 33; 40; 4; 15/4; 33; ; ; 30; 41/10; 19/5; 25; 25; ; 18; 15/4; 9/2; 35; 75/19; ; ; 41/10; ; 25; 45; 4; ; ; 39; 26
