META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 14:23:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 18:22:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; ; 19/20; ; ; 1; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Portsmouth; 1; 1; 21/20; 21/20; 1; 39/40; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 1; 107/100; 1; 1; 9/10; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 5/2; 12/5; 40/17; 11/5; 9/4; 9/4; 47/20; 13/5; 12/5; 23/10; 23/10; 40/17; 23/10; 61/25; 27/11; 40/17; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 11/4; 29/10; 29/10; 13/5; 11/4; 13/5; 14/5; 11/4; 14/5; 29/10; 29/10; 14/5; 11/4; 29/10; 11/4; 14/5; 27/10; 14/5; 14/5; 149/50; 27/11; 14/5; 3; 14/5; 11/4; ; ; 11/4; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-14 18:22:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 10/11; 1; 19/20; 21/20; 1; 39/40; 20/21; 10/11; 1; 19/20; 19/20; 21/20; 1; 21/20; 19/20; 19/20; 1; ; 1; 99/100; 19/20; 1; 9/10; 1; 10/11; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 23/10; 40/17; 9/4; 9/4; 9/4; 47/20; 5/2; 12/5; 12/5; 23/10; 40/17; 23/10; 62/25; 40/17; 40/17; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 3; 29/10; 31/10; 13/5; 3; 13/5; 31/10; 11/4; 14/5; 3; 16/5; 14/5; 3; 3; 3; 29/10; 27/10; 14/5; 14/5; 13/4; 27/10; 14/5; 3; 3; 3; ; ; 11/4; 3
META; english/league-1/portsmouth-v-fleetwood; 2017-09-14 22:22:21 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 10/11; 19/20; 1; 21/20; 1; 39/40; 1; 10/11; 1; 1; 1; 1; 19/20; 1; 19/20; 19/20; 1; ; 19/20; 51/50; 19/20; 1; 9/10; 1; 10/11; ; ; 20/21; 20/21
Draw; 12/5; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 23/10; 40/17; 11/5; 11/5; 21/10; 47/20; 5/2; 9/4; 23/10; 23/10; 40/17; 23/10; 119/50; 40/17; 40/17; 12/5; 12/5; 9/4; ; ; 23/10; 12/5
Fleetwood; 3; 3; 31/10; 13/5; 16/5; 13/5; 3; 3; 14/5; 3; 3; 16/5; 16/5; 10/3; 16/5; 3; 11/4; 14/5; 3; 13/4; 27/10; 14/5; 3; 3; 3; ; ; 14/5; 3
META; english/league-1/portsmouth-v-fleetwood; 2017-09-15 02:21:27 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 10/11; 19/20; 1; 21/20; 1; 39/40; 1; 10/11; 1; 1; 1; 1; 19/20; 1; 19/20; 19/20; 1; ; 19/20; 51/50; 19/20; 1; 9/10; 1; 10/11; ; ; 20/21; 1
Draw; 12/5; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 23/10; 40/17; 11/5; 11/5; 21/10; 47/20; 5/2; 9/4; 23/10; 23/10; 40/17; 23/10; 119/50; 40/17; 40/17; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 3; 3; 31/10; 13/5; 16/5; 13/5; 3; 3; 14/5; 3; 3; 16/5; 16/5; 10/3; 16/5; 3; 11/4; 14/5; 3; 13/4; 27/10; 14/5; 3; 3; 3; ; ; 14/5; 3
META; english/league-1/portsmouth-v-fleetwood; 2017-09-15 10:21:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 19/20; 1; 21/20; 1; 39/40; 20/21; 10/11; 1; 1; 1; 1; 19/20; 1; 19/20; 19/20; 1; ; 19/20; 101/100; 19/20; 1; 9/10; 1; 10/11; ; ; 20/21; 1
Draw; 5/2; 9/4; 9/4; 12/5; 23/10; 11/5; 5/2; 23/10; 40/17; 11/5; 11/5; 21/10; 47/20; 5/2; 9/4; 23/10; 23/10; 40/17; 9/4; 121/50; 40/17; 40/17; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 10/3; 3; 31/10; 13/5; 16/5; 13/5; 3; 3; 14/5; 3; 3; 16/5; 16/5; 10/3; 16/5; 3; 11/4; 14/5; 3; 13/4; 27/10; 14/5; 3; 3; 3; ; ; 14/5; 3
META; english/league-1/portsmouth-v-fleetwood; 2017-09-15 14:21:23 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 19/20; 1; 21/20; 1; 39/40; 1; 10/11; 1; 1; 1; 1; 19/20; 1; 19/20; 19/20; 1; ; 19/20; 101/100; 19/20; 1; 9/10; 1; 10/11; ; ; 20/21; 1
Draw; 5/2; 9/4; 9/4; 12/5; 23/10; 11/5; 5/2; 23/10; 40/17; 11/5; 11/5; 21/10; 47/20; 5/2; 9/4; 23/10; 23/10; 40/17; 9/4; 121/50; 40/17; 40/17; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 10/3; 3; 31/10; 13/5; 16/5; 13/5; 3; 3; 14/5; 3; 3; 16/5; 16/5; 10/3; 16/5; 3; 11/4; 14/5; 3; 13/4; 27/10; 14/5; 3; 3; 3; ; ; 14/5; 3
META; english/league-1/portsmouth-v-fleetwood; 2017-09-15 18:21:35 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 19/20; 19/20; 1; 1; 4/5; 37/40; 10/11; 1; 19/20; 19/20; 20/21; 9/10; 20/21; 10/11; 19/20; 5/6; ; 10/11; 97/100; 15/16; 1; 19/20; 9/10; 10/11; ; ; 20/21; 10/11
Draw; 5/2; 9/4; 9/4; 23/10; 23/10; 23/10; 5/2; 12/5; 40/17; 11/5; 9/4; 11/5; 47/20; 5/2; 23/10; 23/10; 12/5; 40/17; 40/17; 5/2; 40/17; 40/17; 23/10; 12/5; 9/4; ; ; 2; 12/5
