Portsmouth ; 4/7; 3/5; 4/7; 4/7; 59/ 100; 4/7; 8/15; 4/7; 5/9; 4/7; 4/7; 6/10; 4/7; 6/10; 4/7; 8/15; 4/7; 8/15; 4/7; 5/9; 5/9; 8/13; 4/7; 11/20; 5/9; ; 4/7; 8/15; 4/7
Draw; 16/5; 29/10; 14/5; 11/4; 31/10; 3; 29/10; 3; 3; 14/5; 3; 13/5; 3; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 3; 3; 3; 3; 57/20; 3; ; 14/5; 14/5; 3
Northampton; 11/2; 19/4; 5; 5; 28/5; 5; 5; 5; 19/4; 5; 11/2; 5; 9/2; 5; 19/4; 5; 19/4; 51/10; 19/4; 9/2; 19/4; 19/4; 5; 5; 67/13; ; 28/5; 27/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-29 18:22:20 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 4/7; 3/5; 4/7; 4/7; 29/50; 6/10; 5/9; 8/15; 6/11; 6/10; 4/7; 6/10; 4/7; 6/10; 4/7; 4/7; 4/7; 8/15; 4/7; 3/5; 6/11; 8/13; 3/5; 11/20; 8/15; ; 4/7; 4/7; 4/7
Draw; 16/5; 29/10; 14/5; 11/4; 63/20; 31/10; 3; 11/4; 29/10; 14/5; 3; 13/5; 3; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 29/10; 29/10; 3; 3; 57/20; 3; ; 3; 14/5; 3
Northampton; 11/2; 19/4; 5; 11/2; 28/5; 11/2; 5; 5; 21/4; 5; 11/2; 5; 9/2; 5; 19/4; 5; 19/4; 67/13; 19/4; 43/10; 21/4; 19/4; 5; 5; 26/5; ; 5; 26/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-29 22:22:22 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 4/7; 3/5; 4/7; 4/7; 59/ 100; 6/10; 5/9; 8/15; 6/11; 6/10; 4/7; 6/10; 4/7; 6/10; 4/7; 4/7; 4/7; 8/15; 4/7; 3/5; 6/11; 8/13; 4/7; 11/20; 5/9; ; 4/7; 8/15; 4/7
Draw; 16/5; 29/10; 14/5; 11/4; 31/10; 31/10; 29/10; 11/4; 29/10; 14/5; 3; 13/5; 3; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 29/10; 29/10; 3; 16/5; 57/20; 3; ; 14/5; 14/5; 3
Northampton; 11/2; 19/4; 5; 11/2; 11/2; 11/2; 5; 5; 21/4; 5; 11/2; 5; 9/2; 5; 19/4; 5; 19/4; 51/10; 19/4; 43/10; 21/4; 19/4; 5; 5; 67/13; ; 26/5; 26/5; 11/2
META; english/league-1/portsmouth-v-northampton; 2017-12-30 02:22:16 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 4/7; 3/5; 4/7; 4/7; 29/50; 6/10; 5/9; 8/15; 6/11; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 3/5; 6/11; 8/13; 4/7; 11/20; 8/15; ; 4/7; 4/7; 4/7
Draw; 16/5; 29/10; 14/5; 11/4; 63/20; 31/10; 3; 11/4; 29/10; 29/10; 16/5; 13/5; 3; 14/5; 3; 14/5; 29/10; 3; 29/10; 29/10; 29/10; 3; 16/5; 57/20; 3; ; 3; 3; 3
Northampton; 11/2; 19/4; 5; 11/2; 28/5; 11/2; 5; 5; 21/4; 5; 5; 5; 9/2; 5; 19/4; 5; 19/4; 26/5; 19/4; 43/10; 21/4; 19/4; 5; 5; 21/4; ; 26/5; 26/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-30 10:22:14 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 4/7; 4/7; 4/7; 4/7; 29/50; 6/10; 5/9; 8/15; 6/11; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 3/5; 6/11; 8/13; 4/7; 11/20; 8/15; ; 4/7; 4/7; 4/7
Draw; 16/5; 14/5; 14/5; 11/4; 31/10; 31/10; 29/10; 11/4; 29/10; 14/5; 3; 13/5; 3; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 29/10; 29/10; 3; 16/5; 57/20; 3; ; 14/5; 14/5; 3
Northampton; 11/2; 5; 5; 11/2; 29/5; 11/2; 11/2; 5; 21/4; 5; 11/2; 5; 5; 5; 19/4; 5; 19/4; 53/10; 19/4; 43/10; 21/4; 21/4; 5; 5; 91/17; ; 11/2; 27/5; 29/5
META; english/league-1/portsmouth-v-northampton; 2017-12-30 14:22:38 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 4/7; 4/7; 4/7; 4/7; 14/25; 6/10; 5/9; 4/7; 6/11; 4/7; 4/7; 4/7; 4/7; 4/7; 11/20; 8/15; 6/11; 8/15; 6/11; 6/11; 6/11; 8/15; 11/20; 11/20; 8/15; ; 4/7; 4/7; 8/15
Draw; 31/10; 14/5; 29/10; 11/4; 16/5; 31/10; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 14/5; 3; 14/5; 29/10; 3; 29/10; 58/19; 29/10; 3; 31/10; 57/20; 3; ; 3; 3; 3
Northampton; 23/4; 5; 11/2; 11/2; 59/10; 11/2; 11/2; 5; 21/4; 11/2; 11/2; 5; 5; 5; 5; 11/2; 5; 60/11; 5; 23/5; 21/4; 11/2; 11/2; 6; 11/2; ; 11/2; 28/5; 6
META; english/league-1/portsmouth-v-northampton; 2017-12-30 18:22:20 GMT+2; 2017-12-30 15:00; In Play; Xlenovo
Portsmouth; 1/66; 1/6; 1/41; 1/100; 9/50; 4/6; 1/6; 1/50; 1/8; ; 1/66; 1/100; 1/100; 1/50; ; 1/100; ; 1/8; ; 1/100; ; ; 1/66; ; 1/7; ; ; 1/50; 
Draw; 20; 6; 28; 22; 57/10; 11/5; 5; 25; 27/5; ; 25; 25; 14; 15; 22; 22; ; 53/10; ; 14; ; ; 14; ; 91/17; ; ; 34; 23
Northampton; 100; 25; 125; 60; 37/2; 6; 25; 325; 22; ; 100; 80; 80; 55; 125; 80; ; 24; ; 25; ; ; 80; ; 97/4; ; ; 232; 
