META; english/league-1/southend-v-bradford; 2017-12-10 02:20:49 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 10:20:51 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 14:23:39 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 3/2; ; ; ; ; 8/5; 6/4; ; ; ; ; ; ; ; 6/4; ; ; 17/10; ; ; ; ; 31/20; ; ; 5/6; ; 
Southend; 6/4; 6/4; 6/4; 29/20; 7/5; 31/20; 6/4; 6/4; 31/21; ; 6/4; 6/4; 13/10; 31/20; 6/4; 7/5; 7/5; 17/11; 41/25; 16/11; 31/21; 6/4; 31/20; 6/4; 17/11; ; 6/4; 6/4; 13/8
Bradford; 17/10; 7/4; 7/4; 19/10; 19/10; 9/5; 7/4; 9/5; 24/13; ; 7/4; 17/10; 15/8; 7/4; 17/10; 19/10; 19/10; 17/10; 91/50; 7/4; 24/13; 9/5; 7/4; 17/10; 7/4; ; 17/10; 17/10; 9/5
Draw; 12/5; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 23/10; 9/4; ; 12/5; 5/2; 23/10; 47/20; 23/10; 23/10; 9/4; 23/10; 121/ 50; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 9/4; 11/5; 12/5
META; english/league-1/southend-v-bradford; 2017-12-14 22:21:37 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 6/4; 6/4; 6/4; 29/20; 7/5; 31/20; 6/4; 6/4; 31/21; ; 6/4; 31/20; 13/10; 31/20; 6/4; 7/5; 7/5; 6/4; 161/ 100; 16/11; 31/21; 6/4; 31/20; 6/4; 6/4; ; 6/4; 6/4; 8/5
Bradford; 17/10; 7/4; 7/4; 19/10; 19/10; 9/5; 7/4; 9/5; 24/13; ; 7/4; 7/4; 15/8; 7/4; 17/10; 19/10; 19/10; 7/4; 93/50; 7/4; 24/13; 9/5; 7/4; 17/10; 7/4; ; 17/10; 17/10; 9/5
Draw; 12/5; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 23/10; 9/4; ; 12/5; 23/10; 23/10; 47/20; 23/10; 23/10; 9/4; 23/10; 121/ 50; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 11/5; 11/5; 12/5
META; english/league-1/southend-v-bradford; 2017-12-15 02:21:38 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 6/4; 6/4; 7/5; 16/11; 31/20; 6/4; 6/4; 31/21; ; 6/4; 31/20; 13/10; 31/20; 6/4; 7/5; 16/11; 6/4; 161/ 100; 16/11; 31/21; 6/4; 31/20; 6/4; 17/11; ; 6/4; 6/4; 8/5
Bradford; 15/8; 7/4; 7/4; 17/10; 9/5; 9/5; 7/4; 9/5; 24/13; ; 7/4; 7/4; 15/8; 7/4; 17/10; 19/10; 9/5; 7/4; 93/50; 7/4; 24/13; 9/5; 7/4; 17/10; 7/4; ; 7/4; 9/5; 9/5
Draw; 12/5; 12/5; 23/10; 23/10; 9/4; 12/5; 9/4; 23/10; 9/4; ; 23/10; 23/10; 23/10; 47/20; 23/10; 23/10; 9/4; 23/10; 121/ 50; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 11/5; 11/5; 12/5
META; english/league-1/southend-v-bradford; 2017-12-15 10:21:45 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 6/4; 6/4; 7/5; 16/11; 31/20; 6/4; 6/4; 31/21; ; 6/4; 31/20; 13/10; 31/20; 6/4; 7/5; 16/11; 6/4; 161/ 100; 16/11; 31/21; 6/4; 31/20; 6/4; 17/11; ; 6/4; 6/4; 8/5
