META; english/league-1/bradford-v-rotherham; 2017-09-10 14:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rotherham; 11/4; 23/10; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-10 18:22:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 21/20; ; 21/20; 1; ; ; ; ; 1; ; ; 21/20; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Bradford; 6/5; 23/20; 6/5; 23/20; 6/5; 43/40; 6/5; 11/10; 8/7; 15/13; 6/5; 6/5; 11/10; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; ; 9/8; 8/7; ; 11/10; 11/10; ; 10/9; ; 
Rotherham; 23/10; 23/10; 47/20; 12/5; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; ; 39/19; 12/5; ; 12/5; 9/4; ; 23/10; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 23/10; 12/5; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; ; 5/2; 40/17; ; 12/5; 12/5; ; 9/4; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-13 14:22:30 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 23/20; 6/5; 23/20; 23/20; 43/40; 6/5; 11/10; 8/7; 15/13; 6/5; 6/5; 11/10; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 6/5; 9/8; 8/7; ; 11/10; 11/10; ; 23/20; 10/9; 23/20
Rotherham; 23/10; 23/10; 47/20; 12/5; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 62/25; 39/19; 12/5; ; 12/5; 9/4; ; 23/10; 12/5; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 23/10; 12/5; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 5/2; 40/17; ; 12/5; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-13 18:22:03 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 23/20; 23/20; 23/20; 23/20; 43/40; 6/5; 11/10; 8/7; 15/13; 23/20; 23/20; 11/10; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 119/100; 9/8; 8/7; ; 11/10; 11/10; ; 23/20; 10/9; 23/20
Rotherham; 23/10; 23/10; 47/20; 12/5; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 39/19; 12/5; ; 12/5; 9/4; ; 23/10; 21/10; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 12/5; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 5/2; 40/17; ; 12/5; 12/5; ; 23/10; 21/10; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-13 22:22:03 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 11/10; 23/20; 23/20; 23/20; 43/40; 6/5; 11/10; 8/7; 15/13; 23/20; 23/20; 11/10; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 119/100; 9/8; 8/7; 11/10; 11/10; 11/10; ; 23/20; 10/9; 23/20
Rotherham; 23/10; 12/5; 47/20; 12/5; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 39/19; 12/5; 12/5; 12/5; 12/5; ; 23/10; 12/5; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 12/5; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 11/5; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-14 02:21:45 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 11/10; 6/5; 23/20; 6/5; 43/40; 5/4; 11/10; 8/7; 15/13; 6/5; 23/20; 23/20; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 6/5; 9/8; 8/7; 11/10; 6/5; 11/10; ; 10/9; 23/20; 23/20
Rotherham; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 85/40; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 62/25; 39/19; 12/5; 12/5; 23/10; 9/4; ; 23/10; 23/10; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 47/20; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 11/5; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-14 10:22:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 6/5; 6/5; 23/20; 6/5; 43/40; 6/5; 11/10; 8/7; 15/13; 6/5; 23/20; 23/20; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 6/5; 9/8; 8/7; 11/10; 6/5; 11/10; ; 10/9; 23/20; 23/20
Rotherham; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 62/25; 39/19; 12/5; 12/5; 23/10; 9/4; ; 23/10; 23/10; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 47/20; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 11/5; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-14 14:22:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 6/5; 6/5; 23/20; 6/5; 43/40; 6/5; 11/10; 8/7; 6/5; 6/5; 23/20; 23/20; 6/5; 6/5; 15/13; 11/10; 8/7; 15/13; 121/100; 9/8; 8/7; 11/10; 6/5; 11/10; ; 10/9; 10/9; 6/5
Rotherham; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 40/17; 9/4; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 12/5; 40/17; 23/10; 62/25; 39/19; 40/17; 12/5; 23/10; 9/4; ; 23/10; 23/10; 12/5
Draw; 9/4; 12/5; 47/20; 23/10; 5/2; 9/4; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 47/20; 13/5; 23/10; 12/5; 23/10; 40/17; 40/17; 5/2; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 11/5; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-14 18:21:57 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 6/5; 6/5; 23/20; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 8/7; 15/13; 6/5; 9/8; 8/7; 11/10; 6/5; 6/5; ; 10/9; 23/20; 23/20
Rotherham; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 23/10; 40/17; 23/10; 5/2; 39/19; 40/17; 12/5; 23/10; 9/4; ; 23/10; 23/10; 12/5
Draw; 9/4; 12/5; 23/10; 23/10; 5/2; 11/5; 5/2; 12/5; 40/17; 9/4; 23/10; 23/10; 47/20; 13/5; 23/10; 23/10; 9/4; 40/17; 40/17; 5/2; 5/2; 40/17; 23/10; 12/5; 9/4; ; 23/10; 11/5; 5/2
META; english/league-1/bradford-v-rotherham; 2017-09-14 22:22:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 6/5; 6/5; 23/20; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 6/5; 5/4; ; 6/5; 6/5; 8/7; 15/13; 123/100; 9/8; 8/7; 11/10; 6/5; 6/5; ; 23/20; 23/20; 6/5
Draw; 9/4; 23/10; 23/10; 23/10; 12/5; 11/5; 5/2; 12/5; 40/17; 9/4; 23/10; 23/10; 47/20; 5/2; ; 23/10; 9/4; 40/17; 23/10; 61/25; 5/2; 40/17; 23/10; 12/5; 9/4; ; 9/4; 21/10; 12/5
