META; english/league-1/plymouth-v-gillingham; 2017-12-03 02:21:53 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 10:22:04 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 14:22:14 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; ; ; ; ; 5/4; 6/5; 16/13; ; 5/4; ; ; ; ; 13/10; ; 6/5; ; ; 16/13; 13/10; 5/4; 5/4; 6/5; ; 5/6; ; 
Plymouth; 13/10; 13/10; 23/17; ; ; 11/8; 13/10; 13/10; 23/18; 11/8; 13/10; 11/8; 23/20; 5/4; 13/10; 13/10; ; 13/10; 11/8; 9/7; 23/18; 13/10; 11/8; 27/20; 13/10; ; 5/4; 13/10; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 28/13; 21/10; 21/10; 21/10; 23/10; 21/10; 21/10; ; ; 39/19; 111/50; 24/13; 28/13; 85/40; 2; 21/10; 39/19; ; 9/5; 19/10; 11/5
Draw; 12/5; 23/10; 11/5; ; ; 23/10; 9/4; 23/10; 9/4; 11/5; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 12/5; 11/5; 9/4; 23/10; 12/5; 11/5; 23/10; ; 21/10; 21/10; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-06 14:22:13 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 11/8; 13/10; 13/10; 4/3; 11/8; 13/10; 11/8; ; 5/4; 13/10; 13/10; ; 13/10; 11/8; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 5/4; ; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 41/20; 21/10; ; ; 39/19; 111/50; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 9/5; ; 11/5
Draw; 12/5; 23/10; 11/5; ; ; 23/10; 9/4; 23/10; 11/5; 11/5; 23/10; 21/10; ; 11/5; 23/10; 23/10; ; 23/10; 12/5; 11/5; 11/5; 23/10; 12/5; 11/5; 23/10; ; 11/5; ; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-06 18:22:26 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 11/8; 13/10; 13/10; 4/3; 11/8; 11/8; 11/8; 23/20; 5/4; 13/10; 13/10; ; 13/10; 69/50; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 5/4; 13/10; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 21/10; 2; 21/10; 23/10; 41/20; 21/10; ; ; 39/19; 111/50; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 9/5; 19/10; 11/5
Draw; 12/5; 23/10; 11/5; ; ; 23/10; 9/4; 23/10; 11/5; 11/5; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; ; 23/10; 12/5; 11/5; 11/5; 23/10; 12/5; 11/5; 23/10; ; 21/10; 21/10; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-06 22:22:34 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 7/5; 13/10; 11/8; 4/3; 11/8; 11/8; 11/8; ; 5/4; 13/10; 13/10; ; 13/10; 69/50; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 13/10; 13/10; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; ; 2; 21/10; 21/10; ; 39/19; 11/5; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 2; 19/10; 21/10
