META; english/league-1/fleetwood-v-mk-dons; 2018-02-18 14:21:22 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; ; ; ; ; 11/10; 11/10; 1; ; ; ; ; ; 21/20; 1; ; ; ; 
MK Dons; 11/5; 11/5; 11/5; 23/10; 111/50; 12/5; 21/10; 23/10; 40/17; 11/5; 11/5; 11/5; 21/10; 43/20; 11/5; 9/4; 28/13; 11/5; 21/10; 40/17; 9/4; 11/5; 11/5; 28/13; ; 19/10; 2; 21/10
META; english/league-1/fleetwood-v-mk-dons; 2018-02-22 22:20:23 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 5/4; 13/10; 13/10; 13/10; 34/25; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 11/8; 27/20; 13/10; 5/4; 13/10; 5/4; 23/18; 23/18; 13/10; 13/10; 13/10; 13/10; ; 5/4; 5/4; 27/20
MK Dons; 11/5; 11/5; 11/5; 11/5; 111/50; 12/5; 21/10; 9/4; 28/13; 9/4; 11/5; 11/5; 21/10; 43/20; 11/5; 9/4; 39/19; 11/5; 21/10; 28/13; 9/4; 11/5; 11/5; 21/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 11/5; 21/10; 11/5; 61/25; 12/5; 11/5; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 11/5; 21/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-23 02:20:05 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 5/4; 13/10; 13/10; 13/10; 34/25; 13/10; 13/10; 5/4; 23/18; ; 13/10; 13/10; 11/8; 27/20; 13/10; ; 13/10; 5/4; 23/18; 23/18; 13/10; 13/10; 13/10; 13/10; ; 13/10; 5/4; 27/20
MK Dons; 11/5; 11/5; 11/5; 11/5; 54/25; 23/10; 2; 11/5; 28/13; ; 21/10; 11/5; 21/10; 43/20; 11/5; 11/5; 39/19; 11/5; 21/10; 28/13; 9/4; 85/40; 11/5; 21/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 11/5; 21/10; 11/5; 5/2; 12/5; 9/4; 23/10; 9/4; ; 12/5; 11/5; 11/5; 21/10; 11/5; ; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; ; 23/10; 21/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-23 10:19:52 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 11/8; 13/10; 13/10; 13/10; 34/25; 7/5; 13/10; 13/10; 23/18; ; 13/10; 13/10; 11/8; 27/20; 13/10; ; 13/10; 5/4; 23/18; 23/18; 13/10; ; 13/10; 13/10; ; 13/10; 6/5; 27/20
MK Dons; 11/5; 11/5; 11/5; 11/5; 54/25; 11/5; 21/10; 2; 28/13; ; 21/10; 21/10; 21/10; 43/20; 11/5; 11/5; 39/19; 11/5; 21/10; 28/13; 9/4; 85/40; 11/5; 39/19; ; 19/10; 19/10; 21/10
Draw; 12/5; 11/5; 21/10; 11/5; 5/2; 12/5; 11/5; 23/10; 9/4; ; 23/10; 9/4; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; ; 23/10; 21/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-23 14:20:07 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 11/8; 13/10; 13/10; 13/10; 34/25; 13/10; 13/10; 5/4; 23/18; ; 13/10; 13/10; 13/10; 27/20; 13/10; ; 13/10; 5/4; 23/18; 23/18; 13/10; ; 13/10; 13/10; ; 13/10; 13/10; 11/8
MK Dons; 11/5; 11/5; 11/5; 11/5; 54/25; 23/10; 21/10; 11/5; 28/13; ; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 28/13; 9/4; 11/5; 11/5; 21/10; ; 19/10; 19/10; 21/10
Draw; 12/5; 11/5; 21/10; 11/5; 5/2; 12/5; 11/5; 9/4; 9/4; ; 23/10; 9/4; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; ; 12/5; 21/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-23 18:20:28 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 29/20; 11/8; 26/19; 13/10; 71/50; 29/20; 11/8; 13/10; 23/18; 27/20; 7/5; 13/10; 11/8; 11/8; 13/10; 11/8; 13/10; 13/10; 9/7; 23/18; 7/5; 11/8; 13/10; 13/10; ; 27/20; 27/20; 7/5
MK Dons; 21/10; 21/10; 21/10; 2; 52/25; 11/5; 2; 21/10; 28/13; 21/10; 2; 2; 21/10; 21/10; 21/10; 2; 39/19; 2; 21/10; 28/13; 85/40; 21/10; 11/5; 21/10; ; 2; 21/10; 2
Draw; 12/5; 11/5; 21/10; 12/5; 62/25; 23/10; 23/10; 11/5; 9/4; 21/10; 23/10; 23/10; 11/5; 43/20; 23/10; 9/4; 9/4; 23/10; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; ; 23/10; 23/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-23 22:20:30 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 29/20; 13/10; 26/19; 13/10; 71/50; 29/20; 11/8; 13/10; 4/3; 11/8; 7/5; 11/8; 11/8; 11/8; 13/10; 11/8; 13/10; 13/10; 23/17; 4/3; 7/5; 11/8; 13/10; 13/10; ; 27/20; 11/8; 7/5
MK Dons; 21/10; 21/10; 21/10; 2; 52/25; 11/5; 2; 21/10; 37/19; 11/5; 2; 2; 2; 21/10; 21/10; 2; 39/19; 2; 2; 37/19; 85/40; 21/10; 11/5; 21/10; ; 21/10; 11/5; 2
Draw; 12/5; 9/4; 21/10; 12/5; 62/25; 23/10; 23/10; 11/5; 12/5; 21/10; 23/10; 9/4; 9/4; 43/20; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 23/10; 12/5; 9/4; 23/10; ; 11/5; 23/10; 21/10
META; english/league-1/fleetwood-v-mk-dons; 2018-02-24 02:20:24 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 29/20; 13/10; 26/19; 13/10; 71/50; 11/8; 11/8; 13/10; 4/3; 11/8; 11/8; 11/8; 11/8; 11/8; 13/10; 11/8; 13/10; 13/10; 23/17; 4/3; 7/5; 11/8; 13/10; 13/10; ; 13/10; 27/20; 7/5
MK Dons; 21/10; 21/10; 21/10; 2; 52/25; 23/10; 2; 21/10; 37/19; 11/5; 2; 2; 2; 21/10; 21/10; 2; 39/19; 2; 2; 37/19; 85/40; 21/10; 11/5; 21/10; ; 21/10; 2; 2
