Scunthorpe; 6/4; 6/4; 7/5; 7/5; 149/ 100; 6/4; 7/5; 6/4; 11/8; 7/5; 29/20; 29/20; 7/5; 29/20; 11/8; 7/5; 16/11; 7/5; 16/11; 26/19; 11/8; 7/5; 7/5; 29/20; 7/5; 6/4; 7/5; 6/4
Doncaster; 21/10; 19/10; 21/10; 2; 41/20; 21/10; 2; 15/8; 39/19; 21/10; 21/10; 2; 2; 21/10; 2; 2; 24/13; 37/19; 24/13; 2; 39/19; 2; 85/40; 2; 37/19; 19/10; 2; 2
Draw; 23/10; 11/5; 21/10; 11/5; 119/ 50; 23/10; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 14:35:34 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 7/5; 7/5; 149/ 100; 6/4; 7/5; 6/4; 11/8; 7/5; 29/20; 29/20; 7/5; 29/20; 11/8; 7/5; 16/11; 7/5; 16/11; 26/19; 11/8; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 6/4
Doncaster; 21/10; 19/10; 21/10; 2; 41/20; 21/10; 2; 15/8; 39/19; 21/10; 21/10; 2; 2; 21/10; 2; 2; 24/13; 37/19; 24/13; 2; 39/19; 2; 85/40; 2; 2; 19/10; 2; 2
Draw; 23/10; 11/5; 21/10; 11/5; 119/ 50; 23/10; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 18:21:08 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 16/11; 7/5; 149/ 100; 8/5; 6/4; 8/5; 31/21; 29/20; 6/4; 29/20; 6/4; 29/20; 7/5; 7/5; 16/11; 16/11; 16/11; 15/11; 31/21; 6/4; 6/4; 29/20; 16/11; 6/4; 6/4; 6/4
Doncaster; 21/10; 19/10; 2; 2; 51/25; 21/10; 2; 15/8; 19/10; 2; 2; 21/10; 2; 41/20; 19/10; 19/10; 24/13; 19/10; 24/13; 21/11; 19/10; 2; 2; 2; 37/19; 19/10; 19/10; 2
Draw; 23/10; 21/10; 21/10; 11/5; 12/5; 9/4; 11/5; 2; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 18:36:04 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 16/11; 7/5; 149/ 100; 8/5; 6/4; 8/5; 31/21; 29/20; 6/4; 29/20; 6/4; 29/20; 7/5; 7/5; 16/11; 7/5; 16/11; 15/11; 31/21; 6/4; 6/4; 29/20; 7/5; 7/5; 7/5; 6/4
Doncaster; 21/10; 19/10; 2; 2; 51/25; 21/10; 2; 15/8; 19/10; 2; 2; 21/10; 2; 2; 19/10; 19/10; 24/13; 37/19; 24/13; 21/11; 19/10; 2; 2; 2; 37/19; 19/10; 19/10; 2
Draw; 23/10; 21/10; 21/10; 11/5; 12/5; 9/4; 9/4; 2; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 21/10; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 22:21:09 GMT+2; 2018-01-23 19:45; In Play; Xlenovo
Scunthorpe; 2/5; 4/11; 2/5; 2/5; 1/2; 4/9; 4/9; 4/9; 7/17; ; 2/5; 2/5; 4/9; 4/9; 4/9; 2/5; 10/21; ; 10/21; 7/19; 7/17; ; 2/5; 2/5; ; ; ; 4/9; 4/9
Draw; 3; 3; 3; 16/5; 33/10; 29/10; 3; 11/4; 31/10; ; 10/3; 3; 11/4; 31/10; 14/5; 3; 13/5; ; 13/5; 41/13; 31/10; ; 33/10; 16/5; ; ; ; 3; 3
Doncaster; 15/2; 8; 7; 15/2; 29/5; 7; 7; 7; 6; ; 8; 6; 13/2; 7; 6; 15/2; 23/4; ; 23/4; 33/5; 6; ; 15/2; 8; ; ; ; 17/2; 36/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 22:35:28 GMT+2; 2018-01-23 19:45; In Play; Xlenovo
Scunthorpe; 4/11; 4/11; 4/11; 4/11; 43/ 100; 4/9; 2/5; 4/9; 7/17; ; 4/11; 4/11; 2/5; 2/5; 7/20; 4/11; 2/5; 6/17; 2/5; 4/11; 7/17; ; 4/11; 4/11; 7/19; ; ; 2/5; 2/5
Draw; 10/3; 3; 3; 16/5; 33/10; 14/5; 10/3; 11/4; 31/10; ; 10/3; 3; 11/4; 16/5; 3; 3; 14/5; 13/4; 14/5; 41/13; 31/10; ; 33/10; 16/5; 33/10; ; ; 10/3; 3
Doncaster; 9; 10; 9; 10; 38/5; 15/2; 8; 15/2; 8; ; 10; 7; 8; 9; 8; 9; 15/2; 17/2; 15/2; 71/10; 8; ; 9; 10; 8; ; ; 48/5; 39/5
