META; english/league-1/bury-v-gillingham; 2018-02-18 14:21:17 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; ; ; ; ; 5/4; 13/10; 5/4; ; ; ; ; ; 5/4; 5/4; ; ; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 113/50; 23/10; ; 11/5; 39/19; 21/10; 21/10; 21/10; 9/4; 43/20; 11/5; 21/10; 21/10; 21/10; 39/19; 39/19; 11/5; 21/10; 21/10; 28/13; ; 21/10; 9/4; 11/5
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 23/10; ; 11/5; 40/17; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 9/4; 11/5; 21/10; 21/10; 40/17; 11/5; 23/10; 21/10; 9/4; ; 2; 2; 11/5
META; english/league-1/bury-v-gillingham; 2018-02-23 02:20:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 26/19; 5/4; 7/5; 11/8; ; 13/10; 23/18; 11/8; 11/8; 11/8; 6/5; 27/20; 13/10; 13/10; 13/10; 23/17; 11/8; 23/18; 7/5; 11/8; 27/20; 13/10; ; 13/10; 13/10; 27/20
Gillingham; 21/10; 21/10; 21/10; 2; 113/50; 9/4; ; 21/10; 39/19; 21/10; 21/10; 21/10; 9/4; 43/20; 11/5; 21/10; 28/13; 21/10; 39/19; 39/19; 11/5; 21/10; 21/10; 28/13; ; 2; 2; 11/5
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 12/5; ; 23/10; 40/17; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 9/4; 11/5; 21/10; 21/10; 40/17; 11/5; 23/10; 21/10; 9/4; ; 21/10; 2; 11/5
META; english/league-1/bury-v-gillingham; 2018-02-23 10:19:48 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 11/8; 13/10; 26/19; 5/4; 7/5; 11/8; ; 13/10; 23/18; 11/8; 11/8; 7/5; 6/5; 27/20; 13/10; 13/10; 13/10; 23/17; 11/8; 23/18; 7/5; 11/8; 27/20; 23/17; ; 5/4; 5/4; 27/20
Gillingham; 11/5; 21/10; 21/10; 2; 113/50; 9/4; ; 21/10; 39/19; 21/10; 21/10; 21/10; 9/4; 43/20; 11/5; 21/10; 21/10; 21/10; 39/19; 39/19; 11/5; 21/10; 21/10; 28/13; ; 2; 2; 9/4
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 12/5; ; 23/10; 40/17; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 9/4; 11/5; 21/10; 21/10; 40/17; 11/5; 23/10; 21/10; 11/5; ; 23/10; 21/10; 11/5
META; english/league-1/bury-v-gillingham; 2018-02-23 14:20:02 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 11/8; 13/10; 26/19; 5/4; 7/5; 11/8; ; 13/10; 23/18; 11/8; 11/8; 7/5; 6/5; 11/8; 13/10; 13/10; 13/10; 23/17; 11/8; 23/18; 7/5; 11/8; 27/20; 23/17; ; 13/10; 27/20; 27/20
