META; english/league-2/grimsby-v-yeovil; 2017-09-10 14:24:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; 11/5; 2; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-10 18:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; ; 23/20; ; ; ; ; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Grimsby; 19/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1; 109/100; 30/29; 21/20; 21/20; 21/20; 1; ; 1; 1; 21/20
Draw; 5/2; 12/5; 11/5; 9/4; 12/5; 11/5; 5/2; 12/5; 27/11; 11/5; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 23/10; ; 40/17; 121/50; 23/10; 27/11; 12/5; 12/5; 12/5; ; 23/10; 23/10; 12/5
Yeovil; 11/4; 11/4; 5/2; 12/5; 11/4; 12/5; 13/5; 13/5; 27/11; 27/10; 27/10; 13/5; 11/4; 14/5; 5/2; 13/5; 13/5; 27/11; 27/10; 73/25; 9/4; 27/11; 12/5; 13/5; 5/2; ; 13/5; 5/2; 14/5
META; english/league-2/grimsby-v-yeovil; 2017-09-15 02:22:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 19/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1; 111/100; 30/29; 21/20; 21/20; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 12/5; 27/11; 9/4; 9/4; 12/5; 47/20; 5/2; 23/10; 12/5; 23/10; ; 40/17; 121/50; 23/10; 27/11; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
Yeovil; 11/4; 11/4; 5/2; 12/5; 11/4; 12/5; 13/5; 13/5; 27/11; 13/5; 27/10; 13/5; 11/4; 14/5; 5/2; 13/5; 13/5; 27/11; 27/10; 143/50; 9/4; 27/11; 12/5; 13/5; 11/4; ; 5/2; 5/2; 14/5
META; english/league-2/grimsby-v-yeovil; 2017-09-15 10:21:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; ; 21/20; 20/21; 21/20
Draw; 13/5; 12/5; 9/4; 9/4; 12/5; 11/5; 13/5; 12/5; 27/11; 9/4; 23/10; 23/10; 47/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 62/25; 23/10; 27/11; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
