Colchester; 21/10; 19/10; 2; 21/10; 21/10; 15/8; 2; 2; 15/8; 2; 2; 2; 39/20; 21/10; 21/10; 2; 2; 15/8; 39/19; 11/5; 21/10; 15/8; 2; 2; 2; ; 19/10; 19/10; 21/10
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 129/50; 23/10; 40/17; 12/5; 12/5; 12/5; ; 12/5; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-16 10:21:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 5/4; 23/20; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 13/12; 13/10; 23/20; 23/20; 23/20; 5/4; 23/20; 15/13; 15/13; 13/12; 15/13; 61/50; 12/11; 13/12; 23/20; 6/5; 11/10; ; 23/20; 13/10; 6/5
Colchester; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 23/10; 23/10; 5/2; 2; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 40/17; 119/50; 28/13; 5/2; 23/10; 23/10; 9/4; ; 9/4; 2; 12/5
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 11/5; 13/5; 12/5; 40/17; 12/5; 12/5; 23/10; 51/20; 13/5; 12/5; 12/5; 23/10; ; 12/5; 129/50; 13/5; 40/17; 12/5; 12/5; 12/5; ; 12/5; 12/5; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-16 14:23:17 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 5/4; 6/5; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 13/12; 15/13; 11/10; 23/20; 23/20; 5/4; 23/20; 15/13; 15/13; 13/12; 15/13; 61/50; 12/11; 13/12; 23/20; 11/10; 11/10; ; 6/5; 13/10; 6/5
Colchester; 12/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 5/2; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 119/50; 28/13; 5/2; 9/4; 12/5; 9/4; ; 9/4; 2; 23/10
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 11/5; 13/5; 12/5; 40/17; 12/5; 12/5; 23/10; 51/20; 13/5; 12/5; 12/5; 23/10; ; 12/5; 129/50; 13/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-16 18:23:20 GMT+3; 2017-09-16 15:00; In Play; Xlenovo
Cheltenham; 3/10; ; ; ; ; 38/100; 3/10; 1/3; ; 4/11; ; ; ; ; ; ; 1/3; ; ; ; ; ; 6/5; ; ; ; ; ; 
Draw; 15/4; ; ; ; ; 29/10; 19/5; 11/4; ; 10/3; ; ; ; ; ; ; 3; ; ; ; ; ; 12/5; ; ; ; ; ; 
Colchester; 11; ; ; ; ; 6; 21/2; 8; ; 15/2; ; ; ; ; ; ; 19/2; ; ; ; ; ; 9/4; ; ; ; ; ; 
