META; english/league-2/port-vale-v-forest-green; 2017-09-10 14:24:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 15/8; 9/5; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-10 18:24:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; 29/20; ; 29/20; 7/5; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-14 22:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 7/5; 13/10; 13/10; 11/8; 4/3; 11/8; 13/10; 23/17; 23/17; 27/20; 13/10; 27/20; 7/5; 11/8; 11/8; 7/5; 23/17; 5/4; 141/100; 11/9; 23/17; 6/5; 13/10; 11/8; ; 13/10; 5/4; 7/5
Forest Green; 11/5; 19/10; 39/20; 15/8; 21/10; 9/5; 2; 2; 2; 2; 2; 2; 2; 11/5; 19/10; 2; 19/10; 2; 21/10; 85/40; 16/9; 2; 21/10; 2; 2; ; 2; 15/8; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 49/20; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 61/25; 27/11; 23/10; 12/5; 23/10; 9/4; ; 9/4; 19/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-15 02:22:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 13/10; 13/10; 13/10; 11/8; 4/3; 11/8; 13/10; 23/17; 23/17; 27/20; 13/10; 27/20; 7/5; 11/8; 13/10; 7/5; 23/17; 5/4; 71/50; 11/9; 23/17; 6/5; 13/10; 11/8; ; 13/10; 5/4; 7/5
Forest Green; 11/5; 2; 39/20; 15/8; 21/10; 9/5; 2; 2; 2; 2; 2; 2; 2; 11/5; 19/10; 39/19; 19/10; 2; 21/10; 85/40; 16/9; 2; 21/10; 2; 2; ; 2; 2; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 49/20; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 121/50; 27/11; 23/10; 12/5; 23/10; 9/4; ; 9/4; 23/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-15 10:21:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 13/10; 5/4; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 7/5; 23/17; 23/17; 67/50; 11/9; 23/17; 6/5; 13/10; 11/8; ; 5/4; 5/4; 13/10
