Bournemouth; 6; 9/2; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 63/13; ; 23/5; 10/3; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-03 02:16:23 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; ; 8/13; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 4/7; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 5; 19/4; 63/13; ; 23/5; 7/2; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-03 10:16:27 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 4/7; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 5; 19/4; 63/13; ; 23/5; 7/2; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-03 14:16:26 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 4/7; 4/7; ; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 4/7; 4/7; 4/7; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; 3; 3; 3; 3; 16/5; 31/10; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; 9/2; 5; 49/10; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 94/19; ; 23/5; 21/5; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-03 18:16:24 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 4/7; 4/7; ; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 4/7; 4/7; 4/7; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; 3; 3; 3; 3; 16/5; 31/10; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; 9/2; 5; 49/10; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 94/19; ; 23/5; 21/5; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-03 22:16:22 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 4/7; 4/7; ; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 4/7; ; 4/7; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; 3; 3; 3; 3; ; 31/10; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; 9/2; 5; 49/10; 5; ; 23/5; 19/4; 19/4; 19/4; 94/19; ; 23/5; 21/5; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-04 02:16:19 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 4/7; 4/7; ; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 4/7; 4/7; 4/7; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; 3; 3; 3; 3; 16/5; 31/10; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 19/4; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; 9/2; 5; 49/10; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 94/19; ; 23/5; 21/5; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-04 10:16:21 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; 6/10; 3/5; 4/7; 4/7; 8/15; 4/7; 4/7; ; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 4/7; 4/7; 4/7; 4/7; 3/5; 8/15; 5/9; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; 3; 3; 56/19; 3; 16/5; 31/10; 100/30; 17/5; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; 4; 53/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; 9/2; 5; 5; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 94/19; ; 23/5; 21/5; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-04 14:16:27 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
