Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-30 22:20:08 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-31 02:19:33 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-31 10:19:10 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-31 14:19:38 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-31 18:31:03 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-31 22:19:09 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-09-01 02:18:40 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
