Arsenal; 12/5; 23/10; 23/10; 12/5; 64/25; ; 5/2; ; 12/5; 23/10; 5/2; ; 12/5; 47/20; 5/2; 9/4; 40/17; 5/2; 27/11; 12/5; 5/2; 5/2; 49/20; 12/5; ; 5/2; 5/2; 27/10
Draw; 13/5; 14/5; ; 11/4; 71/25; ; 11/4; ; 27/10; 27/10; 5/2; ; 14/5; 11/4; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 29/10; 27/10; 27/10; ; 27/10; 12/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-06 02:15:58 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 1; 1; 1; 21/20; ; 21/20; ; 1; 1; 21/20; ; 21/20; 1; 21/20; 1; 1; 1; 30/29; 1; 21/20; 1; 1; 21/20; ; 1; 21/20; 1
Arsenal; 12/5; 23/10; 12/5; 12/5; 137/50; ; 5/2; ; 13/5; 12/5; 5/2; ; 5/2; 5/2; 5/2; 23/10; 40/17; 5/2; 27/11; 13/5; 5/2; 27/10; 49/20; 12/5; ; 13/5; 13/5; 27/10
Draw; 13/5; 14/5; 11/4; 11/4; 71/25; ; 11/4; ; 27/10; 27/10; 5/2; ; 14/5; 14/5; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 14/5; 27/10; 27/10; ; 11/4; 5/2; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-06 10:15:59 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 19/20; 1; 1; 26/25; ; 21/20; ; 1; 1; 21/20; ; ; 21/20; 21/20; 1; 1; 1; 30/29; 1; 21/20; 21/20; 1; 21/20; ; 1; 21/20; 
Arsenal; 12/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 23/10; 5/2; ; ; 12/5; 5/2; 23/10; 40/17; 5/2; 27/11; 13/5; 5/2; 5/2; 49/20; 12/5; ; 13/5; 13/5; 27/10
Draw; 13/5; 14/5; 27/10; 11/4; 143/50; ; 11/4; ; 27/10; 27/10; 5/2; ; ; 11/4; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 14/5; 27/10; 27/10; ; 11/4; 5/2; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-06 14:16:00 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 19/20; 1; 1; 26/25; ; 21/20; ; 1; 1; 21/20; ; ; ; 21/20; 19/20; 1; 1; 30/29; 1; 21/20; 21/20; 1; 1; ; 1; 1; 1
