Man City; 1/10; 1/9; 1/11; 1/10; 1/9; 1/9; 1/12; 1/10; 1/10; 1/11; 1/9; 1/10; 1/12; 1/10; 1/10; 1/10; 1/10; 1/10; 3/25; 1/14; 1/10; 1/9; 1/10; 1/10; 1/9; ; 1/10; ; 
Draw; 9; 17/2; 10; 9; 9; 10; 10; 10; 9; 10; 9; 17/2; 10; 9; 10; 17/2; 33/4; 15/2; 21/2; 19/2; 9; 10; 21/2; 17/2; 31/4; ; 54/5; ; 
West Ham; 18; 18; 28; 18; 20; 25; 25; 22; 25; 28; 20; 20; 28; 22; 18; 19; 18; 87/4; 28; 35/2; 24; 20; 25; 22; 87/4; ; 20; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-27 18:17:31 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/10; 1/9; 1/10; 1/10; 1/9; 1/10; 1/12; 1/12; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; 1/10; 1/10; 1/11; 3/25; 1/12; 1/10; 1/10; 1/9; 1/10; 1/11; ; 1/10; ; 
Draw; 9; 17/2; 10; 9; 9; 12; 11; 11; 9; 10; 9; 17/2; ; 9; 10; 17/2; 33/4; 19/2; 21/2; 9; 9; 10; 10; 17/2; 19/2; ; 54/5; ; 
West Ham; 18; 18; 28; 18; 20; 33; 22; 25; 25; 28; 20; 20; ; 22; 18; 19; 18; 19; 28; 33/2; 24; 22; 25; 22; 77/4; ; 20; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-27 22:17:32 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/12; 1/9; 1/10; 1/10; 1/9; 1/10; 1/12; 1/12; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; 1/10; 1/10; 1/11; 3/25; 1/12; 1/10; 1/10; 1/9; 1/11; 1/11; ; 1/10; ; 
Draw; 10; 17/2; 10; 9; 10; 12; 11; 11; 9; 9; 9; 17/2; ; 9; 10; 17/2; 9; 19/2; 21/2; 9; 9; 10; 10; 9; 39/4; ; 54/5; ; 
West Ham; 20; 18; 28; 18; 22; 33; 22; 25; 25; 28; 20; 20; ; 22; 18; 19; 22; 77/4; 28; 33/2; 24; 22; 25; 22; 39/2; ; 26; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-28 02:17:29 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/12; 1/9; 1/10; 1/10; 1/9; 1/10; 1/12; 1/12; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; 1/10; 1/10; 1/11; 3/25; 1/12; 1/10; 1/10; 1/9; 1/11; 1/11; ; 1/10; ; 
Draw; 10; 17/2; 10; 9; 10; 12; 11; 11; 9; 9; 9; 17/2; ; 9; 10; 17/2; 9; 19/2; 21/2; 9; 9; 10; 10; 9; 39/4; ; 52/5; ; 
West Ham; 20; 18; 28; 18; 22; 33; 22; 25; 25; 28; 20; 20; ; 22; 18; 19; 22; 77/4; 28; 33/2; 24; 22; 25; 22; 39/2; ; 25; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-28 10:17:30 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/12; 1/9; 1/10; 1/10; 1/10; 1/10; 1/12; 1/12; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; 1/10; 1/11; 1/11; 3/25; 1/12; 1/10; 1/10; 1/9; 1/11; 1/11; ; 1/10; ; 
Draw; 10; 17/2; 10; 9; 10; 12; 11; 11; 9; 9; 9; 17/2; ; 9; 10; 17/2; 19/2; 19/2; 21/2; 9; 9; 10; 10; 9; 39/4; ; 52/5; ; 
West Ham; 20; 18; 28; 18; 25; 33; 22; 25; 25; 28; 20; 20; ; 22; 18; 19; 25; 77/4; 28; 33/2; 24; 22; 25; 22; 39/2; ; 25; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-28 14:17:31 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/12; 1/9; 1/10; 1/10; ; 1/10; 1/12; 1/12; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; 1/10; 1/11; 1/12; 3/25; 1/12; 1/10; 1/10; 1/10; 1/11; 1/12; ; 1/9; ; 
