Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; 15/2; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; 8; 31/4; 21/2; ; 8; 7; 8; ; 41/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 18; 22; ; 16; 20; ; 16; 22; 25; 16; 18; 33/2; 31/2; 17; 33/2; 22; ; 17; 16; 17; ; 21; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 02:19:30 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; ; 1/5; 1/5; 2/11; 2/9; 1/5; 1/9; 1/5; 2/15; ; 1/5; 2/11; 1/5; 1/5; 1/6; 1/7; 2/13; 1/7; 1/7; 21/100; 3/16; 1/7; 1/6; 1/7; ; 2/11; ; 
Draw; 15/2; ; 11/2; 6; 13/2; 6; 6; 8; 11/2; 8; ; 11/2; 6; 5; 6; 15/2; 13/2; 13/2; 15/2; 13/2; 7; 29/5; 15/2; 6; 77/10; ; 28/5; ; 
Real Sociedad; 12; ; 12; 11; 14; 12; 12; 16; 11; 10; ; 12; 14; 14; 12; 14; 14; 14; 16; 14; 29/2; 19/2; 16; 14; 82/5; ; 71/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 06:18:39 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; ; 1/5; 1/5; 2/11; 1/5; 1/5; 1/9; 1/5; 2/15; ; 1/5; 2/11; 2/11; 1/5; 1/6; 1/7; 2/13; 1/7; 1/7; 21/100; 3/16; 1/7; 1/6; 1/7; ; 2/11; ; 
Draw; 15/2; ; 11/2; 6; 7; 6; 6; 8; 6; 8; ; 11/2; 6; 11/2; 6; 15/2; 13/2; 13/2; 15/2; 13/2; 7; 29/5; 15/2; 6; 77/10; ; 28/5; ; 
Real Sociedad; 12; ; 13; 11; 14; 12; 12; 16; 11; 10; ; 12; 14; 14; 12; 14; 55/4; 14; 16; 55/4; 29/2; 19/2; 16; 14; 82/5; ; 71/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 10:20:05 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; ; 1/5; 1/5; 2/11; 1/5; 1/5; 1/9; 1/5; 2/15; ; 1/5; ; 2/11; 1/5; 1/6; 1/7; 2/13; 1/7; 1/7; 21/100; 3/16; 1/7; 1/6; 1/7; ; 2/11; ; 
Draw; 15/2; ; 11/2; 6; 7; 6; 6; 8; 6; 8; ; 11/2; ; 11/2; 6; 15/2; 13/2; 13/2; 15/2; 13/2; 7; 29/5; 15/2; 6; 77/10; ; 23/5; ; 
Real Sociedad; 12; ; 13; 11; 14; 12; 12; 16; 11; 10; ; 12; ; 14; 12; 14; 55/4; 14; 16; 55/4; 29/2; 19/2; 16; 14; 82/5; ; 4/7; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 14:18:35 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/9; 1/5; 2/15; ; 1/5; 2/11; 1/5; 1/5; 2/11; 1/7; 1/7; 1/7; 1/7; 21/100; 3/16; 1/7; 1/6; 1/7; ; 2/11; ; 
Draw; 15/2; 5; 11/2; 6; 13/2; 6; 6; 8; 11/2; 8; ; 11/2; 6; 5; 6; 13/2; 13/2; 13/2; 15/2; 13/2; 7; 29/5; 15/2; 6; 77/10; ; 29/5; ; 
Real Sociedad; 12; 14; 12; 11; 14; 12; 12; 16; 11; 10; ; 12; 14; 14; 12; 14; 55/4; 33/2; 16; 55/4; 29/2; 19/2; 16; 14; 82/5; ; 21/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 18:19:57 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/9; 1/5; 1/5; ; 1/5; 2/11; 1/5; 1/5; 2/11; 1/7; 1/7; 1/7; 1/7; 1/5; 3/16; 1/7; 1/6; 1/7; ; 2/11; ; 
Draw; 15/2; 11/2; 11/2; 6; 13/2; 6; 6; 8; 11/2; 5; ; 11/2; 6; 5; 6; 13/2; 13/2; 13/2; 15/2; 13/2; 36/5; 29/5; 15/2; 6; 77/10; ; 29/5; ; 
Real Sociedad; 12; 12; 12; 11; 14; 12; 12; 16; 11; 10; ; 12; 14; 14; 12; 14; 55/4; 33/2; 16; 55/4; 31/2; 19/2; 16; 14; 82/5; ; 21/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-09 22:18:37 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/7; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/9; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/13; 1/7; 2/11; 2/13; 1/5; 3/16; 2/11; 1/6; 2/11; ; 2/11; ; 
Draw; 15/2; 11/2; 11/2; 6; 13/2; 6; 6; 8; 11/2; 5; 5; 11/2; 6; 5; 6; 13/2; 25/4; 13/2; 13/2; 25/4; 36/5; 29/5; 13/2; 6; 13/2; ; 29/5; ; 
Real Sociedad; 12; 12; 12; 11; 14; 12; 12; 16; 11; 10; 12; 12; 14; 14; 12; 12; 27/2; 33/2; 14; 27/2; 31/2; 19/2; 14; 14; 14; ; 21/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 02:17:44 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/11; 1/9; 1/5; 1/5; 2/11; 1/5; 1/5; 2/11; 2/9; 1/5; 1/6; 1/7; 2/11; 1/6; 1/5; 3/16; 2/11; 1/5; 2/11; ; 2/11; ; 
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 13/2; 8; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 6; 6; 57/10; 13/2; 13/2; 57/10; 36/5; 29/5; 13/2; 11/2; 13/2; ; 6; ; 
Real Sociedad; 12; 12; 14; 11; 14; 12; 14; 16; 11; 12; 14; 12; 14; 14; 10; 14; 51/4; 33/2; 14; 51/4; 31/2; 19/2; 14; 12; 14; ; 21/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 06:17:42 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 1/5; 2/11; 1/5; 1/5; 2/9; 2/11; 1/9; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 1/6; 1/7; 2/11; 1/6; 1/5; 3/16; 2/11; 1/5; 2/11; ; 2/11; ; 
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 6; 8; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 6; 6; 57/10; 13/2; 13/2; 57/10; 36/5; 29/5; 13/2; 5; 13/2; ; 6; ; 
Real Sociedad; 16; 12; 13; 11; 16; 12; 14; 16; 11; 12; 14; 12; 14; 12; 10; 14; 51/4; 33/2; 14; 51/4; 31/2; 19/2; 14; 12; 14; ; 17/2; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 10:18:14 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 1/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/5; 2/9; 1/5; 1/6; 2/11; 2/11; 1/6; 1/5; 1/5; 2/11; 1/5; 2/11; ; 2/11; ; 
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 6; 8; 6; 11/2; 5; 11/2; 11/2; 11/2; 6; 6; 23/4; 23/4; 13/2; 23/4; 36/5; 29/5; 13/2; 5; 13/2; ; 6; ; 
Real Sociedad; 16; 12; 12; 11; 14; 12; 12; 16; 11; 12; 12; 11; 14; 12; 10; 14; 51/4; 25/2; 14; 51/4; 31/2; 9; 14; 12; 14; ; 17/2; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 14:18:44 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/5; 2/9; 1/5; 1/6; 2/11; 2/11; 1/6; 21/100; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 6; 8; 11/2; 11/2; 5; 11/2; 11/2; 5; 6; 6; 57/10; 23/4; 13/2; 57/10; 34/5; 29/5; 13/2; 5; 13/2; ; 29/5; 32/5; 
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 16; 11; 12; 12; 11; 14; 12; 10; 14; 51/4; 25/2; 14; 51/4; 31/2; 9; 14; 12; 14; ; 57/5; 13; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 18:20:13 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 1/6; 2/11; 2/11; 1/6; 21/100; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 13/2; 6; 11/2; 11/2; 5; 5; 11/2; 11/2; 6; 6; 23/4; 23/4; 13/2; 23/4; 34/5; 29/5; 13/2; 5; 13/2; ; 29/5; 32/5; 33/5
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 12; 14; 12; 10; 14; 51/4; 25/2; 14; 51/4; 15; 9; 14; 14; 14; ; 57/5; 13; 72/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-10 22:18:53 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 2/11; 2/11; 2/11; 2/11; 11/50; ; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 13/2; 6; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 6; 6; 59/10; 23/4; 13/2; 59/10; 34/5; ; 13/2; 5; 13/2; ; 29/5; 32/5; 33/5
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 12; 14; 12; 10; 14; 53/4; 25/2; 14; 53/4; 29/2; ; 14; 14; 14; ; 57/5; 13; 72/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-11 10:18:24 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 2/11; 2/11; 2/11; ; 11/50; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 6; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 6; 6; 59/10; 23/4; 13/2; ; 34/5; 29/5; 13/2; 11/2; 13/2; ; 28/5; 32/5; 13/2
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 11; 14; 12; 10; 14; 53/4; 25/2; 14; ; 29/2; 9; 14; 14; 14; ; 57/5; 63/5; 64/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-11 14:18:11 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 2/11; 2/11; 2/11; 2/11; 2/9; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 13/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 6; 6; 59/10; 23/4; 13/2; 59/10; 13/2; 29/5; 13/2; 11/2; 13/2; ; 28/5; 32/5; 33/5
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 11; 14; 12; 10; 14; 53/4; 25/2; 14; 53/4; 29/2; 9; 14; 14; 14; ; 62/5; 13; 72/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-11 18:20:00 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 2/11; 2/11; 2/11; 2/11; 2/9; 1/5; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 13/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 6; 6; 59/10; 23/4; 13/2; 59/10; 13/2; 29/5; 13/2; 11/2; 13/2; ; 29/5; 32/5; 33/5
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 11; 14; 12; 10; 14; 53/4; 25/2; 14; 53/4; 29/2; 9; 14; 14; 14; ; 62/5; 63/5; 72/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-11 22:18:03 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 2/11; 2/11; 2/11; 2/11; 2/9; ; 2/11; 1/5; 2/11; ; 2/9; 1/5; 2/9
Draw; 11/2; 11/2; 11/2; 6; 6; 6; 6; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 6; 6; 6; 23/4; 13/2; 6; 13/2; ; 13/2; 11/2; 13/2; ; 29/5; 31/5; 33/5
Real Sociedad; 16; 11; 12; 11; 14; 12; 12; 11; 11; 12; 12; 12; 14; 12; 10; 14; 14; 25/2; 14; 14; 29/2; ; 14; 14; 14; ; 69/5; 14; 72/5
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-12 02:18:13 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/6; 2/9; 1/5; 1/5; 1/5; 2/9; 1/5; 1/6; 1/5; 2/9; 1/5; 2/9; 1/5; 1/5; 2/9; 1/5; 3/16; 2/11; 2/11; 3/16; 2/9; 1/5; 2/11; 1/5; 2/11; ; 2/9; 2/9; 2/9
