META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 02:20:33 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 12/5; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 21/5; 17/4; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 18:19:55 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 12/5; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 21/5; 17/4; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 22:19:42 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 2/3; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 67/100; ; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 13/5; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 59/20; ; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; 4; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 9/2; 4; 21/5; 50/11; 51/10; ; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-26 02:19:50 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 2/3; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; ; 13/20; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 13/5; 13/5; 5/2; 13/5; 53/20; 13/5; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 59/20; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; 4; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 50/11; 4; 21/5; ; 27/5; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-26 06:18:55 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 2/3; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 13/20; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 13/5; 13/5; 5/2; 13/5; 53/20; 13/5; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 59/20; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; 4; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 50/11; 4; 21/5; 50/11; 27/5; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-26 10:20:35 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 2/3; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 16/25; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 13/5; 13/5; 5/2; 13/5; 53/20; 13/5; 13/5; 11/4; 45/17; 11/4; 27/10; 45/17; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; 4; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 4; 21/5; 9/2; 11/2; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-26 18:18:42 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 16/25; ; 7/10; 4/6; ; 4/7; ; 
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 53/20; 13/5; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; ; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; 9/2; 4; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 21/5; 4; 17/4; 9/2; 17/4; 9/2; 23/5; 4; 21/5; 23/5; 11/2; ; 17/4; 17/4; ; 22/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-26 22:19:48 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 6/10; 8/11; 4/6; 7/10; 13/20; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 4/6; 4/6; 11/17; 4/6; 4/6; 13/20; 13/19; 4/6; 4/6; ; 8/13; 4/7; 4/6
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 14/5; 14/5; 13/5; 13/5; 13/5; 5/2; 13/5; 53/20; 13/5; 13/5; 27/10; 45/17; 11/4; 27/10; 45/17; 73/25; 27/10; 27/10; 13/5; ; 23/10; 9/4; 11/4
Deportivo La Coruna; 17/4; 9/2; 4; 4; 5; 9/2; 9/2; 9/2; 17/4; 9/2; 21/5; 4; 17/4; 9/2; 17/4; 9/2; 23/5; 4; 9/2; 23/5; 11/2; 43/10; 9/2; 17/4; ; 4; 7/2; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 02:18:09 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 9/13; 11/17; 4/6; 9/13; 73/100; 13/19; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 45/17; 11/4; 27/10; 45/17; 27/10; 27/10; 27/10; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 17/4; 17/4; 4; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 9/2; 9/2; 9/2; 9/2; 74/17; 4; 9/2; 74/17; 5; 43/10; 9/2; 17/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 06:18:02 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 9/13; 11/17; 4/6; 9/13; 37/50; 13/19; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 5/2; 13/5; 5/2; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 45/17; 11/4; 27/10; 45/17; 27/10; 27/10; 27/10; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 4; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 4; 9/2; 9/2; 9/2; 9/2; 74/17; 4; 9/2; 74/17; 49/10; 43/10; 9/2; 17/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 10:18:22 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 6/10; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 7/10; 9/13; 4/6; 4/6; 9/13; 37/50; 13/19; 4/6; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 5/2; 13/5; 5/2; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 28/11; 5/2; 27/10; 28/11; 27/10; 27/10; 27/10; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 9/2; 460/100; 9/2; 4; 17/4; 9/2; 17/4; 4; 9/2; 9/2; 9/2; 9/2; 47/10; 17/4; 9/2; 79/17; 49/10; 43/10; 9/2; 17/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 14:18:07 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 37/50; 13/19; 4/6; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 5/2; 13/5; 5/2; 12/5; 13/5; 53/20; 5/2; 11/4; 27/10; 28/11; 5/2; 27/10; 28/11; 27/10; 27/10; 27/10; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 47/10; 17/4; 9/2; 47/10; 49/10; 43/10; 9/2; 9/2; ; 9/2; 9/2; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 18:18:50 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 37/50; 13/19; 13/19; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 11/4; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 28/11; 5/2; 5/2; 28/11; 27/10; 27/10; 28/11; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 9/2; 9/2; 4; 17/4; 17/4; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 24/5; 17/4; 23/5; 24/5; 49/10; 43/10; 19/4; 9/2; ; 9/2; 9/2; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-27 22:18:17 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; 5/2; 11/4; 27/10; 28/11; 5/2; 11/4; 28/11; 67/25; 45/17; 11/4; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 4; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 9/2; 63/13; 49/10; 21/5; 9/2; 9/2; ; 22/5; 9/2; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 02:18:05 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 27/10; 11/4; 12/5; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 28/11; 5/2; 11/4; 28/11; 67/25; 45/17; 11/4; 5/2; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 4; 17/4; 17/4; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 63/13; 17/4; 9/2; 63/13; 49/10; 21/5; 9/2; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 06:18:11 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 27/10; 11/4; 12/5; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 28/11; 13/5; 11/4; 28/11; 67/25; 45/17; 11/4; 13/5; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 4; 17/4; 17/4; 21/5; 9/2; 9/2; 24/5; 9/2; 9/2; 63/13; 19/4; 9/2; 63/13; 49/10; 21/5; 9/2; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 10:18:15 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 27/10; 11/4; 12/5; 13/5; 5/2; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 45/17; 13/5; 11/4; 45/17; 67/25; 45/17; 11/4; 13/5; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 24/5; 9/2; 9/2; 47/10; 19/4; 9/2; 47/10; 49/10; 21/5; 9/2; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 14:19:12 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 5/2; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 27/10; 13/5; 11/4; 27/10; 67/25; 45/17; 11/4; 13/5; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 24/5; 9/2; 9/2; 49/11; 19/4; 9/2; 49/11; 49/10; 21/5; 9/2; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 18:19:46 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 13/5; 13/5; 5/2; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 45/17; 13/5; 13/5; 45/17; 67/25; 45/17; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 460/100; 9/2; 9/2; 9/2; 9/2; 21/5; 9/2; 9/2; 24/5; 9/2; 9/2; 79/17; 19/4; 23/5; 79/17; 49/10; 21/5; 19/4; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-28 22:19:29 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 7/10; 6/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 5/2; 12/5; 12/5; 13/5; 13/5; 11/4; 27/10; 45/17; 13/5; 13/5; 45/17; 67/25; 45/17; 45/17; 13/5; ; 13/5; 5/2; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 5; 9/2; 19/4; 9/2; 9/2; 9/2; 21/5; 9/2; 9/2; 5; 9/2; 9/2; 79/17; 19/4; 23/5; 79/17; 49/10; 21/5; 19/4; 9/2; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 02:18:09 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 7/10; 6/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 5/2; 12/5; 12/5; 13/5; 13/5; 11/4; 27/10; 45/17; 13/5; 13/5; 45/17; 67/25; 45/17; 45/17; 13/5; ; 13/5; 5/2; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 5; 9/2; 19/4; 9/2; 9/2; 9/2; 21/5; 9/2; 9/2; 5; 9/2; 9/2; 79/17; 19/4; 23/5; 79/17; 49/10; 21/5; 19/4; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 06:18:06 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 7/10; 6/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 13/5; 13/5; 11/4; 27/10; 45/17; 13/5; 13/5; 45/17; 67/25; 45/17; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 5; 460/100; 19/4; 9/2; 9/2; 17/4; 21/5; 9/2; 9/2; 5; 9/2; 9/2; 79/17; 19/4; 23/5; 79/17; 49/10; 21/5; 19/4; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 10:18:29 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 7/10; 6/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 8/11; 4/6; 7/10; 11/17; 4/6; 8/13; 11/17; 73/100; 5/7; 11/17; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 13/5; 13/5; 11/4; 27/10; 45/17; 13/5; 13/5; 45/17; 67/25; 45/17; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 5; 460/100; 19/4; 9/2; 9/2; 17/4; 21/5; 9/2; 9/2; 5; 9/2; 9/2; 47/10; 19/4; 23/5; 47/10; 49/10; 22/5; 19/4; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 14:19:34 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 6/10; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 73/100; 9/13; 13/19; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 11/4; 27/10; 27/10; 13/5; 13/5; 27/10; 67/25; 45/17; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 17/4; 4; 9/2; 5; 19/4; 5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 19/4; 22/5; 9/2; 49/10; 79/17; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 18:18:30 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 6/10; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 13/20; 7/10; 4/6; 7/10; 4/6; 4/6; ; 4/6; 73/100; 9/13; 13/19; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; 27/10; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 27/10; 27/10; 13/5; ; 27/10; 67/25; 13/5; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; 19/4; 5; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 19/4; ; 9/2; 49/10; 19/4; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-01 22:18:12 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 6/10; 8/11; 4/6; ; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; ; 4/6; 73/100; 9/13; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 14/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 27/10; 13/5; ; 27/10; 67/25; 13/5; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 9/2; 4; 9/2; 5; ; 19/4; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 50/11; 19/4; ; 50/11; 49/10; 19/4; 22/5; 9/2; ; 5; 5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 02:18:09 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; ; 4/6; 73/100; 9/13; 13/19; 7/10; ; 4/6; 4/6; 8/11
Draw; 11/4; 13/5; 27/10; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 11/4; 27/10; 13/5; 13/5; ; 13/5; 67/25; 45/17; 45/17; 13/5; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 9/2; 9/2; 19/4; 9/2; 5; 19/4; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; 23/5; 19/4; ; 23/5; 49/10; 47/10; 22/5; 9/2; ; 23/5; 24/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 06:17:55 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 4/6; 7/10; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 9/13; 4/6; ; 9/13; 73/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 27/10; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 13/5; ; 13/5; 67/25; 45/17; 45/17; 13/5; ; 27/10; 27/10; 11/4
Deportivo La Coruna; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 23/5; 19/4; ; 23/5; 49/10; 23/5; 22/5; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 10:18:12 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
