META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 02:20:34 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 40/17; 9/4; 23/10; 40/17; 49/20; 23/10; 40/17; 12/5; ; 23/10; 12/5; 12/5
Osasuna; 12/5; 23/10; 47/20; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 68/25; 11/5; 27/11; 12/5; ; 23/10; 23/10; 12/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 10:20:33 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; ; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 119/100; 15/13; 8/7; 23/20; ; 11/10; 10/9; 10/9
Draw; 12/5; 5/2; ; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 40/17; 9/4; 23/10; 40/17; 49/20; 27/11; 40/17; 12/5; ; 23/10; 12/5; 12/5
Osasuna; 12/5; 23/10; ; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 68/25; 5/2; 27/11; 12/5; ; 23/10; 23/10; 12/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 14:18:17 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 119/100; 15/13; 8/7; 23/20; ; 11/10; 10/9; 10/9
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 40/17; 9/4; 23/10; 40/17; 49/20; 27/11; 40/17; 12/5; ; 23/10; 12/5; 12/5
Osasuna; 12/5; 23/10; 47/20; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 68/25; 5/2; 27/11; 12/5; ; 23/10; 23/10; 12/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 18:18:18 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 23/20; 11/10; 23/20; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 119/100; 19/17; 8/7; 11/10; ; 21/20; 10/9; 10/9
Draw; 12/5; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; 21/10; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 5/2; 12/5; 23/10; 23/10; 12/5; 49/20; 5/2; 40/17; 5/2; ; 12/5; 12/5; 5/2
Osasuna; 11/4; 12/5; 49/20; 23/10; 13/5; 5/2; 5/2; 9/4; 12/5; 5/2; 23/10; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 68/25; 5/2; 27/11; 13/5; ; 23/10; 23/10; 12/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 22:18:41 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 107/100; 19/17; 8/7; 11/10; ; 21/20; 10/9; 10/9
Draw; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 21/10; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 13/5; 13/5; 27/11; 23/10; 23/10; 27/11; 27/10; 5/2; 40/17; 12/5; ; 12/5; 12/5; 5/2
Osasuna; 11/4; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 9/4; 5/2; 5/2; 23/10; 12/5; 49/20; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 14/5; 5/2; 27/11; 13/5; ; 5/2; 12/5; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 02:18:11 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 107/100; 19/17; 8/7; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 21/10; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 23/10; 23/10; 12/5; 27/10; 5/2; 40/17; 12/5; ; 12/5; 12/5; 5/2
Osasuna; 11/4; 5/2; 49/20; 12/5; 13/5; 5/2; 5/2; 9/4; 5/2; 5/2; 23/10; 12/5; 49/20; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 14/5; 5/2; 27/11; 13/5; ; 5/2; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 06:18:07 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 28/25; 19/17; 8/7; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 21/10; 5/2; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 27/10; 5/2; 40/17; 12/5; ; 12/5; 12/5; 5/2
Osasuna; 11/4; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 9/4; 5/2; 5/2; 23/10; 12/5; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 12/5; 5/2; 53/20; 5/2; 27/11; 13/5; ; 5/2; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 10:18:36 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 28/25; 19/17; 8/7; 11/10; ; 21/20; 1; 10/9
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 21/10; 5/2; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 27/10; 5/2; 40/17; 12/5; ; 12/5; 12/5; 5/2
Osasuna; 11/4; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 9/4; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 12/5; 5/2; 53/20; 5/2; 27/11; 13/5; ; 5/2; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 14:18:16 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 21/20; 11/10; 21/20; 21/20; 23/20; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 28/25; 13/12; 8/7; 21/20; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 21/10; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 27/10; 5/2; 40/17; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 14/5; 12/5; 5/2; 12/5; 11/4; 5/2; 5/2; 9/4; 5/2; 5/2; 5/2; 12/5; 51/20; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 13/5; 53/20; 13/5; 27/11; 13/5; ; 5/2; 12/5; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 18:18:44 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 10/9; 21/20; 21/20; 13/12; 8/7; 21/20; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 13/5; 21/10; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 27/10; 5/2; 40/17; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 14/5; 5/2; 5/2; 5/2; 11/4; 5/2; 5/2; 9/4; 5/2; 5/2; 5/2; 13/5; 51/20; 5/2; 13/5; 13/5; 28/11; 12/5; 12/5; 28/11; 71/25; 13/5; 27/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-09 22:18:15 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 10/9; 21/20; 21/20; 13/12; 8/7; 21/20; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 13/5; 27/11; 23/10; 23/10; 27/11; 27/10; 5/2; 40/17; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 14/5; 5/2; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 51/20; 5/2; 13/5; 13/5; 13/5; 12/5; 12/5; 13/5; 71/25; 13/5; 27/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 02:17:55 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; ; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 109/100; 13/12; 13/12; 21/20; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; ; 12/5; 5/2; 13/5; 27/11; 23/10; 12/5; 27/11; 64/25; 5/2; 12/5; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 14/5; 5/2; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; ; 5/2; 13/5; 13/5; 13/5; 12/5; 5/2; 13/5; 71/25; 13/5; 28/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 06:17:54 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 109/100; 13/12; 13/12; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 23/10; 12/5; 27/11; 64/25; 5/2; 12/5; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 13/5; 13/5; 13/5; 12/5; 5/2; 13/5; 71/25; 13/5; 28/11; 5/2; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 10:17:49 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 109/100; 13/12; 13/12; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 12/5; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 71/25; 13/5; 28/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 14:17:53 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; ; 11/10; 13/12; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 12/5; ; 64/25; 5/2; 27/11; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; ; 14/5; 13/5; 28/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 18:17:59 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 5/2; ; 12/5; 5/2; 5/2
Osasuna; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 14/5; 28/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-10 22:18:22 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 5/2; ; 12/5; 12/5; 5/2
Osasuna; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 28/11; 14/5; 28/11; 28/11; 13/5; ; 5/2; 5/2; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 02:18:01 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 5/2; ; 12/5; 12/5; 5/2
Osasuna; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 14/5; 28/11; 28/11; 13/5; ; 5/2; 5/2; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 06:18:15 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 5/2; ; 12/5; 12/5; 5/2
Osasuna; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 14/5; 28/11; 28/11; 13/5; ; 5/2; 12/5; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 10:19:02 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 15/14; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 13/5; 5/2; 5/2; 5/2; 14/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 5/2; ; 12/5; 12/5; 5/2
Osasuna; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 14/5; 28/11; 28/11; 13/5; ; 5/2; 12/5; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 14:18:05 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 1; 21/20; 11/10; 21/20; 21/20; 1; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 15/14; 11/10; ; 1; 21/20; 1
Draw; 12/5; 13/5; 5/2; 5/2; 13/5; 14/5; 27/10; 12/5; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 64/25; 5/2; 27/11; 13/5; ; 12/5; 12/5; 13/5
Osasuna; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 5/2; 5/2; 12/5; 5/2; 51/20; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 14/5; 28/11; 28/11; 13/5; ; 5/2; 5/2; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 18:18:04 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 1; 1; 21/20; 11/10; 21/20; 21/20; 1; 1; 11/10; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 11/10; 21/20; 1; 11/10; 17/16; 15/14; 21/20; ; 1; 1; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 14/5; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 5/2; 5/2; 28/11; 12/5; 12/5; 28/11; 64/25; 28/11; 27/11; 13/5; ; 5/2; 13/5; 13/5
Osasuna; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 14/5; 13/5; 28/11; 13/5; ; 5/2; 13/5; 11/4
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-11 22:18:17 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 11/10; 17/16; 15/14; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 14/5; 14/5; 12/5; 5/2; 5/2; 5/2; 13/5; 53/20; 27/10; 5/2; 13/5; 28/11; 12/5; 12/5; 28/11; 64/25; 28/11; 27/11; 13/5; ; 5/2; 12/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 27/10; 13/5; 27/10; 13/5; 27/10; 5/2; 13/5; 14/5; 13/5; 28/11; 13/5; ; 5/2; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 02:17:50 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 11/10; 1; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 11/10; 17/16; 15/14; 21/20; ; 21/20; 21/20; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 14/5; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 53/20; 27/10; 5/2; 5/2; 28/11; 12/5; 12/5; 28/11; 64/25; 28/11; 27/11; 13/5; ; 13/5; 13/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 5/2; 5/2; 13/5; 5/2; 51/20; 27/10; 13/5; 27/10; 13/5; 27/10; 5/2; 13/5; 14/5; 13/5; 28/11; 13/5; ; 13/5; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 06:17:51 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 11/10; 17/16; 15/14; 21/20; ; 1; 1; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 14/5; 14/5; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 27/10; 5/2; 13/5; 28/11; 12/5; 12/5; 28/11; 64/25; 28/11; 27/11; 13/5; ; 13/5; 13/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 5/2; 13/5; 13/5; 51/20; 27/10; 13/5; 27/10; 13/5; 27/10; 5/2; 13/5; 14/5; 13/5; 28/11; 13/5; ; 13/5; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 10:18:16 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 11/10; 17/16; 15/14; 21/20; ; 1; 1; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 14/5; 14/5; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 27/10; 13/5; 13/5; 28/11; 12/5; 12/5; 28/11; 64/25; 28/11; 27/11; 13/5; ; 13/5; 13/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 5/2; 13/5; 13/5; 51/20; 27/10; 13/5; 27/10; 13/5; 27/10; 5/2; 13/5; 14/5; 13/5; 28/11; 13/5; ; 13/5; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 14:18:02 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 11/10; 21/20; 15/14; 21/20; ; 1; 1; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 27/10; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 27/10; 13/5; 13/5; 28/11; 12/5; 12/5; 28/11; 64/25; 13/5; 27/11; 13/5; ; 13/5; 13/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 45/17; 27/10; 5/2; 45/17; 14/5; 45/17; 28/11; 13/5; ; 13/5; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 18:17:57 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 27/25; 21/20; 15/14; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 27/10; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 13/5; 13/5; 13/5; 28/11; 12/5; 12/5; 28/11; 129/50; 13/5; 27/11; 13/5; ; 13/5; 13/5; 13/5
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 45/17; 27/10; 5/2; 45/17; 57/20; 45/17; 28/11; 11/4; ; 13/5; 13/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-12 22:17:59 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 11/10; 1; 1; 1; 21/20; 1; 1; 27/25; 21/20; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 13/5; 5/2; 5/2; 13/5; 27/10; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 53/20; 27/10; 13/5; 13/5; 28/11; 12/5; 12/5; 28/11; 129/50; 13/5; 27/11; 13/5; ; 13/5; 13/5; 13/5
