META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 14:20:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 02:20:14 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 11/18; 7/10; ; 11/18; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 22/5; 4; ; 22/5; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 06:18:12 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 11/18; 7/10; ; 11/18; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 10:18:54 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 11/18; 7/10; ; 11/18; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 14:18:23 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 18:18:20 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-22 22:19:00 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 02:18:51 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 06:18:18 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 10:18:38 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; ; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; ; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; ; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 14:19:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 18:19:51 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-23 22:19:11 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 02:19:58 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 06:18:25 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 4/6; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 4; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 10:18:46 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 14:19:00 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 18:20:31 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-24 22:19:31 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 02:20:29 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 06:20:00 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 10:20:21 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 14:18:37 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 18:20:59 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; ; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; ; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; ; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-25 22:18:54 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 02:19:56 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 06:19:18 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; ; 74/17; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 10:19:06 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 14:20:01 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 18:20:35 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-26 22:19:12 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 4/6; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; 19/10; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 4; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; 23/10; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 02:19:55 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; 2; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; 23/10; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 06:18:24 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; ; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; ; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 11/4; 13/5; ; 11/4; 29/10; 27/10; ; ; ; ; 19/10; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; ; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; 23/10; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 10:18:24 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 11/17; 18/25; 13/19; ; ; ; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; 2; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 77/19; 23/5; 62/17; ; ; ; ; 3; ; 
