META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-14 02:20:20 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 3/5; ; 4/6; ; ; 7/10; 7/10; ; ; 4/6; 4/6; 4/6; 4/6; ; 8/11; 4/6; 11/17; ; 4/6; 11/17; 4/6; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 14/5; 37/13; 16/5; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 19/5; 15/4; 9/2; 19/5; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; 7/2; 7/2; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 02:20:09 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 69/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 14/5; 14/5; 59/20; 11/4; 3; 3; 37/13; 3; 14/5; 37/13; 16/5; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 37/10; 15/4; 9/2; 19/5; 15/4; 4; 7/2; 7/2; 7/2; 7/2; 15/4; 4; 7/2; 4; 39/10; 18/5; 4; 39/10; 22/5; 33/10; 4; 4; ; 7/2; 7/2; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 06:18:39 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 69/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 14/5; 14/5; 59/20; 11/4; 3; 3; 37/13; 3; 14/5; 37/13; 16/5; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 37/10; 15/4; 4; 19/5; 15/4; 4; 7/2; 7/2; 7/2; 7/2; 15/4; 4; 7/2; 4; 39/10; 18/5; 4; 39/10; 22/5; 33/10; 4; 4; ; 7/2; 7/2; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 10:19:32 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/11; 4/6; 11/17; 11/17; ; 11/17; 69/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 3; 3; 3; 3; 3; 3; 3; 14/5; 14/5; 14/5; 59/20; 27/10; 3; 3; 14/5; 3; ; 14/5; 16/5; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 15/4; 15/4; 9/2; 4; 15/4; 4; 7/2; 7/2; 7/2; 7/2; 15/4; 9/2; 7/2; 4; 39/10; 18/5; ; 39/10; 22/5; 33/10; 4; 4; ; 4; 7/2; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 14:18:40 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 69/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 3; 3; 3; 3; 3; 3; 3; 14/5; 14/5; 14/5; 59/20; 27/10; 3; 3; 14/5; 3; 14/5; 14/5; 16/5; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 15/4; 15/4; 9/2; 4; 15/4; 4; 7/2; 7/2; 7/2; 7/2; 15/4; 9/2; 7/2; 4; 39/10; 18/5; 4; 39/10; 22/5; 33/10; 4; 4; ; 4; 4; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 18:18:58 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 15/4; 9/2; 4; 19/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 9/2; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-20 22:18:59 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 11/4; 14/5; 59/20; ; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 15/4; 9/2; 4; 19/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; ; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 02:19:33 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 15/4; 4; 4; 19/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 06:18:40 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 8/13; 4/6; ; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 3; 3; 3; 3; 3; 3; ; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 3; 3
Villarreal; 9/2; 18/5; 19/5; 15/4; 4; 4; 19/5; 4; 7/2; ; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 10:18:51 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 3; 3; 3; 3; 3; 3; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 3; 3
Villarreal; 9/2; 18/5; 19/5; 15/4; 4; 4; 19/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 14:20:07 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 71/100; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 3; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 31/10; 14/5; 29/10; 11/4; ; 14/5; 3; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 18:19:47 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; ; 7/10; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 18/25; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 11/4; 14/5; ; 27/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 61/20; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; ; 4; 4; 4; 39/10; 18/5; 4; 39/10; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-21 22:18:38 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 3; 37/13; 3; 14/5; 37/13; 61/20; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 02:20:30 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 14/5; 37/13; 3; 14/5; 37/13; 61/20; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 06:18:32 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 5/7; 13/19; 4/6; ; 4/6; ; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 14/5; 37/13; 3; 14/5; 37/13; 61/20; 14/5; 29/10; 11/4; ; 14/5; ; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 22/5; 33/10; 4; 4; ; 7/2; ; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 10:19:21 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 14/5; 37/13; 3; 14/5; 37/13; 31/10; 14/5; 29/10; 11/4; ; 12/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 43/10; 33/10; 4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 14:19:52 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 5/7; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 59/20; 27/10; 14/5; 14/5; 37/13; 3; 14/5; 37/13; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 19/5; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 18/5; 15/4; 15/4; 4; 4; 4; 75/19; 18/5; 4; 75/19; 43/10; 33/10; 4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 18:18:46 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 4/6; 4/6; 8/11; 4/6; 8/11; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 11/17; 11/17; 4/6; 11/17; 18/25; 4/6; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 3; 14/5; 14/5; 59/20; 11/4; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 19/5; 4; 18/5; 9/2; 4; 4; 4; 19/5; 15/4; 18/5; 4; 15/4; 4; 4; 4; 41/10; 18/5; 4; 41/10; 43/10; 39/11; 4; 17/4; ; 7/2; 4; 21/5
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-22 22:19:16 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 9/13; 11/17; 4/6; 9/13; 18/25; ; 9/13; 4/6; ; 4/6; 8/11; 8/11
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 14/5; 14/5; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; ; 29/10; 11/4; ; 11/4; 14/5; 14/5
Villarreal; 9/2; 19/5; 18/5; 18/5; 4; 4; 15/4; 4; 19/5; 7/2; 17/5; 15/4; 15/4; 4; 4; 4; 4; 18/5; 7/2; 4; 43/10; ; 39/10; 4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 02:18:34 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 8/11; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 9/13; 4/6; ; 4/6; 4/6; 8/11
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 14/5
Villarreal; 9/2; 18/5; 18/5; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 15/4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 06:18:25 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 8/11; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 9/13; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 14/5
Villarreal; 9/2; 18/5; 18/5; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 15/4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 10:18:30 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 7/10; 8/11; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 9/13; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 29/10; 11/4; ; 14/5; 14/5; 
Villarreal; 9/2; 18/5; 18/5; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 15/4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 7/2; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 14:19:56 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 9/13; 4/6; ; 4/6; 4/6; 
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 14/5; 3; 59/20; 27/10; 14/5; 3; 56/19; 3; 14/5; 56/19; 31/10; 14/5; 29/10; 11/4; ; 14/5; 3; 
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 4; 4; 4; 4; 41/10; 18/5; 7/2; 41/10; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 18:18:45 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 3; 3; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 4; 4; 4; 7/2; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-23 22:19:22 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw ; 11/4; 3; 29/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 14/5; 14/5; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 4; 15/4; 4; 19/5; 7/2; 15/4; 7/2; 4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 02:18:10 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw ; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 27/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 56/19; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 4; 19/5; 4; 19/5; 7/2; 7/2; 15/4; 4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 06:18:05 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 8/11; 7/10; 8/11; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw ; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 11/4; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 14/5; 56/19; 11/4; ; 14/5; 3; 3
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 4; 19/5; 4; 19/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 77/19; 18/5; 7/2; 77/19; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 10:18:08 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 8/11; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw ; 11/4; 29/10; 29/10; 14/5; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 11/4; 14/5; 3; 56/19; 16/5; 14/5; 56/19; 31/10; 14/5; 56/19; 11/4; ; 14/5; 3; 3
Villarreal; 9/2; 18/5; 37/10; 18/5; 4; 19/5; 19/5; 4; 19/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 41/10; 15/4; 7/2; 41/10; 43/10; 39/11; 39/10; 4; ; 7/2; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 14:18:39 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 18/25; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw ; 11/4; 3; 31/10; 14/5; 3; 3; 3; 3; 14/5; 14/5; 3; 14/5; 59/20; 27/10; 14/5; 3; 56/19; 16/5; 14/5; 56/19; 31/10; 14/5; 56/19; 11/4; ; 14/5; 14/5; 3
Villarreal; 9/2; 18/5; 4; 18/5; 4; 19/5; 15/4; 4; 19/5; 15/4; 7/2; 15/4; 4; 4; 4; 4; 54/13; 15/4; 7/2; 54/13; 43/10; 39/11; 39/10; 4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 18:18:46 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 71/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 11/4; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 11/4; 14/5; 3; 29/10; 16/5; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 14/5; 14/5; 3
Villarreal; 9/2; 19/5; 4; 4; 4; 19/5; 4; 4; 19/5; 15/4; 15/4; 15/4; 17/4; 4; 4; 4; 41/10; 15/4; 7/2; 41/10; 43/10; 75/19; 39/10; 17/4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-24 22:21:12 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; ; 71/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
