Gijon; ; 2; 41/20; 11/5; 21/10; 21/10; 21/10; 15/8; 2; 19/10; 19/10; 2; 2; 21/10; 2; 21/10; 37/19; 2; 21/10; 37/19; 21/10; 2; 21/10; 11/5; 28/13; ; 19/10; 19/10; 2
Draw; ; 13/5; 27/10; 9/4; 13/5; 5/2; 13/5; 9/4; 13/5; 5/2; 5/2; 13/5; 11/4; 5/2; 14/5; 13/5; 13/5; 23/10; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 45/17; ; 12/5; 23/10; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-08 22:18:04 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 15/13; 23/17; 5/4; 15/13; 63/50; 7/6; 5/4; 5/4; 5/4; ; 11/10; 23/20; 6/5
Gijon; ; 2; 41/20; 11/5; 21/10; 9/4; 21/10; 15/8; 2; 19/10; 19/10; 2; 2; 21/10; 2; 21/10; 37/19; 37/19; 19/10; 37/19; 21/10; 2; 37/19; 11/5; 2; ; 19/10; 19/10; 21/10
Draw; ; 13/5; 27/10; 9/4; 13/5; 5/2; 27/10; 9/4; 13/5; 5/2; 5/2; 13/5; 11/4; 12/5; 14/5; 13/5; 13/5; 23/10; 27/10; 13/5; 27/10; 13/5; 27/10; 5/2; 11/4; ; 14/5; 21/10; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-09 02:18:00 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 11/10; 21/20; 119/100; 9/8; 11/10; 23/20; 11/10; ; 21/20; 1; 11/10
Gijon; ; 21/10; 9/4; 5/2; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 9/4; 23/10; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 119/50; 39/19; 11/5; 23/10; 9/4; ; 21/10; 19/10; 23/10
Draw; ; 14/5; 11/4; 12/5; 11/4; 3; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 14/5; 5/2; 14/5; 11/4; 45/17; 12/5; 14/5; 45/17; 14/5; 13/5; 14/5; 5/2; 37/13; ; 14/5; 23/10; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-09 10:17:58 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 23/20; 15/13; 21/20; 11/10; 11/10; 21/20; 6/5; 13/12; 11/10; 23/20; 11/10; ; 23/20; 10/9; 10/9
Gijon; ; 21/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 59/25; 11/5; 11/5; 23/10; 9/4; ; 21/10; 21/10; 23/10
Draw; ; 14/5; 27/10; 3; 11/4; 11/4; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 14/5; 45/17; 12/5; 14/5; 45/17; 14/5; 13/5; 14/5; 5/2; 37/13; ; 11/4; 11/4; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-09 14:18:00 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 21/20; 6/5; 13/12; 11/10; 23/20; 11/10; ; 21/20; 21/20; 10/9
Gijon; ; 21/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 59/25; 11/5; 11/5; 12/5; 9/4; ; 21/10; 21/10; 23/10
Draw; ; 11/4; 27/10; 3; 11/4; 11/4; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 29/10; 45/17; 12/5; 14/5; 45/17; 14/5; 13/5; 14/5; 5/2; 37/13; ; 14/5; 11/4; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-09 18:18:00 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 11/10; 21/20; 53/50; 13/12; 11/10; 11/10; 11/10; ; 11/10; 10/9; 10/9
Gijon; 11/5; 21/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 59/25; 11/5; 11/5; 23/10; 9/4; ; 21/10; 11/5; 23/10
Draw; 13/5; 11/4; 27/10; 3; 11/4; 11/4; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 14/5; 45/17; 12/5; 14/5; 45/17; 29/10; 13/5; 14/5; 13/5; 37/13; ; 14/5; 14/5; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-09 22:17:59 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 11/10; 21/20; 57/50; 13/12; 11/10; 11/10; 11/10; ; 11/10; 10/9; 10/9
Gijon; 11/5; 21/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 9/4; ; 9/4; 11/5; 23/10
Draw; 13/5; 11/4; 27/10; 3; 11/4; 11/4; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 14/5; 27/10; 12/5; 14/5; 27/10; 29/10; 13/5; 14/5; 13/5; 37/13; ; 14/5; 14/5; 14/5
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-10 02:17:55 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 11/10; 21/20; 57/50; 13/12; 11/10; 11/10; 11/10; ; 21/20; 21/20; 10/9
Gijon; 11/5; 21/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 9/4; ; 9/4; 11/5; 23/10
Draw; 13/5; 11/4; 27/10; 3; 11/4; 11/4; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 14/5; 27/10; 12/5; 14/5; 27/10; 29/10; 13/5; 14/5; 13/5; 37/13; ; 14/5; 14/5; 14/5
